Creating environment 'MjxSkeletonMuscle' with imitation learning task.
reward_params: {'qpos_w_sum': 0.6, 'qvel_w_sum': 0.2, 'rpos_w_sum': 0.5, 'rquat_w_sum': 0.3, 'rvel_w_sum': 0.1, 'action_out_of_bounds_coeff': 0.0, 'action_rate_coeff': 0.1, 'sites_for_mimic': ['upper_body_mimic', 'pelvis_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}
self._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x75026775fac0>
Created environment with reward function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x75026775fac0>
Loading LAFAN1 trajectory with env._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x75026775fac0>
This is load.py, with env_name: MjxSkeletonMuscle
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x74fc3413fd00>
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x74fc244cace0>
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x74fc244c5b40>
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Concatenating trajectories ...
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Trajectory data loaded!
config.experiment.num_updates set to: 19531.0
config.experiment.minibatch_size set to: 800
config.experiment.validation_interval set to: 19531.0
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
metrics at the end of training: SummaryMetrics(mean_episode_return=Traced<ShapedArray(float32[19531])>with<DynamicJaxprTrace>, mean_episode_length=Traced<ShapedArray(float32[19531])>with<DynamicJaxprTrace>, max_timestep=Traced<ShapedArray(int32[19531])>with<DynamicJaxprTrace>)

Saved agent to: /home/ktoonen/workspace/TestLocoMuJoCo/TestExperimentCode/outputs/2025-10-31/14-51-26/PPOJax_saved.pkl

{'Mean Episode Return': Array(1.5919195, dtype=float32), 'Mean Episode Length': Array(44.62992, dtype=float32)} step=51200
{'Mean Episode Return': Array(1.8408371, dtype=float32), 'Mean Episode Length': Array(61.973618, dtype=float32)} step=102400
{'Mean Episode Return': Array(1.8543472, dtype=float32), 'Mean Episode Length': Array(61.58303, dtype=float32)} step=153600
{'Mean Episode Return': Array(1.9472898, dtype=float32), 'Mean Episode Length': Array(64.746155, dtype=float32)} step=204800
{'Mean Episode Return': Array(1.7733027, dtype=float32), 'Mean Episode Length': Array(63.03444, dtype=float32)} step=256000
{'Mean Episode Return': Array(1.8491919, dtype=float32), 'Mean Episode Length': Array(63.019096, dtype=float32)} step=307200
{'Mean Episode Return': Array(1.8459132, dtype=float32), 'Mean Episode Length': Array(62.27698, dtype=float32)} step=358400
{'Mean Episode Return': Array(1.9326965, dtype=float32), 'Mean Episode Length': Array(62.474846, dtype=float32)} step=409600
{'Mean Episode Return': Array(1.894823, dtype=float32), 'Mean Episode Length': Array(61.813496, dtype=float32)} step=460800
{'Mean Episode Return': Array(1.9618341, dtype=float32), 'Mean Episode Length': Array(62.566193, dtype=float32)} step=512000
{'Mean Episode Return': Array(1.9505097, dtype=float32), 'Mean Episode Length': Array(61.686806, dtype=float32)} step=563200
{'Mean Episode Return': Array(1.9394991, dtype=float32), 'Mean Episode Length': Array(63.004997, dtype=float32)} step=614400
{'Mean Episode Return': Array(1.9454554, dtype=float32), 'Mean Episode Length': Array(63.554054, dtype=float32)} step=665600
{'Mean Episode Return': Array(1.9788982, dtype=float32), 'Mean Episode Length': Array(61.92743, dtype=float32)} step=716800
{'Mean Episode Return': Array(1.9170024, dtype=float32), 'Mean Episode Length': Array(62.362194, dtype=float32)} step=768000
{'Mean Episode Return': Array(1.9898375, dtype=float32), 'Mean Episode Length': Array(63.48122, dtype=float32)} step=819200
{'Mean Episode Return': Array(2.000796, dtype=float32), 'Mean Episode Length': Array(61.420925, dtype=float32)} step=870400
{'Mean Episode Return': Array(1.944699, dtype=float32), 'Mean Episode Length': Array(61.64826, dtype=float32)} step=921600
{'Mean Episode Return': Array(1.9981993, dtype=float32), 'Mean Episode Length': Array(61.95911, dtype=float32)} step=972800
{'Mean Episode Return': Array(2.046132, dtype=float32), 'Mean Episode Length': Array(62.380714, dtype=float32)} step=1024000
{'Mean Episode Return': Array(2.033513, dtype=float32), 'Mean Episode Length': Array(62.67231, dtype=float32)} step=1075200
{'Mean Episode Return': Array(2.065694, dtype=float32), 'Mean Episode Length': Array(62.372208, dtype=float32)} step=1126400
{'Mean Episode Return': Array(2.1358862, dtype=float32), 'Mean Episode Length': Array(63.56821, dtype=float32)} step=1177600
{'Mean Episode Return': Array(2.0959935, dtype=float32), 'Mean Episode Length': Array(61.090126, dtype=float32)} step=1228800
{'Mean Episode Return': Array(2.1677837, dtype=float32), 'Mean Episode Length': Array(62.420483, dtype=float32)} step=1280000
{'Mean Episode Return': Array(2.1428134, dtype=float32), 'Mean Episode Length': Array(62.460575, dtype=float32)} step=1331200
{'Mean Episode Return': Array(2.2154362, dtype=float32), 'Mean Episode Length': Array(63.69082, dtype=float32)} step=1382400
{'Mean Episode Return': Array(2.0887945, dtype=float32), 'Mean Episode Length': Array(61.230217, dtype=float32)} step=1433600
{'Mean Episode Return': Array(2.078626, dtype=float32), 'Mean Episode Length': Array(61.628506, dtype=float32)} step=1484800
{'Mean Episode Return': Array(2.1387587, dtype=float32), 'Mean Episode Length': Array(62.27971, dtype=float32)} step=1536000
{'Mean Episode Return': Array(2.2218053, dtype=float32), 'Mean Episode Length': Array(62.346714, dtype=float32)} step=1587200
{'Mean Episode Return': Array(2.2122717, dtype=float32), 'Mean Episode Length': Array(61.97616, dtype=float32)} step=1638400
{'Mean Episode Return': Array(2.2405841, dtype=float32), 'Mean Episode Length': Array(63.574165, dtype=float32)} step=1689600
{'Mean Episode Return': Array(2.1576557, dtype=float32), 'Mean Episode Length': Array(62.434998, dtype=float32)} step=1740800
{'Mean Episode Return': Array(2.1733418, dtype=float32), 'Mean Episode Length': Array(61.718292, dtype=float32)} step=1792000
{'Mean Episode Return': Array(2.2184885, dtype=float32), 'Mean Episode Length': Array(63.058384, dtype=float32)} step=1843200
