Creating environment 'MjxSkeletonMuscle' with imitation learning task.
reward_params: {'qpos_w_sum': 0.4, 'qvel_w_sum': 0.2, 'rpos_w_sum': 0.5, 'rquat_w_sum': 0.3, 'rvel_w_sum': 0.1, 'action_out_of_bounds_coeff': 0.05, 'joint_acc_coeff': 0.01, 'joint_torque_coeff': 0.01, 'action_rate_coeff': 0.01, 'sites_for_mimic': ['upper_body_mimic', 'pelvis_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}
self._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x7f97fbd47af0>
Created environment with reward function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x7f97fbd47af0>
Loading LAFAN1 trajectory with env._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x7f97fbd47af0>
This is load.py, with env_name: MjxSkeletonMuscle
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x7f967c50fd30>
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x7f967c3d2f20>
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x7f967c3cd8d0>
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Concatenating trajectories ...
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Trajectory data loaded!
config.experiment.num_updates set to: 7324.0
config.experiment.minibatch_size set to: 6400
config.experiment.validation_interval set to: 7324.0
Action in PPOJax env_step: Traced<ShapedArray(float32[4096,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[4096,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[4096,106])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
metrics at the end of training: SummaryMetrics(mean_episode_return=Traced<ShapedArray(float32[7324])>with<DynamicJaxprTrace>, mean_episode_length=Traced<ShapedArray(float32[7324])>with<DynamicJaxprTrace>, max_timestep=Traced<ShapedArray(int32[7324])>with<DynamicJaxprTrace>)

Saved agent to: /home/ktoonen/workspace/TestLocoMuJoCo/TestExperimentCode/outputs/2025-10-23/13-02-42/PPOJax_saved.pkl

{'Mean Episode Return': Array(0.01754116, dtype=float32), 'Mean Episode Length': Array(44.08008, dtype=float32)} step=204800
{'Mean Episode Return': Array(0.03273118, dtype=float32), 'Mean Episode Length': Array(61.184937, dtype=float32)} step=409600
{'Mean Episode Return': Array(0.03404054, dtype=float32), 'Mean Episode Length': Array(61.83603, dtype=float32)} step=614400
{'Mean Episode Return': Array(0.03777597, dtype=float32), 'Mean Episode Length': Array(62.64216, dtype=float32)} step=819200
{'Mean Episode Return': Array(0.03247479, dtype=float32), 'Mean Episode Length': Array(62.47292, dtype=float32)} step=1024000
{'Mean Episode Return': Array(0.03338382, dtype=float32), 'Mean Episode Length': Array(62.28349, dtype=float32)} step=1228800
{'Mean Episode Return': Array(0.03384935, dtype=float32), 'Mean Episode Length': Array(62.19793, dtype=float32)} step=1433600
{'Mean Episode Return': Array(0.03599296, dtype=float32), 'Mean Episode Length': Array(62.20393, dtype=float32)} step=1638400
{'Mean Episode Return': Array(0.03724733, dtype=float32), 'Mean Episode Length': Array(62.48947, dtype=float32)} step=1843200
{'Mean Episode Return': Array(0.03320033, dtype=float32), 'Mean Episode Length': Array(61.57342, dtype=float32)} step=2048000
{'Mean Episode Return': Array(0.03205435, dtype=float32), 'Mean Episode Length': Array(62.121437, dtype=float32)} step=2252800
{'Mean Episode Return': Array(0.03558227, dtype=float32), 'Mean Episode Length': Array(61.4861, dtype=float32)} step=2457600
{'Mean Episode Return': Array(0.03629442, dtype=float32), 'Mean Episode Length': Array(62.54796, dtype=float32)} step=2662400
{'Mean Episode Return': Array(0.03725111, dtype=float32), 'Mean Episode Length': Array(62.055214, dtype=float32)} step=2867200
{'Mean Episode Return': Array(0.03677088, dtype=float32), 'Mean Episode Length': Array(62.004795, dtype=float32)} step=3072000
{'Mean Episode Return': Array(0.03532288, dtype=float32), 'Mean Episode Length': Array(62.075336, dtype=float32)} step=3276800
{'Mean Episode Return': Array(0.03370865, dtype=float32), 'Mean Episode Length': Array(62.171646, dtype=float32)} step=3481600
{'Mean Episode Return': Array(0.03747258, dtype=float32), 'Mean Episode Length': Array(62.314945, dtype=float32)} step=3686400
{'Mean Episode Return': Array(0.03093968, dtype=float32), 'Mean Episode Length': Array(61.476006, dtype=float32)} step=3891200
{'Mean Episode Return': Array(0.03607103, dtype=float32), 'Mean Episode Length': Array(62.270992, dtype=float32)} step=4096000
{'Mean Episode Return': Array(0.0331146, dtype=float32), 'Mean Episode Length': Array(61.59994, dtype=float32)} step=4300800
{'Mean Episode Return': Array(0.03303645, dtype=float32), 'Mean Episode Length': Array(61.857098, dtype=float32)} step=4505600
{'Mean Episode Return': Array(0.03951935, dtype=float32), 'Mean Episode Length': Array(61.723812, dtype=float32)} step=4710400
{'Mean Episode Return': Array(0.03429059, dtype=float32), 'Mean Episode Length': Array(61.6878, dtype=float32)} step=4915200
{'Mean Episode Return': Array(0.03747667, dtype=float32), 'Mean Episode Length': Array(61.88618, dtype=float32)} step=5120000
{'Mean Episode Return': Array(0.03726273, dtype=float32), 'Mean Episode Length': Array(61.958786, dtype=float32)} step=5324800
{'Mean Episode Return': Array(0.03543146, dtype=float32), 'Mean Episode Length': Array(62.11421, dtype=float32)} step=5529600
{'Mean Episode Return': Array(0.0367876, dtype=float32), 'Mean Episode Length': Array(62.082706, dtype=float32)} step=5734400
{'Mean Episode Return': Array(0.0317334, dtype=float32), 'Mean Episode Length': Array(61.75905, dtype=float32)} step=5939200
{'Mean Episode Return': Array(0.03705318, dtype=float32), 'Mean Episode Length': Array(62.137257, dtype=float32)} step=6144000
{'Mean Episode Return': Array(0.036977, dtype=float32), 'Mean Episode Length': Array(62.723465, dtype=float32)} step=6348800
{'Mean Episode Return': Array(0.03656838, dtype=float32), 'Mean Episode Length': Array(62.981174, dtype=float32)} step=6553600
{'Mean Episode Return': Array(0.03885662, dtype=float32), 'Mean Episode Length': Array(62.139107, dtype=float32)} step=6758400
{'Mean Episode Return': Array(0.03431256, dtype=float32), 'Mean Episode Length': Array(62.74669, dtype=float32)} step=6963200
{'Mean Episode Return': Array(0.03937004, dtype=float32), 'Mean Episode Length': Array(63.087784, dtype=float32)} step=7168000
{'Mean Episode Return': Array(0.03875888, dtype=float32), 'Mean Episode Length': Array(62.406242, dtype=float32)} step=7372800
{'Mean Episode Return': Array(0.03403276, dtype=float32), 'Mean Episode Length': Array(62.70178, dtype=float32)} step=7577600
