Creating environment 'MjxSkeletonMuscle' with imitation learning task.
reward_params: {'qpos_w_sum': 0.4, 'qvel_w_sum': 0.2, 'rpos_w_sum': 0.5, 'rquat_w_sum': 0.3, 'rvel_w_sum': 0.1, 'action_out_of_bounds_coeff': 0.01, 'joint_acc_coeff': 0.0, 'joint_torque_coeff': 0.0, 'action_rate_coeff': 0.0, 'sites_for_mimic': ['upper_body_mimic', 'pelvis_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}
self._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x71398f62fa30>
Created environment with reward function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x71398f62fa30>
Loading LAFAN1 trajectory with env._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x71398f62fa30>
This is load.py, with env_name: MjxSkeletonMuscle
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x7137f6755990>
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x7137f44d8880>
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x7137f44343a0>
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Concatenating trajectories ...
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Trajectory data loaded!
config.experiment.num_updates set to: 9765.0
config.experiment.minibatch_size set to: 6400
config.experiment.validation_interval set to: 9765.0
Action in PPOJax env_step: Traced<ShapedArray(float32[4096,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[4096,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[4096,106])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
metrics at the end of training: SummaryMetrics(mean_episode_return=Traced<ShapedArray(float32[9765])>with<DynamicJaxprTrace>, mean_episode_length=Traced<ShapedArray(float32[9765])>with<DynamicJaxprTrace>, max_timestep=Traced<ShapedArray(int32[9765])>with<DynamicJaxprTrace>)

Saved agent to: /home/ktoonen/workspace/TestLocoMuJoCo/TestExperimentCode/outputs/2025-10-22/13-41-34/PPOJax_saved.pkl

{'Mean Episode Return': Array(10.707465, dtype=float32), 'Mean Episode Length': Array(44.0959, dtype=float32)} step=204800
{'Mean Episode Return': Array(13.275995, dtype=float32), 'Mean Episode Length': Array(61.185505, dtype=float32)} step=409600
{'Mean Episode Return': Array(13.370631, dtype=float32), 'Mean Episode Length': Array(61.89915, dtype=float32)} step=614400
{'Mean Episode Return': Array(13.526697, dtype=float32), 'Mean Episode Length': Array(62.48356, dtype=float32)} step=819200
{'Mean Episode Return': Array(13.4341955, dtype=float32), 'Mean Episode Length': Array(62.48025, dtype=float32)} step=1024000
{'Mean Episode Return': Array(13.41186, dtype=float32), 'Mean Episode Length': Array(61.98818, dtype=float32)} step=1228800
{'Mean Episode Return': Array(13.480854, dtype=float32), 'Mean Episode Length': Array(62.033413, dtype=float32)} step=1433600
{'Mean Episode Return': Array(13.521539, dtype=float32), 'Mean Episode Length': Array(61.89538, dtype=float32)} step=1638400
{'Mean Episode Return': Array(13.5941105, dtype=float32), 'Mean Episode Length': Array(62.112854, dtype=float32)} step=1843200
{'Mean Episode Return': Array(13.645041, dtype=float32), 'Mean Episode Length': Array(62.003357, dtype=float32)} step=2048000
{'Mean Episode Return': Array(13.758316, dtype=float32), 'Mean Episode Length': Array(61.96922, dtype=float32)} step=2252800
{'Mean Episode Return': Array(13.917627, dtype=float32), 'Mean Episode Length': Array(61.775146, dtype=float32)} step=2457600
{'Mean Episode Return': Array(14.154538, dtype=float32), 'Mean Episode Length': Array(62.493477, dtype=float32)} step=2662400
{'Mean Episode Return': Array(14.278934, dtype=float32), 'Mean Episode Length': Array(62.119034, dtype=float32)} step=2867200
{'Mean Episode Return': Array(14.425025, dtype=float32), 'Mean Episode Length': Array(62.448475, dtype=float32)} step=3072000
{'Mean Episode Return': Array(14.526476, dtype=float32), 'Mean Episode Length': Array(62.497223, dtype=float32)} step=3276800
{'Mean Episode Return': Array(14.883536, dtype=float32), 'Mean Episode Length': Array(63.055923, dtype=float32)} step=3481600
{'Mean Episode Return': Array(14.731683, dtype=float32), 'Mean Episode Length': Array(62.49877, dtype=float32)} step=3686400
{'Mean Episode Return': Array(15.028221, dtype=float32), 'Mean Episode Length': Array(62.67431, dtype=float32)} step=3891200
{'Mean Episode Return': Array(14.863735, dtype=float32), 'Mean Episode Length': Array(61.947792, dtype=float32)} step=4096000
{'Mean Episode Return': Array(15.169166, dtype=float32), 'Mean Episode Length': Array(62.896297, dtype=float32)} step=4300800
{'Mean Episode Return': Array(15.409324, dtype=float32), 'Mean Episode Length': Array(63.202698, dtype=float32)} step=4505600
{'Mean Episode Return': Array(15.521717, dtype=float32), 'Mean Episode Length': Array(63.29766, dtype=float32)} step=4710400
{'Mean Episode Return': Array(15.426493, dtype=float32), 'Mean Episode Length': Array(62.492966, dtype=float32)} step=4915200
{'Mean Episode Return': Array(15.636718, dtype=float32), 'Mean Episode Length': Array(62.496635, dtype=float32)} step=5120000
{'Mean Episode Return': Array(15.869721, dtype=float32), 'Mean Episode Length': Array(62.945477, dtype=float32)} step=5324800
{'Mean Episode Return': Array(15.991256, dtype=float32), 'Mean Episode Length': Array(62.69478, dtype=float32)} step=5529600
{'Mean Episode Return': Array(16.232351, dtype=float32), 'Mean Episode Length': Array(63.07481, dtype=float32)} step=5734400
{'Mean Episode Return': Array(16.24179, dtype=float32), 'Mean Episode Length': Array(62.935593, dtype=float32)} step=5939200
{'Mean Episode Return': Array(16.240604, dtype=float32), 'Mean Episode Length': Array(62.01706, dtype=float32)} step=6144000
{'Mean Episode Return': Array(16.464603, dtype=float32), 'Mean Episode Length': Array(62.44549, dtype=float32)} step=6348800
{'Mean Episode Return': Array(16.411547, dtype=float32), 'Mean Episode Length': Array(62.2247, dtype=float32)} step=6553600
{'Mean Episode Return': Array(16.613823, dtype=float32), 'Mean Episode Length': Array(62.169918, dtype=float32)} step=6758400
{'Mean Episode Return': Array(17.070156, dtype=float32), 'Mean Episode Length': Array(62.943024, dtype=float32)} step=6963200
{'Mean Episode Return': Array(16.721731, dtype=float32), 'Mean Episode Length': Array(62.736618, dtype=float32)} step=7168000
{'Mean Episode Return': Array(17.01385, dtype=float32), 'Mean Episode Length': Array(62.80987, dtype=float32)} step=7372800
{'Mean Episode Return': Array(17.01719, dtype=float32), 'Mean Episode Length': Array(62.063236, dtype=float32)} step=7577600
