Creating environment 'MjxSkeletonMuscle' with imitation learning task.
reward_params: {'qpos_w_sum': 0.6, 'qvel_w_sum': 0.2, 'rpos_w_sum': 0.5, 'rquat_w_sum': 0.3, 'rvel_w_sum': 0.1, 'action_out_of_bounds_coeff': 0.0, 'action_rate_coeff': 0.02, 'sites_for_mimic': ['upper_body_mimic', 'pelvis_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}
self._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x745c55ba2a40>
Created environment with reward function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x745c55ba2a40>
Loading LAFAN1 trajectory with env._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x745c55ba2a40>
This is load.py, with env_name: MjxSkeletonMuscle
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x745aec41bf40>
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x745aec41b3d0>
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x745aec10fa30>
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Concatenating trajectories ...
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Trajectory data loaded!
config.experiment.num_updates set to: 5859.0
config.experiment.minibatch_size set to: 800
config.experiment.validation_interval set to: 5859.0
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
metrics at the end of training: SummaryMetrics(mean_episode_return=Traced<ShapedArray(float32[5859])>with<DynamicJaxprTrace>, mean_episode_length=Traced<ShapedArray(float32[5859])>with<DynamicJaxprTrace>, max_timestep=Traced<ShapedArray(int32[5859])>with<DynamicJaxprTrace>)

Saved agent to: /home/ktoonen/workspace/TestLocoMuJoCo/TestExperimentCode/outputs/2025-11-04/10-38-03/PPOJax_saved.pkl

{'Mean Episode Return': Array(10.762754, dtype=float32), 'Mean Episode Length': Array(44.64042, dtype=float32)} step=51200
{'Mean Episode Return': Array(13.21921, dtype=float32), 'Mean Episode Length': Array(62.036297, dtype=float32)} step=102400
{'Mean Episode Return': Array(13.180878, dtype=float32), 'Mean Episode Length': Array(61.668728, dtype=float32)} step=153600
{'Mean Episode Return': Array(13.594063, dtype=float32), 'Mean Episode Length': Array(64.558784, dtype=float32)} step=204800
{'Mean Episode Return': Array(13.103208, dtype=float32), 'Mean Episode Length': Array(62.849876, dtype=float32)} step=256000
{'Mean Episode Return': Array(13.221494, dtype=float32), 'Mean Episode Length': Array(63.72131, dtype=float32)} step=307200
{'Mean Episode Return': Array(13.176739, dtype=float32), 'Mean Episode Length': Array(62.021896, dtype=float32)} step=358400
{'Mean Episode Return': Array(13.376283, dtype=float32), 'Mean Episode Length': Array(62.243076, dtype=float32)} step=409600
{'Mean Episode Return': Array(13.567203, dtype=float32), 'Mean Episode Length': Array(62.75361, dtype=float32)} step=460800
{'Mean Episode Return': Array(13.450656, dtype=float32), 'Mean Episode Length': Array(62.226192, dtype=float32)} step=512000
{'Mean Episode Return': Array(13.440913, dtype=float32), 'Mean Episode Length': Array(61.857143, dtype=float32)} step=563200
{'Mean Episode Return': Array(13.635926, dtype=float32), 'Mean Episode Length': Array(62.597515, dtype=float32)} step=614400
{'Mean Episode Return': Array(13.999476, dtype=float32), 'Mean Episode Length': Array(63.647274, dtype=float32)} step=665600
{'Mean Episode Return': Array(13.627415, dtype=float32), 'Mean Episode Length': Array(62.23661, dtype=float32)} step=716800
{'Mean Episode Return': Array(13.786838, dtype=float32), 'Mean Episode Length': Array(62.12172, dtype=float32)} step=768000
{'Mean Episode Return': Array(14.201685, dtype=float32), 'Mean Episode Length': Array(62.974266, dtype=float32)} step=819200
{'Mean Episode Return': Array(13.985686, dtype=float32), 'Mean Episode Length': Array(62.9, dtype=float32)} step=870400
{'Mean Episode Return': Array(14.220132, dtype=float32), 'Mean Episode Length': Array(62.117863, dtype=float32)} step=921600
{'Mean Episode Return': Array(14.117507, dtype=float32), 'Mean Episode Length': Array(62.63403, dtype=float32)} step=972800
{'Mean Episode Return': Array(14.302669, dtype=float32), 'Mean Episode Length': Array(62.38356, dtype=float32)} step=1024000
{'Mean Episode Return': Array(14.393272, dtype=float32), 'Mean Episode Length': Array(63.939953, dtype=float32)} step=1075200
{'Mean Episode Return': Array(14.366546, dtype=float32), 'Mean Episode Length': Array(62.01829, dtype=float32)} step=1126400
{'Mean Episode Return': Array(15.0694065, dtype=float32), 'Mean Episode Length': Array(64.92936, dtype=float32)} step=1177600
{'Mean Episode Return': Array(14.727141, dtype=float32), 'Mean Episode Length': Array(61.583233, dtype=float32)} step=1228800
{'Mean Episode Return': Array(14.818334, dtype=float32), 'Mean Episode Length': Array(62.777634, dtype=float32)} step=1280000
{'Mean Episode Return': Array(14.98425, dtype=float32), 'Mean Episode Length': Array(62.90729, dtype=float32)} step=1331200
{'Mean Episode Return': Array(15.1082945, dtype=float32), 'Mean Episode Length': Array(63.464634, dtype=float32)} step=1382400
{'Mean Episode Return': Array(14.917826, dtype=float32), 'Mean Episode Length': Array(62.53737, dtype=float32)} step=1433600
{'Mean Episode Return': Array(15.365017, dtype=float32), 'Mean Episode Length': Array(62.39201, dtype=float32)} step=1484800
{'Mean Episode Return': Array(15.037105, dtype=float32), 'Mean Episode Length': Array(62.19375, dtype=float32)} step=1536000
{'Mean Episode Return': Array(15.227472, dtype=float32), 'Mean Episode Length': Array(63.03129, dtype=float32)} step=1587200
{'Mean Episode Return': Array(15.491416, dtype=float32), 'Mean Episode Length': Array(62.349068, dtype=float32)} step=1638400
{'Mean Episode Return': Array(15.930384, dtype=float32), 'Mean Episode Length': Array(64.10714, dtype=float32)} step=1689600
{'Mean Episode Return': Array(15.335608, dtype=float32), 'Mean Episode Length': Array(62.24939, dtype=float32)} step=1740800
{'Mean Episode Return': Array(15.540067, dtype=float32), 'Mean Episode Length': Array(62.66503, dtype=float32)} step=1792000
{'Mean Episode Return': Array(15.554483, dtype=float32), 'Mean Episode Length': Array(63.098747, dtype=float32)} step=1843200
{'Mean Episode Return': Array(16.007696, dtype=float32), 'Mean Episode Length': Array(63.20075, dtype=float32)} step=1894400
