Creating environment 'MjxSkeletonMuscle' with imitation learning task.
reward_params: {'qpos_w_sum': 0.4, 'qvel_w_sum': 0.2, 'rpos_w_sum': 0.5, 'rquat_w_sum': 0.3, 'rvel_w_sum': 0.1, 'action_out_of_bounds_coeff': 0.01, 'joint_acc_coeff': 0.0, 'joint_torque_coeff': 0.0, 'action_rate_coeff': 0.0, 'sites_for_mimic': ['upper_body_mimic', 'left_shoulder_mimic', 'left_hand_mimic', 'left_hip_mimic', 'left_elbow_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_shoulder_mimic', 'right_hand_mimic', 'right_hip_mimic', 'right_elbow_mimic', 'right_knee_mimic', 'right_foot_mimic']}
self._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x7022f1fb3100>
Created environment with reward function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x7022f1fb3100>
Loading LAFAN1 trajectory with env._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x7022f1fb3100>
This is load.py, with env_name: MjxSkeletonMuscle
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x702188754130>
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x70220e088910>
This is load.py, with env_name: SkeletonMuscle
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Using Mujoco's kinematics to calculate other model-specific entities ...
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x70218840ce20>
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Concatenating trajectories ...
[LocoMuJoCo's LAFAN1 Retargeting Pipeline] INFO: Trajectory data loaded!
config.experiment.num_updates set to: 1953.0
config.experiment.minibatch_size set to: 6400
config.experiment.validation_interval set to: 1953.0
Action in PPOJax env_step: Traced<ShapedArray(float32[4096,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[4096,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[4096,106])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[4096])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
metrics at the end of training: SummaryMetrics(mean_episode_return=Traced<ShapedArray(float32[1953])>with<DynamicJaxprTrace>, mean_episode_length=Traced<ShapedArray(float32[1953])>with<DynamicJaxprTrace>, max_timestep=Traced<ShapedArray(int32[1953])>with<DynamicJaxprTrace>)

Saved agent to: /home/ktoonen/workspace/TestLocoMuJoCo/TestExperimentCode/outputs/2025-10-22/09-39-19/PPOJax_saved.pkl

{'Mean Episode Return': Array(11.024732, dtype=float32), 'Mean Episode Length': Array(44.105366, dtype=float32)} step=204800
{'Mean Episode Return': Array(13.555063, dtype=float32), 'Mean Episode Length': Array(61.086483, dtype=float32)} step=409600
{'Mean Episode Return': Array(13.678209, dtype=float32), 'Mean Episode Length': Array(61.875114, dtype=float32)} step=614400
{'Mean Episode Return': Array(13.815301, dtype=float32), 'Mean Episode Length': Array(62.40536, dtype=float32)} step=819200
{'Mean Episode Return': Array(13.670933, dtype=float32), 'Mean Episode Length': Array(62.345856, dtype=float32)} step=1024000
{'Mean Episode Return': Array(13.759796, dtype=float32), 'Mean Episode Length': Array(62.307877, dtype=float32)} step=1228800
{'Mean Episode Return': Array(13.695938, dtype=float32), 'Mean Episode Length': Array(61.57384, dtype=float32)} step=1433600
{'Mean Episode Return': Array(13.837896, dtype=float32), 'Mean Episode Length': Array(61.687485, dtype=float32)} step=1638400
{'Mean Episode Return': Array(13.825497, dtype=float32), 'Mean Episode Length': Array(61.754868, dtype=float32)} step=1843200
{'Mean Episode Return': Array(13.847986, dtype=float32), 'Mean Episode Length': Array(62.0262, dtype=float32)} step=2048000
{'Mean Episode Return': Array(13.987261, dtype=float32), 'Mean Episode Length': Array(62.070045, dtype=float32)} step=2252800
{'Mean Episode Return': Array(13.989728, dtype=float32), 'Mean Episode Length': Array(61.344215, dtype=float32)} step=2457600
{'Mean Episode Return': Array(14.140925, dtype=float32), 'Mean Episode Length': Array(62.09963, dtype=float32)} step=2662400
{'Mean Episode Return': Array(14.369665, dtype=float32), 'Mean Episode Length': Array(62.098907, dtype=float32)} step=2867200
{'Mean Episode Return': Array(14.581893, dtype=float32), 'Mean Episode Length': Array(62.026993, dtype=float32)} step=3072000
{'Mean Episode Return': Array(14.746334, dtype=float32), 'Mean Episode Length': Array(62.349075, dtype=float32)} step=3276800
{'Mean Episode Return': Array(14.934914, dtype=float32), 'Mean Episode Length': Array(62.680473, dtype=float32)} step=3481600
{'Mean Episode Return': Array(14.915342, dtype=float32), 'Mean Episode Length': Array(62.428314, dtype=float32)} step=3686400
{'Mean Episode Return': Array(15.017999, dtype=float32), 'Mean Episode Length': Array(61.930283, dtype=float32)} step=3891200
{'Mean Episode Return': Array(15.100687, dtype=float32), 'Mean Episode Length': Array(62.225388, dtype=float32)} step=4096000
{'Mean Episode Return': Array(15.39806, dtype=float32), 'Mean Episode Length': Array(62.801098, dtype=float32)} step=4300800
{'Mean Episode Return': Array(15.665356, dtype=float32), 'Mean Episode Length': Array(63.291332, dtype=float32)} step=4505600
{'Mean Episode Return': Array(15.650604, dtype=float32), 'Mean Episode Length': Array(62.474194, dtype=float32)} step=4710400
{'Mean Episode Return': Array(15.727803, dtype=float32), 'Mean Episode Length': Array(62.12446, dtype=float32)} step=4915200
{'Mean Episode Return': Array(15.910724, dtype=float32), 'Mean Episode Length': Array(62.679874, dtype=float32)} step=5120000
{'Mean Episode Return': Array(16.075884, dtype=float32), 'Mean Episode Length': Array(63.01255, dtype=float32)} step=5324800
{'Mean Episode Return': Array(15.911732, dtype=float32), 'Mean Episode Length': Array(62.429802, dtype=float32)} step=5529600
{'Mean Episode Return': Array(16.34267, dtype=float32), 'Mean Episode Length': Array(62.903988, dtype=float32)} step=5734400
{'Mean Episode Return': Array(16.267756, dtype=float32), 'Mean Episode Length': Array(62.209747, dtype=float32)} step=5939200
{'Mean Episode Return': Array(16.066721, dtype=float32), 'Mean Episode Length': Array(61.878296, dtype=float32)} step=6144000
{'Mean Episode Return': Array(16.561266, dtype=float32), 'Mean Episode Length': Array(62.846607, dtype=float32)} step=6348800
{'Mean Episode Return': Array(16.750786, dtype=float32), 'Mean Episode Length': Array(62.66596, dtype=float32)} step=6553600
{'Mean Episode Return': Array(16.566807, dtype=float32), 'Mean Episode Length': Array(62.413242, dtype=float32)} step=6758400
{'Mean Episode Return': Array(16.918974, dtype=float32), 'Mean Episode Length': Array(63.020554, dtype=float32)} step=6963200
{'Mean Episode Return': Array(16.971447, dtype=float32), 'Mean Episode Length': Array(63.206562, dtype=float32)} step=7168000
{'Mean Episode Return': Array(17.006273, dtype=float32), 'Mean Episode Length': Array(63.07866, dtype=float32)} step=7372800
{'Mean Episode Return': Array(17.071686, dtype=float32), 'Mean Episode Length': Array(62.894207, dtype=float32)} step=7577600
{'Mean Episode Return': Array(17.074001, dtype=float32), 'Mean Episode Length': Array(62.495193, dtype=float32)} step=7782400
{'Mean Episode Return': Array(17.290222, dtype=float32), 'Mean Episode Length': Array(63.26847, dtype=float32)} step=7987200
{'Mean Episode Return': Array(17.307669, dtype=float32), 'Mean Episode Length': Array(62.839233, dtype=float32)} step=8192000
{'Mean Episode Return': Array(17.392496, dtype=float32), 'Mean Episode Length': Array(62.894314, dtype=float32)} step=8396800
{'Mean Episode Return': Array(17.50147, dtype=float32), 'Mean Episode Length': Array(63.214157, dtype=float32)} step=8601600
{'Mean Episode Return': Array(17.553644, dtype=float32), 'Mean Episode Length': Array(63.03196, dtype=float32)} step=8806400
{'Mean Episode Return': Array(17.642307, dtype=float32), 'Mean Episode Length': Array(63.35999, dtype=float32)} step=9011200
{'Mean Episode Return': Array(17.664932, dtype=float32), 'Mean Episode Length': Array(63.15218, dtype=float32)} step=9216000
{'Mean Episode Return': Array(17.654474, dtype=float32), 'Mean Episode Length': Array(62.88506, dtype=float32)} step=9420800
{'Mean Episode Return': Array(17.759785, dtype=float32), 'Mean Episode Length': Array(62.820152, dtype=float32)} step=9625600
{'Mean Episode Return': Array(17.857613, dtype=float32), 'Mean Episode Length': Array(62.999683, dtype=float32)} step=9830400
{'Mean Episode Return': Array(18.06475, dtype=float32), 'Mean Episode Length': Array(63.674717, dtype=float32)} step=10035200
{'Mean Episode Return': Array(17.916853, dtype=float32), 'Mean Episode Length': Array(62.503563, dtype=float32)} step=10240000
{'Mean Episode Return': Array(18.077171, dtype=float32), 'Mean Episode Length': Array(62.98875, dtype=float32)} step=10444800
{'Mean Episode Return': Array(18.281036, dtype=float32), 'Mean Episode Length': Array(63.034462, dtype=float32)} step=10649600
{'Mean Episode Return': Array(18.165886, dtype=float32), 'Mean Episode Length': Array(62.93052, dtype=float32)} step=10854400
{'Mean Episode Return': Array(18.43963, dtype=float32), 'Mean Episode Length': Array(63.323383, dtype=float32)} step=11059200
{'Mean Episode Return': Array(18.545904, dtype=float32), 'Mean Episode Length': Array(63.289837, dtype=float32)} step=11264000
{'Mean Episode Return': Array(18.439156, dtype=float32), 'Mean Episode Length': Array(63.379967, dtype=float32)} step=11468800
{'Mean Episode Return': Array(18.498987, dtype=float32), 'Mean Episode Length': Array(63.368053, dtype=float32)} step=11673600
{'Mean Episode Return': Array(18.54227, dtype=float32), 'Mean Episode Length': Array(62.945168, dtype=float32)} step=11878400
{'Mean Episode Return': Array(18.641079, dtype=float32), 'Mean Episode Length': Array(63.049168, dtype=float32)} step=12083200
{'Mean Episode Return': Array(18.769323, dtype=float32), 'Mean Episode Length': Array(62.70629, dtype=float32)} step=12288000
{'Mean Episode Return': Array(18.56411, dtype=float32), 'Mean Episode Length': Array(62.66969, dtype=float32)} step=12492800
{'Mean Episode Return': Array(18.9207, dtype=float32), 'Mean Episode Length': Array(63.617485, dtype=float32)} step=12697600
{'Mean Episode Return': Array(19.029245, dtype=float32), 'Mean Episode Length': Array(63.14908, dtype=float32)} step=12902400
{'Mean Episode Return': Array(18.80826, dtype=float32), 'Mean Episode Length': Array(62.778507, dtype=float32)} step=13107200
{'Mean Episode Return': Array(19.205667, dtype=float32), 'Mean Episode Length': Array(63.835594, dtype=float32)} step=13312000
{'Mean Episode Return': Array(19.136608, dtype=float32), 'Mean Episode Length': Array(63.320015, dtype=float32)} step=13516800
{'Mean Episode Return': Array(18.896671, dtype=float32), 'Mean Episode Length': Array(63.402786, dtype=float32)} step=13721600
{'Mean Episode Return': Array(19.14115, dtype=float32), 'Mean Episode Length': Array(63.013546, dtype=float32)} step=13926400
{'Mean Episode Return': Array(19.289894, dtype=float32), 'Mean Episode Length': Array(63.9155, dtype=float32)} step=14131200
{'Mean Episode Return': Array(19.253271, dtype=float32), 'Mean Episode Length': Array(63.707485, dtype=float32)} step=14336000
{'Mean Episode Return': Array(19.282251, dtype=float32), 'Mean Episode Length': Array(63.6222, dtype=float32)} step=14540800
{'Mean Episode Return': Array(19.193981, dtype=float32), 'Mean Episode Length': Array(63.47496, dtype=float32)} step=14745600
{'Mean Episode Return': Array(19.195274, dtype=float32), 'Mean Episode Length': Array(63.22934, dtype=float32)} step=14950400
{'Mean Episode Return': Array(19.529621, dtype=float32), 'Mean Episode Length': Array(63.954094, dtype=float32)} step=15155200
{'Mean Episode Return': Array(19.304356, dtype=float32), 'Mean Episode Length': Array(62.999054, dtype=float32)} step=15360000
{'Mean Episode Return': Array(19.822765, dtype=float32), 'Mean Episode Length': Array(64.630875, dtype=float32)} step=15564800
{'Mean Episode Return': Array(19.3263, dtype=float32), 'Mean Episode Length': Array(63.24558, dtype=float32)} step=15769600
{'Mean Episode Return': Array(19.43127, dtype=float32), 'Mean Episode Length': Array(63.43172, dtype=float32)} step=15974400
{'Mean Episode Return': Array(19.571396, dtype=float32), 'Mean Episode Length': Array(64.06299, dtype=float32)} step=16179200
{'Mean Episode Return': Array(19.534288, dtype=float32), 'Mean Episode Length': Array(63.98561, dtype=float32)} step=16384000
{'Mean Episode Return': Array(19.792572, dtype=float32), 'Mean Episode Length': Array(64.20872, dtype=float32)} step=16588800
{'Mean Episode Return': Array(19.763796, dtype=float32), 'Mean Episode Length': Array(64.25403, dtype=float32)} step=16793600
{'Mean Episode Return': Array(19.886353, dtype=float32), 'Mean Episode Length': Array(64.38625, dtype=float32)} step=16998400
{'Mean Episode Return': Array(19.897797, dtype=float32), 'Mean Episode Length': Array(64.43906, dtype=float32)} step=17203200
{'Mean Episode Return': Array(20.011759, dtype=float32), 'Mean Episode Length': Array(65.69321, dtype=float32)} step=17408000
{'Mean Episode Return': Array(20.283792, dtype=float32), 'Mean Episode Length': Array(65.43551, dtype=float32)} step=17612800
{'Mean Episode Return': Array(19.977695, dtype=float32), 'Mean Episode Length': Array(64.426636, dtype=float32)} step=17817600
{'Mean Episode Return': Array(20.082952, dtype=float32), 'Mean Episode Length': Array(65.38107, dtype=float32)} step=18022400
{'Mean Episode Return': Array(20.218857, dtype=float32), 'Mean Episode Length': Array(66.220245, dtype=float32)} step=18227200
{'Mean Episode Return': Array(20.201973, dtype=float32), 'Mean Episode Length': Array(66.53946, dtype=float32)} step=18432000
{'Mean Episode Return': Array(20.097925, dtype=float32), 'Mean Episode Length': Array(65.40868, dtype=float32)} step=18636800
{'Mean Episode Return': Array(20.194838, dtype=float32), 'Mean Episode Length': Array(65.88164, dtype=float32)} step=18841600
{'Mean Episode Return': Array(20.154043, dtype=float32), 'Mean Episode Length': Array(65.434555, dtype=float32)} step=19046400
{'Mean Episode Return': Array(20.411463, dtype=float32), 'Mean Episode Length': Array(66.95355, dtype=float32)} step=19251200
{'Mean Episode Return': Array(20.351063, dtype=float32), 'Mean Episode Length': Array(66.1538, dtype=float32)} step=19456000
{'Mean Episode Return': Array(20.307352, dtype=float32), 'Mean Episode Length': Array(65.97147, dtype=float32)} step=19660800
{'Mean Episode Return': Array(20.765818, dtype=float32), 'Mean Episode Length': Array(67.21062, dtype=float32)} step=19865600
{'Mean Episode Return': Array(20.52967, dtype=float32), 'Mean Episode Length': Array(66.958496, dtype=float32)} step=20070400
{'Mean Episode Return': Array(20.608566, dtype=float32), 'Mean Episode Length': Array(66.89677, dtype=float32)} step=20275200
{'Mean Episode Return': Array(20.588444, dtype=float32), 'Mean Episode Length': Array(66.339905, dtype=float32)} step=20480000
{'Mean Episode Return': Array(20.663965, dtype=float32), 'Mean Episode Length': Array(66.63263, dtype=float32)} step=20684800
{'Mean Episode Return': Array(20.630758, dtype=float32), 'Mean Episode Length': Array(67.10017, dtype=float32)} step=20889600
{'Mean Episode Return': Array(20.469885, dtype=float32), 'Mean Episode Length': Array(66.19176, dtype=float32)} step=21094400
{'Mean Episode Return': Array(21.227196, dtype=float32), 'Mean Episode Length': Array(68.216286, dtype=float32)} step=21299200
{'Mean Episode Return': Array(20.913372, dtype=float32), 'Mean Episode Length': Array(67.11941, dtype=float32)} step=21504000
{'Mean Episode Return': Array(21.060543, dtype=float32), 'Mean Episode Length': Array(67.52916, dtype=float32)} step=21708800
{'Mean Episode Return': Array(20.975735, dtype=float32), 'Mean Episode Length': Array(67.82491, dtype=float32)} step=21913600
{'Mean Episode Return': Array(20.81838, dtype=float32), 'Mean Episode Length': Array(67.0143, dtype=float32)} step=22118400
{'Mean Episode Return': Array(20.967846, dtype=float32), 'Mean Episode Length': Array(67.388374, dtype=float32)} step=22323200
{'Mean Episode Return': Array(20.754213, dtype=float32), 'Mean Episode Length': Array(67.33466, dtype=float32)} step=22528000
{'Mean Episode Return': Array(21.098822, dtype=float32), 'Mean Episode Length': Array(67.89524, dtype=float32)} step=22732800
{'Mean Episode Return': Array(20.798824, dtype=float32), 'Mean Episode Length': Array(67.71647, dtype=float32)} step=22937600
{'Mean Episode Return': Array(21.083414, dtype=float32), 'Mean Episode Length': Array(68.50168, dtype=float32)} step=23142400
{'Mean Episode Return': Array(21.195648, dtype=float32), 'Mean Episode Length': Array(68.91017, dtype=float32)} step=23347200
{'Mean Episode Return': Array(20.807772, dtype=float32), 'Mean Episode Length': Array(68.29333, dtype=float32)} step=23552000
{'Mean Episode Return': Array(21.492447, dtype=float32), 'Mean Episode Length': Array(69.18048, dtype=float32)} step=23756800
{'Mean Episode Return': Array(21.209837, dtype=float32), 'Mean Episode Length': Array(69.346664, dtype=float32)} step=23961600
{'Mean Episode Return': Array(21.218445, dtype=float32), 'Mean Episode Length': Array(69.08859, dtype=float32)} step=24166400
{'Mean Episode Return': Array(20.903114, dtype=float32), 'Mean Episode Length': Array(68.271286, dtype=float32)} step=24371200
{'Mean Episode Return': Array(21.355116, dtype=float32), 'Mean Episode Length': Array(69.37032, dtype=float32)} step=24576000
{'Mean Episode Return': Array(21.273628, dtype=float32), 'Mean Episode Length': Array(69.26345, dtype=float32)} step=24780800
{'Mean Episode Return': Array(21.951866, dtype=float32), 'Mean Episode Length': Array(70.12296, dtype=float32)} step=24985600
{'Mean Episode Return': Array(21.443958, dtype=float32), 'Mean Episode Length': Array(69.13773, dtype=float32)} step=25190400
{'Mean Episode Return': Array(21.768816, dtype=float32), 'Mean Episode Length': Array(69.92133, dtype=float32)} step=25395200
{'Mean Episode Return': Array(21.29701, dtype=float32), 'Mean Episode Length': Array(68.64739, dtype=float32)} step=25600000
{'Mean Episode Return': Array(21.322388, dtype=float32), 'Mean Episode Length': Array(68.747246, dtype=float32)} step=25804800
{'Mean Episode Return': Array(21.340544, dtype=float32), 'Mean Episode Length': Array(68.71496, dtype=float32)} step=26009600
{'Mean Episode Return': Array(21.359547, dtype=float32), 'Mean Episode Length': Array(68.87055, dtype=float32)} step=26214400
{'Mean Episode Return': Array(21.408018, dtype=float32), 'Mean Episode Length': Array(69.231255, dtype=float32)} step=26419200
{'Mean Episode Return': Array(21.440342, dtype=float32), 'Mean Episode Length': Array(69.1875, dtype=float32)} step=26624000
{'Mean Episode Return': Array(21.471468, dtype=float32), 'Mean Episode Length': Array(68.71102, dtype=float32)} step=26828800
{'Mean Episode Return': Array(21.816427, dtype=float32), 'Mean Episode Length': Array(69.66309, dtype=float32)} step=27033600
{'Mean Episode Return': Array(21.437164, dtype=float32), 'Mean Episode Length': Array(68.8066, dtype=float32)} step=27238400
{'Mean Episode Return': Array(21.599611, dtype=float32), 'Mean Episode Length': Array(69.5215, dtype=float32)} step=27443200
{'Mean Episode Return': Array(21.58491, dtype=float32), 'Mean Episode Length': Array(69.24846, dtype=float32)} step=27648000
{'Mean Episode Return': Array(21.812023, dtype=float32), 'Mean Episode Length': Array(69.72442, dtype=float32)} step=27852800
{'Mean Episode Return': Array(21.58972, dtype=float32), 'Mean Episode Length': Array(69.030685, dtype=float32)} step=28057600
{'Mean Episode Return': Array(21.351757, dtype=float32), 'Mean Episode Length': Array(69.111404, dtype=float32)} step=28262400
{'Mean Episode Return': Array(21.629585, dtype=float32), 'Mean Episode Length': Array(69.66287, dtype=float32)} step=28467200
{'Mean Episode Return': Array(21.513016, dtype=float32), 'Mean Episode Length': Array(69.672295, dtype=float32)} step=28672000
{'Mean Episode Return': Array(21.896881, dtype=float32), 'Mean Episode Length': Array(70.54447, dtype=float32)} step=28876800
{'Mean Episode Return': Array(21.703749, dtype=float32), 'Mean Episode Length': Array(69.91189, dtype=float32)} step=29081600
{'Mean Episode Return': Array(21.674936, dtype=float32), 'Mean Episode Length': Array(70.453476, dtype=float32)} step=29286400
{'Mean Episode Return': Array(21.838926, dtype=float32), 'Mean Episode Length': Array(70.71438, dtype=float32)} step=29491200
{'Mean Episode Return': Array(22.00891, dtype=float32), 'Mean Episode Length': Array(70.468956, dtype=float32)} step=29696000
{'Mean Episode Return': Array(21.598875, dtype=float32), 'Mean Episode Length': Array(69.38741, dtype=float32)} step=29900800
{'Mean Episode Return': Array(21.878826, dtype=float32), 'Mean Episode Length': Array(70.13842, dtype=float32)} step=30105600
{'Mean Episode Return': Array(21.906387, dtype=float32), 'Mean Episode Length': Array(70.0865, dtype=float32)} step=30310400
{'Mean Episode Return': Array(21.59171, dtype=float32), 'Mean Episode Length': Array(69.45075, dtype=float32)} step=30515200
{'Mean Episode Return': Array(21.99317, dtype=float32), 'Mean Episode Length': Array(70.44475, dtype=float32)} step=30720000
{'Mean Episode Return': Array(21.937662, dtype=float32), 'Mean Episode Length': Array(70.548836, dtype=float32)} step=30924800
{'Mean Episode Return': Array(21.634829, dtype=float32), 'Mean Episode Length': Array(69.29977, dtype=float32)} step=31129600
{'Mean Episode Return': Array(21.530502, dtype=float32), 'Mean Episode Length': Array(68.556335, dtype=float32)} step=31334400
{'Mean Episode Return': Array(21.784609, dtype=float32), 'Mean Episode Length': Array(69.390144, dtype=float32)} step=31539200
{'Mean Episode Return': Array(21.934921, dtype=float32), 'Mean Episode Length': Array(70.3474, dtype=float32)} step=31744000
