Creating environment 'MjxSkeletonMuscle' with imitation learning task.
reward_params: {'qpos_w_exp': 10.0, 'qvel_w_exp': 2.0, 'rpos_w_exp': 100.0, 'rquat_w_exp': 10.0, 'rvel_w_exp': 0.1, 'qpos_w_sum': 0.6, 'qvel_w_sum': 0.2, 'action_out_of_bounds_coeff': 0.0, 'action_rate_coeff': 0.02, 'action_size_coeff': 0.02, 'sites_for_mimic': ['upper_body_mimic', 'pelvis_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}
self._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x768773ccf460>
Created environment with reward function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x768773ccf460>
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x7681440b72e0>
config.experiment.num_updates set to: 9765.0
config.experiment.minibatch_size set to: 800
config.experiment.validation_interval set to: 488.0
actorcritic_class: <class 'loco_mujoco.algorithms.common.networks.LatticeActorCritic'>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
metrics at the end of training: SummaryMetrics(mean_episode_return=Traced<ShapedArray(float32[9765])>with<DynamicJaxprTrace>, mean_episode_length=Traced<ShapedArray(float32[9765])>with<DynamicJaxprTrace>, max_timestep=Traced<ShapedArray(int32[9765])>with<DynamicJaxprTrace>)

Saved agent to: /home/ktoonen/workspace/TestLocoMuJoCo/TestExperimentCode/outputs/2025-11-26/08-30-56/PPOJax_saved.pkl

{'Mean Episode Return': Array(5.6651306, dtype=float32), 'Mean Episode Length': Array(34.189304, dtype=float32)} step=51200
{'Mean Episode Return': Array(6.2338405, dtype=float32), 'Mean Episode Length': Array(44.037006, dtype=float32)} step=102400
{'Mean Episode Return': Array(7.7427664, dtype=float32), 'Mean Episode Length': Array(40.235897, dtype=float32)} step=153600
{'Mean Episode Return': Array(7.50392, dtype=float32), 'Mean Episode Length': Array(40.604015, dtype=float32)} step=204800
{'Mean Episode Return': Array(7.107169, dtype=float32), 'Mean Episode Length': Array(40.668797, dtype=float32)} step=256000
{'Mean Episode Return': Array(6.944461, dtype=float32), 'Mean Episode Length': Array(41.12898, dtype=float32)} step=307200
{'Mean Episode Return': Array(6.804059, dtype=float32), 'Mean Episode Length': Array(40.306747, dtype=float32)} step=358400
{'Mean Episode Return': Array(7.013583, dtype=float32), 'Mean Episode Length': Array(41.21377, dtype=float32)} step=409600
{'Mean Episode Return': Array(7.5683303, dtype=float32), 'Mean Episode Length': Array(40.852486, dtype=float32)} step=460800
{'Mean Episode Return': Array(7.7865, dtype=float32), 'Mean Episode Length': Array(41.444714, dtype=float32)} step=512000
{'Mean Episode Return': Array(8.081267, dtype=float32), 'Mean Episode Length': Array(41.48681, dtype=float32)} step=563200
{'Mean Episode Return': Array(8.600602, dtype=float32), 'Mean Episode Length': Array(40.513622, dtype=float32)} step=614400
{'Mean Episode Return': Array(8.936293, dtype=float32), 'Mean Episode Length': Array(40.79313, dtype=float32)} step=665600
{'Mean Episode Return': Array(9.071278, dtype=float32), 'Mean Episode Length': Array(40.99129, dtype=float32)} step=716800
{'Mean Episode Return': Array(9.405166, dtype=float32), 'Mean Episode Length': Array(41.268074, dtype=float32)} step=768000
{'Mean Episode Return': Array(9.864362, dtype=float32), 'Mean Episode Length': Array(40.72655, dtype=float32)} step=819200
{'Mean Episode Return': Array(10.3889885, dtype=float32), 'Mean Episode Length': Array(40.90151, dtype=float32)} step=870400
{'Mean Episode Return': Array(10.64799, dtype=float32), 'Mean Episode Length': Array(41.102074, dtype=float32)} step=921600
{'Mean Episode Return': Array(10.837159, dtype=float32), 'Mean Episode Length': Array(40.8568, dtype=float32)} step=972800
{'Mean Episode Return': Array(11.163291, dtype=float32), 'Mean Episode Length': Array(40.355118, dtype=float32)} step=1024000
{'Mean Episode Return': Array(11.339198, dtype=float32), 'Mean Episode Length': Array(41.081036, dtype=float32)} step=1075200
{'Mean Episode Return': Array(11.772674, dtype=float32), 'Mean Episode Length': Array(40.94886, dtype=float32)} step=1126400
{'Mean Episode Return': Array(12.006191, dtype=float32), 'Mean Episode Length': Array(40.60997, dtype=float32)} step=1177600
{'Mean Episode Return': Array(12.261495, dtype=float32), 'Mean Episode Length': Array(40.43416, dtype=float32)} step=1228800
{'Mean Episode Return': Array(12.381487, dtype=float32), 'Mean Episode Length': Array(40.832138, dtype=float32)} step=1280000
{'Mean Episode Return': Array(12.745866, dtype=float32), 'Mean Episode Length': Array(40.5079, dtype=float32)} step=1331200
{'Mean Episode Return': Array(12.840296, dtype=float32), 'Mean Episode Length': Array(41.093826, dtype=float32)} step=1382400
{'Mean Episode Return': Array(13.075283, dtype=float32), 'Mean Episode Length': Array(40.66508, dtype=float32)} step=1433600
