Timestep,q_hip_flexion_r,q_hip_adduction_r,q_hip_rotation_r,q_knee_angle_r,q_ankle_angle_r,q_hip_flexion_l,q_hip_adduction_l,q_hip_rotation_l,q_knee_angle_l,q_ankle_angle_l,q_lumbar_extension,q_lumbar_bending,q_lumbar_rotation,q_arm_flex_r,q_arm_add_r,q_arm_rot_r,q_elbow_flex_r,q_pro_sup_r,q_wrist_flex_r,q_wrist_dev_r,q_arm_flex_l,q_arm_add_l,q_arm_rot_l,q_elbow_flex_l,q_pro_sup_l,q_wrist_flex_l,q_wrist_dev_l,dq_hip_flexion_r,dq_hip_adduction_r,dq_hip_rotation_r,dq_knee_angle_r,dq_ankle_angle_r,dq_hip_flexion_l,dq_hip_adduction_l,dq_hip_rotation_l,dq_knee_angle_l,dq_ankle_angle_l,dq_lumbar_extension,dq_lumbar_bending,dq_lumbar_rotation,dq_arm_flex_r,dq_arm_add_r,dq_arm_rot_r,dq_elbow_flex_r,dq_pro_sup_r,dq_wrist_flex_r,dq_wrist_dev_r,dq_arm_flex_l,dq_arm_add_l,dq_arm_rot_l,dq_elbow_flex_l,dq_pro_sup_l,dq_wrist_flex_l,dq_wrist_dev_l
0,0.37390357,-0.041153222,-0.25065416,-0.12486328,0.106505536,-0.42911187,-0.064425275,0.13951506,-0.11263429,0.33137262,-0.30135426,0.036621172,-0.21473527,-0.3870408,-0.30346245,0.22386204,0.7159159,1.5320765,0.0,0.0,0.33184445,-0.45852667,0.14266732,1.1799092,1.4415534,0.0,0.0,0.007847714,0.26250982,0.08707055,-1.5997552,-4.132255,-0.6247629,-0.5294694,0.9674107,-1.4140688,-0.24610882,0.3223383,0.43241638,-0.42338407,0.4160753,0.08035709,0.59338766,-1.4283282,0.24722673,0.0,0.0,-0.24633905,0.39962775,-0.6375134,0.14297496,0.20146123,0.0,0.0
1,0.37147316,-0.033279102,-0.24953422,-0.13841954,0.025709966,-0.4381521,-0.07371339,0.15017727,-0.12933666,0.33403915,-0.3029333,0.0479958,-0.20585097,-0.41175,-0.2851084,0.14353488,0.74921405,1.6617832,5.246936e-05,-0.0010425274,0.35562995,-0.45026657,0.18422402,1.1801419,1.6247303,-0.0012931294,-0.00017890631,-0.5810718,0.9976637,-0.35759136,-1.1865263,-9.519264,-1.0212071,-1.2976161,1.3204848,-1.9233476,0.1986114,-0.48545393,1.6704249,1.4172636,-4.1391454,2.8678904,-12.010966,6.073247,9.637674,0.016768463,-0.13278978,4.033638,1.0496182,7.6461606,-0.1126323,20.85633,-0.1368688,-0.009537065
2,0.37044704,-0.029076707,-0.25612706,-0.15265687,-0.07299237,-0.4396487,-0.08399227,0.16815516,-0.15457597,0.33084172,-0.30251768,0.061766285,-0.19749247,-0.43060496,-0.24328887,0.047792133,0.74732167,1.7110343,0.00010234093,-0.0034471126,0.39402646,-0.44079906,0.27634156,1.1758596,1.732426,-0.0021496755,-0.0011474694,0.12325912,-0.07190556,-0.7457939,-1.6427768,-9.758532,0.29911044,-0.72975045,2.0609798,-2.8590367,-0.68429345,0.28985524,1.0308877,0.40886548,-0.50093406,4.9731297,-8.377419,-3.9708216,2.6533968,-0.009132391,-0.27297443,3.719345,0.8854677,10.07756,-0.5864057,5.8948298,-0.05939193,-0.109049335
3,0.3718887,-0.033758532,-0.2642141,-0.17184494,-0.16144912,-0.43402246,-0.08921641,0.18941149,-0.18589829,0.32014313,-0.29851663,0.07036512,-0.20734979,-0.409351,-0.20795144,0.037291422,0.67706776,1.7195094,-0.00067504664,-0.0054445104,0.39742023,-0.42319623,0.3013106,1.1816397,1.7533973,-0.00095821766,-0.002296633,0.13893136,-0.62473583,-0.8078275,-2.0962334,-8.119904,0.675969,-0.43633524,2.0647798,-3.265922,-1.2818061,0.46161455,0.813116,-1.7624353,3.6511345,2.7122447,3.2792826,-8.89047,0.013845181,-0.08659982,-0.15590502,-1.7569443,2.2683914,-2.1207347,1.2098571,0.32057136,0.18710463,-0.11575132
4,0.37273666,-0.039658684,-0.2711593,-0.19552645,-0.23061505,-0.42760894,-0.09305307,0.20605202,-0.21969083,0.3055198,-0.29414704,0.08006188,-0.2323184,-0.37042022,-0.20028287,0.12598436,0.6240099,1.7144059,-0.00078696694,-0.005735457,0.35536748,-0.39581025,0.22895324,1.1985236,1.7444539,0.0015468512,-0.003630236,0.0803047,-0.5660881,-0.6045728,-2.5349774,-6.144541,0.64828277,-0.3221025,1.3839967,-3.4660864,-1.5898771,0.4511153,1.0424936,-2.904801,4.036165,-0.38012907,12.242583,-2.929343,-0.72616416,0.031249085,0.025136441,-5.6403513,3.039096,-10.205127,1.9437956,-1.4147888,0.2628346,-0.13834201
5,0.37073004,-0.044480726,-0.2739908,-0.22307166,-0.25283667,-0.42224,-0.09518925,0.21598919,-0.2563285,0.28831422,-0.2909167,0.09163573,-0.2610487,-0.33629912,-0.21368763,0.24317177,0.6379326,1.7066091,0.0009222358,-0.005466686,0.30174437,-0.36570823,0.1396021,1.2100796,1.7281154,0.0027407354,-0.0048524514,-0.45191526,-0.4723488,0.057764646,-2.8708062,2.2164876,0.53497255,-0.08975473,0.8277431,-3.8415189,-1.7996186,0.3005425,1.1535171,-2.9374833,3.0603406,-2.019141,11.366141,4.1235023,-0.7797488,0.24884377,0.021692196,-5.2300487,2.951896,-8.15431,0.6780552,-1.679445,0.052270766,-0.10990071
6,0.36412424,-0.04734299,-0.27028945,-0.25112456,-0.19573553,-0.41535383,-0.095060274,0.22051758,-0.2981317,0.26930735,-0.2875064,0.10454878,-0.28849187,-0.3089237,-0.23374246,0.30019653,0.68189764,1.6991875,0.0039811707,-0.006332373,0.2472962,-0.33783337,0.0645705,1.2356178,1.7125964,0.0027134924,-0.0050215404,-0.41085982,0.054208647,0.66018474,-3.1062229,6.4835043,0.8609809,-0.061242573,-0.041178048,-4.4638658,-1.9938903,0.33683246,1.620619,-2.3252954,2.6228302,-2.1512544,2.4845927,4.5306234,-0.70674706,0.31645626,-0.13243662,-5.501889,2.8146813,-7.0981812,3.6078901,-1.444356,-0.026555864,0.022472335
7,0.36116812,-0.047388583,-0.26355872,-0.2850759,-0.17023796,-0.4069473,-0.09248764,0.21595067,-0.34783486,0.2449765,-0.28934127,0.11983957,-0.30409038,-0.2919772,-0.26272726,0.3173976,0.7579129,1.6925119,0.0059077432,-0.0074631525,0.20398217,-0.31754294,0.0175858,1.2708074,1.7001175,0.0021266516,-0.004829567,-0.092557356,-0.10431145,0.9691862,-3.7697961,1.1337165,0.86795956,0.6119767,-0.76404697,-5.2990465,-2.7467525,-0.49435413,1.2979656,-0.9816966,1.1484241,-3.3486247,1.2747797,9.405407,-0.62974155,0.1297746,-0.10499258,-3.6077893,1.4878767,-3.254641,3.4871097,-1.1182714,-0.06888215,0.017895421
8,0.35943347,-0.04894094,-0.25269455,-0.32193497,-0.13054124,-0.3949747,-0.08429678,0.20876257,-0.40499422,0.21217704,-0.293826,0.13137145,-0.31045067,-0.27659094,-0.28201184,0.2826265,0.80177,1.6872416,0.007579072,-0.009852362,0.17586689,-0.30661386,0.008197488,1.280652,1.6902796,0.0014643354,-0.005575717,-0.12226405,0.030465683,1.1770601,-3.745246,4.6691036,1.3986562,0.7351846,-0.830962,-5.9566164,-3.6122668,-0.44669813,1.3130608,-0.31094608,1.7925138,-1.1702236,-6.1856303,1.3701233,-0.46752405,0.17417206,-0.28570005,-2.2987628,0.9069447,0.45420924,-0.62092495,-0.889983,-0.06074941,-0.111314915
9,0.35593626,-0.049236372,-0.2454393,-0.35429153,-0.1101438,-0.37816355,-0.07730884,0.2018618,-0.46682554,0.16978912,-0.29755613,0.14461017,-0.31382388,-0.25673753,-0.29270032,0.22615215,0.7923083,1.683264,0.008219009,-0.012422491,0.15191507,-0.29398137,0.005997559,1.2577261,1.6827655,0.0014522903,-0.00675909,-0.27775586,0.053908262,0.7644419,-3.2038918,1.7611225,1.9016479,0.64861757,-0.7421589,-6.2785583,-4.685325,-0.27750486,1.3585104,-0.23325484,2.09547,-1.0516776,-5.3155828,-2.3864245,-0.3532368,0.012299216,-0.23322295,-2.4452791,1.5061336,-0.6431575,-3.393633,-0.6649805,0.02462636,-0.116113685
