Actuator,Mean_abs_angle,Min_angle,Max_angle,Std_Dev_angle,RMS_angle
q_hip_flexion_r,0.2604,-0.5171,0.3992,0.2898,0.2921
q_hip_adduction_r,0.0306,-0.0915,0.0751,0.0367,0.0378
q_hip_rotation_r,0.1344,-0.3217,0.0156,0.0741,0.1534
q_knee_angle_r,0.3297,-1.0385,0.0121,0.3054,0.4493
q_ankle_angle_r,0.1479,-0.3911,0.3367,0.1658,0.1765
q_hip_flexion_l,0.2602,-0.4593,0.3891,0.2865,0.2866
q_hip_adduction_l,0.0493,-0.1454,0.0967,0.0560,0.0591
q_hip_rotation_l,0.0806,-0.1554,0.2308,0.0868,0.0976
q_knee_angle_l,0.3392,-1.1409,-0.0018,0.3259,0.4704
q_ankle_angle_l,0.1472,-0.4380,0.3950,0.1771,0.1831
q_lumbar_extension,0.3077,-0.3682,-0.2578,0.0234,0.3085
q_lumbar_bending,0.0355,-0.0788,0.0897,0.0416,0.0424
q_lumbar_rotation,0.0965,-0.2479,0.1103,0.0991,0.1162
q_arm_flex_r,0.1761,-0.4378,0.2737,0.1824,0.2145
q_arm_add_r,0.3731,-0.5973,-0.2239,0.0962,0.3854
q_arm_rot_r,0.1216,-0.0826,0.3261,0.0809,0.1425
q_elbow_flex_r,0.9044,0.5872,1.3203,0.2086,0.9282
q_pro_sup_r,1.5162,1.4411,1.5367,0.0137,1.5162
q_wrist_flex_r,0.0000,0.0000,0.0000,0.0000,0.0000
q_wrist_dev_r,0.0000,0.0000,0.0000,0.0000,0.0000
q_arm_flex_l,0.2658,-0.5804,0.4243,0.2895,0.3028
q_arm_add_l,0.3292,-0.4896,-0.1631,0.0830,0.3395
q_arm_rot_l,0.1097,-0.2718,0.3069,0.1275,0.1276
q_elbow_flex_l,0.9810,0.7590,1.2698,0.1334,0.9900
q_pro_sup_l,1.3902,1.2654,1.4756,0.0419,1.3908
q_wrist_flex_l,0.0000,0.0000,0.0000,0.0000,0.0000
q_wrist_dev_l,0.0000,0.0000,0.0000,0.0000,0.0000
dq_hip_flexion_r,1.4874,-3.0097,4.1188,1.7860,1.7860
dq_hip_adduction_r,0.4120,-1.3107,1.0401,0.4949,0.4949
dq_hip_rotation_r,0.5091,-3.9138,1.2563,0.7298,0.7298
dq_knee_angle_r,2.3522,-6.3120,6.8037,3.0313,3.0313
dq_ankle_angle_r,1.5872,-7.1320,3.5427,2.1791,2.1791
dq_hip_flexion_l,1.4257,-2.8439,4.2577,1.7691,1.7691
dq_hip_adduction_l,0.5792,-1.3393,1.2352,0.6479,0.6479
dq_hip_rotation_l,0.5928,-1.7766,1.6240,0.7245,0.7246
dq_knee_angle_l,2.3063,-6.3936,7.0121,3.0341,3.0341
dq_ankle_angle_l,1.7243,-8.0847,4.2778,2.3801,2.3801
dq_lumbar_extension,0.2328,-0.9811,0.4390,0.3052,0.3052
dq_lumbar_bending,0.4768,-0.9948,0.9746,0.5319,0.5319
dq_lumbar_rotation,0.5281,-1.3084,1.2813,0.5900,0.5900
dq_arm_flex_r,0.9785,-2.0376,1.7393,1.0720,1.0720
dq_arm_add_r,0.5071,-1.1687,1.2115,0.5908,0.5908
dq_arm_rot_r,0.6101,-1.7444,2.1475,0.7427,0.7427
dq_elbow_flex_r,1.1216,-2.8633,2.6720,1.3368,1.3368
dq_pro_sup_r,0.1393,-0.5731,1.0970,0.1867,0.1867
dq_wrist_flex_r,0.0000,0.0000,0.0000,0.0000,0.0000
dq_wrist_dev_r,0.0000,0.0000,0.0000,0.0000,0.0000
dq_arm_flex_l,1.5118,-2.4907,3.0076,1.6552,1.6552
dq_arm_add_l,0.4318,-1.1268,0.9645,0.5045,0.5045
dq_arm_rot_l,0.7131,-1.8483,1.7669,0.8392,0.8392
dq_elbow_flex_l,0.7314,-1.6087,1.4787,0.8090,0.8091
dq_pro_sup_l,0.2306,-1.2581,0.9744,0.2974,0.2974
dq_wrist_flex_l,0.0000,0.0000,0.0000,0.0000,0.0000
dq_wrist_dev_l,0.0000,0.0000,0.0000,0.0000,0.0000
OVERALL,0.5345,-8.0847,7.0121,N/A,0.9401
