Timestep,q_hip_flexion_r,q_hip_adduction_r,q_hip_rotation_r,q_knee_angle_r,q_ankle_angle_r,q_hip_flexion_l,q_hip_adduction_l,q_hip_rotation_l,q_knee_angle_l,q_ankle_angle_l,q_lumbar_extension,q_lumbar_bending,q_lumbar_rotation,q_arm_flex_r,q_arm_add_r,q_arm_rot_r,q_elbow_flex_r,q_pro_sup_r,q_wrist_flex_r,q_wrist_dev_r,q_arm_flex_l,q_arm_add_l,q_arm_rot_l,q_elbow_flex_l,q_pro_sup_l,q_wrist_flex_l,q_wrist_dev_l,dq_hip_flexion_r,dq_hip_adduction_r,dq_hip_rotation_r,dq_knee_angle_r,dq_ankle_angle_r,dq_hip_flexion_l,dq_hip_adduction_l,dq_hip_rotation_l,dq_knee_angle_l,dq_ankle_angle_l,dq_lumbar_extension,dq_lumbar_bending,dq_lumbar_rotation,dq_arm_flex_r,dq_arm_add_r,dq_arm_rot_r,dq_elbow_flex_r,dq_pro_sup_r,dq_wrist_flex_r,dq_wrist_dev_r,dq_arm_flex_l,dq_arm_add_l,dq_arm_rot_l,dq_elbow_flex_l,dq_pro_sup_l,dq_wrist_flex_l,dq_wrist_dev_l
0,0.37390357,-0.041153222,-0.25065416,-0.12486328,0.106505536,-0.42911187,-0.064425275,0.13951506,-0.11263429,0.33137262,-0.30135426,0.036621172,-0.21473527,-0.3870408,-0.30346245,0.22386204,0.7159159,1.5320765,0.0,0.0,0.33184445,-0.45852667,0.14266732,1.1799092,1.4415534,0.0,0.0,0.007847714,0.26250982,0.08707055,-1.5997552,-4.132255,-0.6247629,-0.5294694,0.9674107,-1.4140688,-0.24610882,0.3223383,0.43241638,-0.42338407,0.4160753,0.08035709,0.59338766,-1.4283282,0.24722673,0.0,0.0,-0.24633905,0.39962775,-0.6375134,0.14297496,0.20146123,0.0,0.0
1,0.37458137,-0.042921904,-0.24367356,-0.14121914,0.0256274,-0.4343498,-0.06420984,0.15283233,-0.13211112,0.32908827,-0.30131805,0.036924176,-0.21715167,-0.3842072,-0.2997589,0.22814167,0.70904833,1.6302954,0.00046142552,0.0047071604,0.34482902,-0.45163855,0.15073843,1.1546692,1.5220295,-0.0038369629,0.0017451199,-0.079433404,-0.8251876,0.7009016,-1.7122422,-9.553818,-0.36823305,0.46179274,1.862582,-2.45837,-0.669871,-0.29185465,-0.3948208,-0.58833814,0.31432143,0.5622987,1.0222682,-0.45214614,8.786975,0.072451435,0.5649048,2.2435784,0.7959538,1.7157123,-4.2363887,11.884783,-0.45250893,0.20622279
2,0.375017,-0.05381944,-0.24078329,-0.16025388,-0.07194445,-0.43319383,-0.060423404,0.17467701,-0.16158876,0.32057372,-0.30265275,0.035066243,-0.22954656,-0.38339734,-0.29396823,0.23490602,0.70643026,1.6743366,0.0015997854,0.009866516,0.35749304,-0.44113964,0.15778498,1.125838,1.6379915,-0.007436415,0.004575258,0.11803957,-1.0050511,-0.018747479,-2.0107288,-9.471388,0.36976486,0.113377295,2.2020204,-3.147564,-0.856806,0.044285864,0.19484,-1.5204102,-0.14795712,0.5397177,0.35763115,-0.08497914,2.2940848,0.1150988,0.4768911,0.6515613,1.2289346,0.33145577,-2.1175892,7.5305653,-0.304867,0.30800724
3,0.37608024,-0.060598295,-0.24280356,-0.18207283,-0.15607876,-0.4284601,-0.06287135,0.19309072,-0.19425336,0.3110781,-0.30063358,0.042864427,-0.24707769,-0.3840486,-0.29260495,0.23856863,0.7083199,1.6807649,0.0027247518,0.014062046,0.3520256,-0.42729887,0.1530388,1.1165192,1.6722875,-0.009881808,0.0075212256,0.08228647,-0.44500852,-0.23444489,-2.2929018,-7.6319857,0.49270597,-0.4239997,1.5263813,-3.3255596,-1.0479255,0.2815973,1.1151565,-1.789831,-0.033909522,-0.119410045,0.31375128,0.38380125,-0.119523525,0.10739392,0.3797724,-1.2794338,1.5017368,-0.9570704,-0.1969828,1.4771674,-0.21023329,0.2778484
4,0.37621593,-0.062629655,-0.24486059,-0.20677106,-0.22039501,-0.42355046,-0.06817214,0.20389998,-0.2289642,0.29867095,-0.29761565,0.05698913,-0.2645772,-0.38177112,-0.296972,0.24425137,0.7100891,1.6743808,0.003528704,0.017172886,0.3337719,-0.41310635,0.1407438,1.119766,1.6725576,-0.011540977,0.009915525,-0.0076668696,-0.05340455,-0.17221865,-2.586085,-5.654706,0.50079334,-0.5737959,0.78279436,-3.564759,-1.3699553,0.32966653,1.5800337,-1.686644,0.37906387,-0.6394245,0.6903133,0.06777478,-0.85084295,0.06568325,0.2704576,-2.163961,1.3717682,-1.3862853,0.64902043,-0.6254984,-0.14087155,0.21386269
5,0.37576544,-0.061112612,-0.24477616,-0.23653752,-0.24515103,-0.41853842,-0.07434031,0.2078355,-0.2667857,0.28269958,-0.29522353,0.07483328,-0.27965918,-0.37332058,-0.30479914,0.25498882,0.7055208,1.6648375,0.0038992702,0.019453013,0.31330147,-0.4004972,0.12965819,1.121962,1.6621635,-0.012718166,0.011538677,-0.21129993,0.2150102,0.17502153,-3.1604757,1.2496214,0.5121473,-0.59358174,0.25785774,-3.9488506,-1.7496488,0.17771952,1.8351883,-1.4955631,1.1205909,-0.8500672,1.2905587,-0.7621854,-0.96984357,0.023162032,0.20233238,-1.9899502,1.1502491,-0.9344906,-0.013340195,-1.1920766,-0.10323545,0.13481654
6,0.37076467,-0.057853363,-0.24100891,-0.26584956,-0.20297718,-0.4121738,-0.07910818,0.20796992,-0.30872566,0.26288104,-0.2932141,0.09289392,-0.29403564,-0.36032945,-0.3127834,0.2648334,0.69574136,1.6555432,0.0039647203,0.021066109,0.2903769,-0.39131775,0.119912565,1.1245973,1.6499934,-0.013572714,0.012532632,-0.6990233,0.38015452,0.48729786,-2.738225,5.547467,0.69738704,-0.3637839,-0.15954353,-4.3577585,-2.1584425,0.17779237,1.7446371,-1.3679761,1.4209454,-0.7620367,0.79734415,-1.102326,-0.8817134,-0.0015224027,0.13793883,-2.4699137,0.7576235,-0.9874744,0.4400555,-1.1893306,-0.07463619,0.080159605
7,0.36675006,-0.052442923,-0.23463522,-0.29472724,-0.16470076,-0.40316388,-0.08118971,0.2014356,-0.35537452,0.23769915,-0.29218748,0.11071849,-0.30193037,-0.3460666,-0.32148117,0.26578492,0.6863244,1.647438,0.0036835899,0.021925354,0.2658638,-0.38352364,0.11265186,1.1282182,1.6390808,-0.014353328,0.013178429,-0.5004897,0.30560136,0.36169437,-2.513999,0.20148566,0.9884005,0.10889586,-0.7252355,-4.8772645,-2.8316376,-0.0074410494,1.5194774,-0.6159238,1.4216219,-0.8830669,-0.3105197,-0.84900415,-0.75289565,-0.039900884,0.059629645,-2.4649146,0.69823974,-0.5417403,0.3811497,-1.0125372,-0.07664552,0.056427456
8,0.36289126,-0.04757271,-0.2270845,-0.3241001,-0.13922308,-0.39237082,-0.07918349,0.19204819,-0.40723383,0.2051035,-0.29508248,0.12591687,-0.30371413,-0.3310101,-0.3321175,0.2663683,0.6809209,1.640642,0.003005168,0.022431944,0.24281476,-0.3741197,0.10670278,1.1294267,1.6303633,-0.014999255,0.013852388,-0.5667021,0.555262,0.78680485,-2.8377259,3.678044,1.1491532,0.22976427,-0.9376103,-5.3989515,-3.5286927,-0.4559044,1.5118276,-0.05744577,1.5297424,-1.1618875,0.2736444,-0.33508587,-0.62466925,-0.077827215,0.04470445,-2.2289166,1.066584,-0.6218579,-0.01140294,-0.7807019,-0.057186298,0.0704887
9,0.36012343,-0.0409841,-0.21650927,-0.35735068,-0.10349594,-0.378407,-0.07702171,0.18193687,-0.46437848,0.16406074,-0.30196127,0.14165007,-0.30134404,-0.31536874,-0.34307516,0.26703155,0.677275,1.635114,0.0021433572,0.022670468,0.22086658,-0.36458954,0.10343963,1.1290909,1.6239032,-0.0154698165,0.014543358,-0.18165128,0.5820319,1.1750922,-3.512117,3.4722936,1.5588623,0.32116672,-0.9564771,-5.8913937,-4.5605774,-0.8317655,1.4520813,0.32853886,1.5849712,-1.0147535,-0.0406863,-0.4038773,-0.5028944,-0.087327786,0.013691212,-2.1950243,0.83223015,-0.13936281,-0.022589406,-0.564798,-0.0406119,0.06658492
