Timestep,root_0,root_1,root_2,root_3,root_4,root_5,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0,0.0,0.0,0.0,7.915208e-06,-2.620659e-06,-6.8094135e-07,-31.325378,-27.196114,-8.641554,-21.147614,-24.63041,0.9673056,-36.64599,19.547684,-8.669605,3.2473288,36.6773,-62.047825,-22.656427,12.187436,16.510695,13.105218,11.059274,41.02577,-3.5813603,16.983301,29.457474,-0.04320624,0.1892333,2.525545,30.50882,-9.121676,12.6704235
1,0.0,0.0,0.0,-3.2465537e-06,8.188251e-06,2.762492e-05,-4.9583006,16.597322,-4.652713,-52.734665,-188.4735,14.020361,4.629244,10.4439335,0.37512147,-1.8714979,13.418409,-24.943735,26.805908,26.927963,13.980091,3.3654468,17.573769,40.195885,-3.583914,12.352538,-17.34153,-77.44398,-34.670902,-7.4415092,27.303408,-16.833574,22.47201
2,0.0,0.0,0.0,2.725791e-07,4.626063e-07,-0.000115013434,6.9919605,22.28643,-4.0928106,-60.131935,-211.70685,29.45531,35.61317,4.9344535,4.2362785,3.4685855,-4.275931,-33.380962,40.86644,56.228798,14.077292,-1.2979487,26.061625,41.713383,-4.069447,11.476304,-37.916367,-86.382126,-35.154953,-17.12154,27.88624,-19.97408,25.204515
3,0.0,0.0,0.0,-2.5101275e-05,4.603532e-06,2.140489e-05,9.014213,18.215649,-4.539093,-60.729614,-198.9885,21.276745,43.016926,2.0848956,-3.0166183,1.2676156,-9.625379,-43.085327,36.366604,43.419617,-1.9664581,-7.10165,12.258748,34.468422,-2.9422514,10.248429,-10.289639,-26.739677,-4.1470065,-2.7819982,25.304674,-15.576828,19.165285
4,0.0,0.0,0.0,6.6104303e-06,-1.45265585e-05,2.4699431e-05,13.712172,9.220355,-3.9335122,-58.448174,-175.60396,14.138411,40.13964,0.4744907,-4.4036527,0.8264983,-8.709817,-32.414593,22.160347,7.326065,-20.194044,-9.675214,2.4423382,33.303913,-2.000474,9.502426,-5.9910593,16.791903,8.391126,12.520073,27.710197,-11.883573,12.612425
5,0.0,0.0,0.0,4.3327477e-06,3.922132e-06,-4.660718e-05,12.973459,2.5840082,-3.120719,-54.521664,-152.62578,3.3660245,34.989807,-0.67323893,-7.978423,0.5198572,-4.8045225,-25.041924,14.79053,-21.128113,-5.50624,1.0530198,-4.1310678,33.751743,-1.4356192,9.588162,2.6392727,34.702015,12.465534,10.589632,28.632496,-11.14824,12.326705
6,0.0,0.0,0.0,6.181031e-06,-2.6703242e-07,3.3684748e-05,12.798779,-1.6649861,-2.325408,-49.3166,-132.00337,-4.404127,29.405647,-1.5770215,-9.370604,0.480969,-3.848546,-19.853264,10.550601,-38.178047,1.535175,5.822742,-7.384235,33.05223,-1.8424875,9.469378,-3.0326,28.613085,9.62763,7.191015,29.368317,-11.252214,12.388861
7,0.0,0.0,0.0,-1.25322285e-05,8.417342e-06,2.9597802e-05,13.943977,-5.460305,-1.4054104,-44.51253,-118.01634,-13.195634,26.193558,-2.2844348,-12.778717,0.76801705,-3.5593603,-19.302229,5.824965,-31.564276,10.690124,9.011357,-3.4150681,32.252434,-2.3023303,9.300935,-5.6729784,11.041062,4.32635,2.4748952,29.93992,-10.992144,12.47567
8,0.0,0.0,0.0,1.4160508e-05,-5.402895e-06,1.2322063e-05,13.811383,-7.5624404,-0.97364604,-39.833527,-102.67492,-19.922224,21.777681,-2.4907546,-15.350607,0.56151515,20.204535,-41.699116,-3.9106686,-16.693714,7.461845,7.3445616,1.7554373,32.837715,-2.3617296,9.383833,-5.764025,20.336435,5.134689,-0.41848284,29.714905,-11.858497,12.945326
9,0.0,0.0,0.0,-1.685877e-05,4.3568793e-06,-1.0831615e-06,13.766599,-6.2800174,-0.8098824,-36.233627,-91.15246,-41.066647,18.721903,-3.6491888,-27.980703,0.5576376,24.31339,-39.110363,-5.5147405,-3.3210313,-2.0974405,2.9068258,3.9451263,32.96242,-2.677283,9.101382,-1.9455465,31.922243,8.687972,1.9078643,29.595926,-11.630779,12.966849
10,0.0,0.0,0.0,-1.01011e-05,-2.7338385e-07,3.880816e-05,14.352089,-6.667102,-0.7748215,-32.74774,-84.32269,-53.232384,13.230943,-4.8000855,-33.422688,1.2011586,36.768406,-23.665009,-3.6875947,-10.828595,-25.743416,-5.1098742,-3.9936934,33.15375,-2.9655836,8.989154,-2.3399892,32.99084,9.04608,1.7485222,31.32928,-10.691994,12.357809
11,0.0,0.0,0.0,-2.5324003e-05,-3.2064613e-06,7.3960723e-06,17.987724,-8.242301,-0.4515126,-30.116817,-81.145256,-57.91637,10.087409,-4.9346914,-36.44414,1.8046097,41.15855,-24.80453,-4.715767,-12.155474,-8.083751,-1.4726856,-1.2387667,32.733276,-2.2153425,8.6933565,-8.763234,18.94119,3.585984,-0.27876893,31.356976,-10.726468,12.778817
12,0.0,0.0,0.0,-2.4158965e-07,5.25636e-06,-7.791572e-05,24.443665,-9.662668,0.15123999,-32.289757,-103.588,-65.52971,9.397372,-4.8249683,-42.6156,1.2554171,47.62011,-31.747337,-7.167695,-5.613933,-6.9975576,0.6837021,0.29376218,32.618366,-1.2230221,8.21498,-6.467115,22.544168,7.527959,1.7413584,31.223831,-10.625664,12.90288
13,0.0,0.0,0.0,-9.656819e-06,-2.2898033e-07,4.7632802e-05,29.58902,-10.682579,0.7015797,-32.338264,-119.98336,-65.78956,7.0923147,-3.7692952,-47.24324,-5.028205,45.39022,-36.95676,-7.005026,0.529805,-13.299248,-3.3399606,-0.0048477286,32.29181,-0.6103589,7.781577,0.8392752,20.708664,7.5356603,3.6939263,29.849037,-10.711307,12.75167
14,0.0,0.0,0.0,-9.647424e-07,7.117674e-06,3.7356804e-05,31.113289,-11.889632,0.82649505,-29.055845,-114.11387,-58.845993,3.8330152,-3.4419055,-43.071003,-3.7473316,42.769848,-42.130836,-7.238817,1.6491637,-7.4716125,-3.5954747,3.3981645,32.008087,-0.47034723,8.091117,0.505125,7.9250774,4.5420866,1.344432,29.336927,-11.123926,12.766832
15,0.0,0.0,0.0,-1.4279503e-05,-5.96793e-06,-2.2538936e-06,30.66911,-12.678487,0.73945,-26.645117,-124.07303,-50.5742,1.2160509,-3.2217162,-36.266144,-1.9349912,40.050953,-42.215878,-7.5647836,6.050861,-4.6321096,-4.1068068,4.2329698,32.21114,-0.8302326,8.907626,9.554174,3.9891176,0.8538188,7.201751,28.249323,-10.753667,12.465646
16,0.0,0.0,0.0,1.1641452e-05,4.9716696e-06,-1.2305975e-05,30.358896,-14.005682,0.55451584,-24.662603,-127.90394,-44.40853,0.3619074,-3.0409698,-32.05175,-2.2394378,40.7984,-45.28457,-9.23699,-2.2024243,-13.949708,-5.7306557,0.4257715,32.381687,-0.82184327,9.420633,12.391581,-8.906049,-1.188867,8.922692,28.105602,-10.77199,12.118868
17,0.0,0.0,0.0,-5.0074404e-06,-1.1620471e-05,4.6229667e-05,30.645716,-14.674442,0.49079275,-24.642284,-127.473625,-42.423218,0.0645025,-2.802582,-31.875046,-3.2271543,41.728867,-54.61764,-13.776346,-4.0547915,-6.445795,-2.0315375,2.7748811,32.40134,-0.20208421,9.608315,9.250283,-8.177335,-0.92039293,5.6061687,28.582052,-10.689434,12.623212
