Timestep,q_hip_flexion_r,q_hip_adduction_r,q_hip_rotation_r,q_knee_angle_r,q_ankle_angle_r,q_hip_flexion_l,q_hip_adduction_l,q_hip_rotation_l,q_knee_angle_l,q_ankle_angle_l,q_lumbar_extension,q_lumbar_bending,q_lumbar_rotation,q_arm_flex_r,q_arm_add_r,q_arm_rot_r,q_elbow_flex_r,q_pro_sup_r,q_wrist_flex_r,q_wrist_dev_r,q_arm_flex_l,q_arm_add_l,q_arm_rot_l,q_elbow_flex_l,q_pro_sup_l,q_wrist_flex_l,q_wrist_dev_l,dq_hip_flexion_r,dq_hip_adduction_r,dq_hip_rotation_r,dq_knee_angle_r,dq_ankle_angle_r,dq_hip_flexion_l,dq_hip_adduction_l,dq_hip_rotation_l,dq_knee_angle_l,dq_ankle_angle_l,dq_lumbar_extension,dq_lumbar_bending,dq_lumbar_rotation,dq_arm_flex_r,dq_arm_add_r,dq_arm_rot_r,dq_elbow_flex_r,dq_pro_sup_r,dq_wrist_flex_r,dq_wrist_dev_r,dq_arm_flex_l,dq_arm_add_l,dq_arm_rot_l,dq_elbow_flex_l,dq_pro_sup_l,dq_wrist_flex_l,dq_wrist_dev_l
0,-12.096209,-0.8772118,-9.99645,-4.3856373,10.711027,20.152891,2.680596,2.8984563,-39.456036,0.07584205,-18.19568,-2.5873296,-0.7544826,-6.273211,-23.832844,12.813745,58.154053,87.342964,0.0,0.0,-10.48999,-15.097074,0.033146434,55.886517,83.36544,0.0,0.0,-82.19092,34.498924,3.7004213,46.63513,40.15539,30.833227,-43.60071,-38.861877,341.9609,65.68305,11.09195,19.5826,22.372917,24.858072,-33.131523,-24.301914,73.50875,-2.45548,0.0,0.0,-101.75423,27.620197,-79.20939,-38.152046,-11.3694515,0.0,0.0
1,-12.8754015,-0.8341266,-10.231555,-3.932742,9.18753,20.421516,2.557931,2.6833644,-35.913147,0.48468977,-18.035679,-2.6804829,-0.6502713,-5.7941904,-24.129936,13.053164,58.988064,94.04404,-0.09458826,0.24355161,-11.183703,-14.86556,-0.8494522,55.158325,89.970894,-0.14677578,0.18604952,-75.51169,-24.328655,-51.71994,41.127575,-95.083275,26.444374,16.56835,-2.077656,358.59085,34.607494,21.472933,-36.455635,-3.1412334,65.31885,-30.65481,88.615555,80.346375,603.294,-10.577765,29.084782,-50.90816,16.632957,-88.49129,-94.23797,987.698,-17.037064,21.794294
2,-13.714136,-0.9048251,-10.915949,-3.350528,9.134791,20.702185,2.5346503,3.0115745,-32.34267,0.04550049,-17.793472,-2.901888,-0.8312511,-4.849285,-24.374006,14.401794,59.8461,97.03372,-0.17514077,0.5045795,-12.058338,-14.991762,-2.604944,54.51184,97.0069,-0.34421885,0.4982561,-89.33429,22.838583,-67.44964,70.306946,11.78225,26.043877,-36.671616,48.7859,356.71442,-92.8514,22.627604,6.0790253,-9.537866,110.8607,-23.384356,154.30421,90.67217,152.71664,-6.6536527,23.889097,-102.23164,-28.598082,-217.29611,-59.469982,392.30435,-20.342726,34.268223
3,-14.6605425,-0.36596566,-11.386533,-2.5316296,9.18748,20.87677,1.7637352,3.5797448,-28.750635,-0.7467446,-17.624935,-2.5755548,-0.75793135,-3.2470403,-24.542006,16.22588,60.81062,97.45233,-0.22530523,0.7119733,-13.340754,-15.580278,-5.4144773,53.76032,98.47851,-0.5696924,0.8484137,-93.471725,69.067665,-31.576578,85.79194,-0.8263921,15.353102,-97.99439,61.52804,359.32208,-61.038174,15.265752,44.47442,19.478828,191.76193,-10.508722,197.42923,100.13632,-9.264794,-4.112107,18.631216,-143.47778,-79.91604,-322.00107,-87.98155,32.29054,-22.909477,34.184933
4,-15.599149,0.4625653,-11.425222,-1.6882302,9.039904,20.953087,0.55785555,4.2467656,-25.190014,-1.2804509,-17.57343,-1.9862144,-0.21338306,-1.0335201,-24.56019,17.962507,61.549946,96.93392,-0.23742859,0.83986163,-14.589768,-16.648384,-7.8807015,52.592106,97.9443,-0.7818293,1.1132108,-98.128685,86.40683,11.4445095,83.55562,-22.127941,-0.39651635,-128.9269,68.45847,352.6886,-54.024403,-5.081881,62.210903,72.50276,241.84041,4.968426,159.99277,57.485718,-69.31675,0.094448805,9.783149,-114.80418,-124.95055,-202.88031,-132.5802,-90.16939,-19.68963,22.213299
5,-16.523916,1.3980218,-11.145745,-0.92047274,8.751577,20.99615,-0.82761294,4.984352,-21.82537,-1.8007629,-17.661999,-1.2498314,0.77830714,1.1982313,-24.539598,18.888224,62.161766,96.15859,-0.21628983,0.89026684,-15.757635,-17.8597,-9.373656,51.749367,96.88403,-0.9333629,1.2419544,-87.62897,96.8827,35.378235,70.389,-30.972795,8.884342,-142.03065,76.109665,325.14438,-51.709694,-10.765726,80.20855,110.696335,212.70068,-0.53033286,52.935085,63.273167,-78.77298,2.8888013,2.75427,-119.949905,-118.2351,-117.739944,-51.127235,-109.7507,-12.57797,8.209192
6,-17.316694,2.3716986,-10.719535,-0.3193758,8.429396,21.155619,-2.2458174,5.7041736,-18.719992,-2.3046563,-17.756187,-0.38962397,2.0283313,3.0175679,-24.516216,18.975645,62.692036,95.422066,-0.1930058,0.8907271,-16.82495,-18.847584,-10.163061,51.354523,95.854225,-1.0279396,1.2781208,-76.38569,96.23986,46.430695,53.317516,-32.129852,17.796963,-139.95477,66.94571,301.26477,-49.349052,-10.841871,88.41441,132.1676,162.82518,3.456725,-17.017143,46.986286,-69.01757,1.9655352,-1.1540619,-99.09935,-85.959656,-55.708073,-29.501474,-96.63821,-7.7190595,1.4250896
7,-18.048279,3.281139,-10.235309,0.12819588,8.135895,21.349993,-3.5665035,6.2489,-15.822773,-2.7681139,-17.858376,0.4766957,3.4038806,4.2493405,-24.409473,18.450014,63.062363,94.80687,-0.18803205,0.865869,-17.757317,-19.53928,-10.527592,51.17144,95.013824,-1.0831922,1.2725196,-72.72718,86.59575,49.61791,38.848534,-26.913792,18.044704,-126.05545,44.661736,283.03116,-43.619728,-11.566516,84.61483,140.2909,97.97042,14.643155,-73.061424,31.302485,-56.205856,-0.20766523,-2.990674,-89.95075,-58.14494,-24.847158,-9.736179,-75.69252,-4.344735,-1.446348
8,-18.83401,4.0357804,-9.75886,0.44234085,7.9235654,21.44166,-4.6725483,6.5332794,-13.0794935,-3.1406155,-18.046171,1.2216816,4.7557216,4.99422,-24.168076,17.685509,63.29949,94.31508,-0.20425843,0.837835,-18.622425,-20.076857,-10.675896,51.056213,94.37881,-1.1037691,1.2485592,-83.19452,67.31929,46.187954,26.276968,-17.097145,2.3551052,-99.29147,17.679224,267.96194,-31.196474,-24.32184,66.97608,131.03409,59.445686,30.310162,-77.58285,19.190624,-44.453197,-2.205463,-2.6197872,-84.780975,-50.90499,-8.94761,-11.851039,-55.99257,-0.95530105,-2.7429583
9,-19.597998,4.5269613,-9.31766,0.5932343,7.8501015,21.489664,-5.436866,6.546034,-10.530448,-3.3761039,-18.244242,1.7206527,5.9498396,5.4986386,-23.832243,17.114635,63.49469,93.94422,-0.22775315,0.8227239,-19.436293,-20.431274,-10.858824,50.748577,93.91127,-1.1145562,1.2213589,-66.195595,33.086826,42.42994,8.420254,-2.611217,11.918372,-57.55281,-10.357306,246.1384,-19.23426,-9.602515,33.34,110.36002,43.64774,38.09761,-43.717403,17.94373,-32.573914,-2.3125746,-0.97229946,-81.54833,-26.683743,-24.729048,-42.00916,-41.11851,-1.1210095,-2.6054888
