Timestep,glut_med1_r,glut_med2_r,glut_med3_r,glut_min1_r,glut_min2_r,glut_min3_r,semimem_r,semiten_r,bifemlh_r,bifemsh_r,sar_r,add_long_r,add_brev_r,add_mag1_r,add_mag2_r,add_mag3_r,tfl_r,pect_r,grac_r,glut_max1_r,glut_max2_r,glut_max3_r,iliacus_r,psoas_r,quad_fem_r,gem_r,peri_r,rect_fem_r,vas_med_r,vas_int_r,vas_lat_r,med_gas_r,lat_gas_r,soleus_r,tib_post_r,flex_dig_r,flex_hal_r,tib_ant_r,per_brev_r,per_long_r,per_tert_r,ext_dig_r,ext_hal_r,glut_med1_l,glut_med2_l,glut_med3_l,glut_min1_l,glut_min2_l,glut_min3_l,semimem_l,semiten_l,bifemlh_l,bifemsh_l,sar_l,add_long_l,add_brev_l,add_mag1_l,add_mag2_l,add_mag3_l,tfl_l,pect_l,grac_l,glut_max1_l,glut_max2_l,glut_max3_l,iliacus_l,psoas_l,quad_fem_l,gem_l,peri_l,rect_fem_l,vas_med_l,vas_int_l,vas_lat_l,med_gas_l,lat_gas_l,soleus_l,tib_post_l,flex_dig_l,flex_hal_l,tib_ant_l,per_brev_l,per_long_l,per_tert_l,ext_dig_l,ext_hal_l,ercspn_r,ercspn_l,intobl_r,intobl_l,extobl_r,extobl_l
0,-223.26434,-154.75883,-138.81696,-48.335773,-46.680614,-47.51117,-175.52151,-14.9869,-117.932304,-217.57635,-6.1148663,0.0,0.0,0.0,0.0,0.0,-76.34807,0.0,0.0,-52.05835,-80.87033,0.0,-11.175411,0.0,0.0,-5.973578,-30.756207,-103.8398,-0.061464924,-4.6107354,-0.31443006,-201.19223,-58.294296,-375.99194,-137.4005,-30.09183,-10.009769,-121.57325,0.0,-15.994114,-14.87212,-44.98655,0.0,-447.38525,-161.09491,-27.979956,-95.731544,-91.91572,-59.86947,-78.04342,0.0,0.0,-157.46288,-17.133589,0.0,0.0,0.0,0.0,0.0,-64.219154,0.0,0.0,-23.79955,-55.873,0.0,-99.831635,-50.15867,0.0,0.0,-2.9171963,-72.01821,-19.027533,-46.436394,-29.352654,-106.175804,-20.491234,0.0,0.0,0.0,0.0,-177.62263,0.0,0.0,0.0,-26.851315,-11.986009,0.0,-1353.8168,0.0,0.0,0.0,-132.28911
1,-234.27158,-128.89708,-100.42312,-49.87882,-48.19216,-40.933193,-230.18674,-20.444311,-119.55307,-213.94713,-5.856866,-242.57141,-127.33171,-76.273895,-61.32657,-52.23117,-71.16303,0.0,-21.85575,-43.342075,-66.11133,-33.19208,-214.02364,-297.68698,-25.561749,-4.2260485,-17.805323,-97.99946,-0.040575013,-4.278465,-0.2542759,-1083.8191,-294.70734,-2576.9436,-296.46228,-45.522247,-55.09805,-90.75235,-28.026709,-68.841896,-11.378933,-34.262474,0.0,-256.22342,-129.39569,-26.586594,-64.36377,-62.846924,-44.569523,-79.086426,-49.9946,-61.17816,-145.5751,-16.758074,-139.98216,-68.607925,-71.31489,-29.7696,-43.07753,-45.841446,-20.63218,-14.059634,-22.52887,-53.809227,-31.209616,-255.68306,-275.16132,-41.39248,-8.001294,-3.0738223,-212.10175,-88.0686,-89.11109,-260.33542,-100.74912,-19.482103,-251.99489,0.0,-5.0992284,-3.4958925,-294.59125,0.0,-61.17726,0.0,-89.03498,-15.7343645,-1067.2588,-1103.2074,0.0,-327.28958,-421.5747,-124.47594
2,-248.9795,-120.86804,-105.86559,-49.19088,-55.484783,-51.452087,-242.65692,-18.978981,-108.58632,-200.79065,-5.1989703,-296.173,-149.02122,-73.60506,-63.96158,-56.606506,-61.474316,0.0,-29.76613,-36.66503,-52.884186,-35.8168,-338.45782,-455.93704,-29.290237,-5.1231837,-26.886377,-87.00532,-0.017747661,-3.8025935,-0.17740637,-1310.1171,-356.25848,-2764.759,-280.66394,-39.986774,-67.75952,-79.633095,-35.036556,-68.013145,-9.950163,-29.936815,-6.0316973,-108.83645,-78.27103,-16.747343,-35.84521,-31.715244,-19.391851,-72.40536,-74.316185,-79.00978,-126.32847,-15.10726,-240.66377,-119.312164,-106.935905,-48.34516,-72.83162,-27.097092,-36.17251,-20.87917,-17.23847,-43.23921,-45.775433,-419.67203,-447.68478,-54.267895,-8.424274,-1.7804486,-278.8204,-104.23438,-86.40274,-336.79553,-87.742615,-17.260653,-287.34894,0.0,-5.337737,-5.9052005,-394.8944,0.0,-65.12974,0.0,-137.30916,-17.2765,-1131.1956,-937.57166,0.0,-528.8231,-473.31744,-116.75848
3,-240.02707,-108.8414,-109.06168,-45.832283,-53.59404,-51.075195,-235.57428,-37.680725,-100.680786,-221.36475,-4.63206,-258.3577,-131.5543,-58.636257,-53.82693,-50.455715,-51.751503,0.0,-28.176506,-31.799788,-44.437344,-31.548967,-401.79895,-473.5351,-28.360863,-6.572966,-36.740795,-77.5303,-0.003866957,-3.3222864,-0.11178192,-1303.8252,-349.2327,-2494.9712,-284.79523,-34.6505,-63.56553,-71.907265,-33.509792,-64.94761,-8.993068,-27.12916,-6.0213323,-56.49768,-53.033703,-11.616663,-23.002348,-18.986382,-10.012299,-71.868355,-97.44191,-141.01295,-147.74254,-12.868349,-238.83113,-115.06052,-106.41364,-47.610306,-74.87017,-18.958866,-36.721756,-20.25908,-13.662623,-35.127083,-55.35904,-417.76877,-450.6938,-53.5495,-8.407334,-1.1322032,-232.72324,-97.37556,-74.368324,-316.33243,-76.474625,-15.189221,-305.08994,0.0,-5.450978,-6.2885604,-365.83527,0.0,-63.20386,0.0,-125.303,-15.776258,-884.6218,-778.41504,0.0,-558.6844,-363.1202,-101.44454
4,-238.57613,-94.69599,-101.38474,-44.386158,-50.367386,-46.093422,-217.31412,-38.67858,-88.98492,-314.7359,-13.641173,-185.93307,-98.19365,-42.58107,-39.754654,-40.86794,-49.17596,0.0,-23.324974,-27.723593,-38.04468,-25.71576,-493.93906,-527.7116,-25.13795,-7.084379,-35.310074,-69.328285,0.0,-2.9027183,-0.06530312,-1193.0154,-320.36655,-2132.0063,-262.01218,-29.619871,-55.75296,-62.910343,-28.997997,-60.832813,-7.9514103,-23.990759,-5.3553376,-35.33334,-40.32536,-9.841892,-16.308264,-13.106488,-6.4966073,-69.15017,-89.6508,-138.29604,-137.96875,-10.72673,-209.6027,-96.292274,-94.86974,-41.51222,-66.87312,-13.84068,-33.04859,-17.627726,-11.514102,-32.0829,-55.7365,-351.90796,-377.47418,-52.583817,-9.607629,-2.1195328,-189.28476,-89.03977,-65.13151,-274.9557,-66.80693,-13.377606,-262.11728,0.0,-5.150459,-5.808932,-313.47745,0.0,-55.297455,0.0,-107.121216,-13.583386,-646.46893,-640.3384,-65.324486,-443.6422,-238.59598,-86.67269
5,-256.53305,-80.957886,-87.80804,-44.112453,-47.070107,-41.771072,-206.47896,-45.100277,-82.57339,-344.72946,-14.513915,-136.13187,-74.651375,-32.288754,-30.488752,-34.054333,-48.83023,0.0,-19.084066,-24.324863,-33.183685,-21.747137,-501.4068,-521.47174,-21.390179,-6.48136,-30.527159,-62.233604,0.0,-2.58789,-0.03773975,-1058.7126,-289.38483,-1806.3358,-235.81927,-25.845966,-48.347263,-54.14199,-24.826721,-56.073254,-6.9230757,-20.866238,-4.682212,-29.324762,-33.7727,-19.440939,-13.509169,-10.84808,-5.381375,-114.04793,-81.24079,-135.17703,-131.96336,-9.075895,-175.05557,-79.32072,-82.207565,-35.538704,-57.64389,-10.853985,-28.623213,-15.088167,-10.644819,-35.41953,-53.95379,-276.53345,-296.27777,-50.75861,-9.460751,-8.038389,-151.158,-80.912445,-57.35224,-238.05034,-58.441776,-11.784644,-222.42418,0.0,-4.9853354,-5.4127254,-267.40973,0.0,-47.635666,0.0,-90.28457,-11.644136,-526.96625,-526.08624,-65.399185,-350.72916,-162.9363,-74.562126
6,-277.89044,-67.6741,-73.89169,-44.12084,-44.208134,-38.565,-190.08366,-44.459755,-75.09109,-338.75104,-14.606235,-108.983154,-61.040054,-27.395273,-25.352415,-28.954058,-50.86748,0.0,-16.007149,-20.73779,-28.20156,-18.52177,-491.63223,-502.9195,-19.046436,-5.8741045,-26.58372,-56.340023,0.0,-2.363898,-0.02230287,-929.34424,-261.4856,-1524.6499,-213.45102,-22.775131,-42.329567,-46.17513,-21.43974,-51.25215,-5.9734755,-17.97429,-4.0522017,-31.026386,-30.273722,-31.461533,-13.0975,-10.686163,-5.4904327,-125.39494,-75.10816,-134.50548,-122.4726,-7.829381,-145.65593,-66.07379,-71.95051,-30.575195,-50.87527,-9.978912,-24.643337,-12.965055,-13.801483,-53.154846,-55.18089,-221.1609,-235.3294,-49.776875,-9.234348,-9.788456,-125.96758,-72.98616,-50.191734,-206.79213,-51.191113,-10.384732,-194.75702,0.0,-4.977492,-4.941209,-236.87465,0.0,-41.359623,0.0,-78.82343,-10.059408,-431.47577,-434.837,-62.45737,-289.7449,-122.32106,-64.479706
7,-310.74936,-54.941303,-60.265755,-51.711357,-42.067997,-36.777195,-164.80484,-41.677444,-64.21413,-325.26334,-14.904419,-95.5893,-53.592697,-26.103771,-22.723099,-24.704725,-60.71115,0.0,-13.7622385,-16.891947,-22.880419,-15.506355,-486.19052,-490.31808,-18.166313,-5.439492,-23.20008,-51.675175,0.0,-2.2108645,-0.013909968,-837.4679,-241.05728,-1338.7787,-196.2468,-20.468153,-37.67284,-39.02501,-18.647358,-47.148033,-5.1117706,-15.344739,-3.4742992,-36.645863,-28.46448,-36.385597,-13.984568,-11.780838,-6.4704714,-170.5306,-70.56975,-152.647,-113.78088,-6.9806247,-124.64895,-55.533756,-64.73752,-26.75037,-46.15008,-10.851178,-21.351994,-11.148238,-17.380678,-62.97451,-67.07129,-186.13036,-196.7558,-51.296963,-8.688934,-11.57497,-112.36771,-65.44398,-43.59818,-179.90097,-44.908985,-9.157156,-179.97964,0.0,-4.826185,-4.4761424,-223.75592,0.0,-36.346992,0.0,-72.816574,-9.075227,-372.1564,-415.78412,-56.84514,-245.02847,-96.51403,-86.472565
8,-325.6628,-47.257015,-49.16134,-57.91551,-41.6861,-34.14113,-148.05257,-38.36164,-56.393513,-301.20676,-14.4907,-85.39003,-48.95511,-26.35577,-21.723043,-22.611818,-65.73965,0.0,-11.950154,-14.286583,-19.675484,-14.842044,-467.77496,-467.08212,-16.948874,-5.037877,-20.055054,-49.517857,0.0,-2.1288528,-0.010171594,-744.82526,-219.56282,-1135.7256,-173.98834,-18.5057,-33.840878,-35.328926,-16.335524,-42.000507,-4.3199987,-14.002503,-2.9372957,-46.186493,-29.116434,-49.7448,-15.514293,-13.833749,-8.75851,-205.98438,-67.01866,-163.71532,-112.87323,-6.3893237,-106.5449,-46.167477,-57.805748,-23.343054,-41.57626,-11.658865,-17.815098,-9.50651,-19.213974,-71.583,-64.123795,-150.81871,-161.83759,-52.334335,-7.070727,-17.323124,-98.88503,-59.58037,-38.45314,-159.70769,-39.460598,-8.081382,-169.90103,0.0,-4.4271417,-4.2098894,-207.43759,0.0,-32.14006,0.0,-65.06317,-8.03493,-328.11774,-1096.0078,-57.6876,-224.1484,-96.936195,-80.19236
9,-292.95544,-41.161995,-39.390373,-56.19184,-41.256264,-29.07607,-134.24892,-35.844807,-51.36437,-274.35312,-13.746105,-78.573074,-46.584244,-27.961874,-21.808666,-20.905949,-63.900005,0.0,-10.557126,-11.961094,-16.798275,-14.662159,-438.35236,-429.52255,-15.661639,-4.5645475,-17.21995,-46.020664,0.0,-2.1222954,-0.009896755,-675.5244,-203.73369,-985.86444,-153.5352,-17.017859,-30.900625,-32.739822,-14.354599,-37.1448,-3.6332977,-12.595004,-2.4685507,-56.377586,-29.725796,-80.6462,-17.274029,-16.145987,-12.043842,-349.68942,-80.493546,-266.4201,-142.27629,-5.9426093,-86.36548,-36.885506,-48.258743,-19.137358,-37.962006,-13.122099,-14.368317,-7.988648,-31.948866,-100.54996,-69.18448,-126.46463,-135.81615,-44.18832,-5.3192863,-30.86751,-91.16098,-54.281166,-34.078632,-142.43927,-34.718575,-7.1367717,-171.55962,0.0,-4.1112275,-4.1862116,-208.09708,0.0,-28.88034,0.0,-59.023705,-7.238868,-326.20264,-1147.985,-57.964424,-194.80229,-97.38149,-67.41388
