Timestep,mot_shoulder_flex_r,mot_shoulder_add_r,mot_shoulder_rot_r,mot_elbow_flex_r,mot_pro_sup_r,mot_wrist_flex_r,mot_wrist_dev_r,mot_shoulder_flex_l,mot_shoulder_add_l,mot_shoulder_rot_l,mot_elbow_flex_l,mot_pro_sup_l,mot_wrist_flex_l,mot_wrist_dev_l
0,12.187436,16.510695,13.105218,11.059274,41.02577,-3.5813603,16.983301,29.457474,-0.04320624,0.1892333,2.525545,30.50882,-9.121676,12.6704235
1,26.927963,13.980091,3.3654468,17.573769,40.195885,-3.583914,12.352538,-17.34153,-77.44398,-34.670902,-7.4415092,27.303408,-16.833574,22.47201
2,56.228798,14.077292,-1.2979487,26.061625,41.713383,-4.069447,11.476304,-37.916367,-86.382126,-35.154953,-17.12154,27.88624,-19.97408,25.204515
3,43.419617,-1.9664581,-7.10165,12.258748,34.468422,-2.9422514,10.248429,-10.289639,-26.739677,-4.1470065,-2.7819982,25.304674,-15.576828,19.165285
4,7.326065,-20.194044,-9.675214,2.4423382,33.303913,-2.000474,9.502426,-5.9910593,16.791903,8.391126,12.520073,27.710197,-11.883573,12.612425
5,-21.128113,-5.50624,1.0530198,-4.1310678,33.751743,-1.4356192,9.588162,2.6392727,34.702015,12.465534,10.589632,28.632496,-11.14824,12.326705
6,-38.178047,1.535175,5.822742,-7.384235,33.05223,-1.8424875,9.469378,-3.0326,28.613085,9.62763,7.191015,29.368317,-11.252214,12.388861
7,-31.564276,10.690124,9.011357,-3.4150681,32.252434,-2.3023303,9.300935,-5.6729784,11.041062,4.32635,2.4748952,29.93992,-10.992144,12.47567
8,-16.693714,7.461845,7.3445616,1.7554373,32.837715,-2.3617296,9.383833,-5.764025,20.336435,5.134689,-0.41848284,29.714905,-11.858497,12.945326
9,-3.3210313,-2.0974405,2.9068258,3.9451263,32.96242,-2.677283,9.101382,-1.9455465,31.922243,8.687972,1.9078643,29.595926,-11.630779,12.966849
10,-10.828595,-25.743416,-5.1098742,-3.9936934,33.15375,-2.9655836,8.989154,-2.3399892,32.99084,9.04608,1.7485222,31.32928,-10.691994,12.357809
11,-12.155474,-8.083751,-1.4726856,-1.2387667,32.733276,-2.2153425,8.6933565,-8.763234,18.94119,3.585984,-0.27876893,31.356976,-10.726468,12.778817
12,-5.613933,-6.9975576,0.6837021,0.29376218,32.618366,-1.2230221,8.21498,-6.467115,22.544168,7.527959,1.7413584,31.223831,-10.625664,12.90288
13,0.529805,-13.299248,-3.3399606,-0.0048477286,32.29181,-0.6103589,7.781577,0.8392752,20.708664,7.5356603,3.6939263,29.849037,-10.711307,12.75167
14,1.6491637,-7.4716125,-3.5954747,3.3981645,32.008087,-0.47034723,8.091117,0.505125,7.9250774,4.5420866,1.344432,29.336927,-11.123926,12.766832
15,6.050861,-4.6321096,-4.1068068,4.2329698,32.21114,-0.8302326,8.907626,9.554174,3.9891176,0.8538188,7.201751,28.249323,-10.753667,12.465646
16,-2.2024243,-13.949708,-5.7306557,0.4257715,32.381687,-0.82184327,9.420633,12.391581,-8.906049,-1.188867,8.922692,28.105602,-10.77199,12.118868
17,-4.0547915,-6.445795,-2.0315375,2.7748811,32.40134,-0.20208421,9.608315,9.250283,-8.177335,-0.92039293,5.6061687,28.582052,-10.689434,12.623212
18,2.492577,-14.3472185,-4.2224617,0.8994575,31.960703,-0.22029397,8.254666,13.405213,-2.2087367,0.76121366,7.9805775,27.75223,-10.036798,12.402454
19,6.6964893,-19.188522,-6.461824,-0.4609986,33.093155,-0.8577765,7.2317133,16.852314,2.0633981,1.2773476,9.599876,26.843184,-9.738529,12.012825
20,-3.611857,-20.08063,-6.269502,-0.11707342,32.287876,-2.124455,7.7640443,23.217691,-17.940453,-3.5449662,14.290431,26.516073,-8.967528,11.72556
21,-9.17534,-6.1086073,-3.3462524,0.5305602,30.929747,-2.3047738,8.872783,27.64981,-23.66602,-4.530713,13.24134,26.821156,-8.909757,11.832382
22,-7.5898266,-7.5019946,-2.9904666,0.60106105,32.583828,-1.9301223,7.1327815,13.293089,10.0776205,3.3245707,5.1482215,28.621552,-8.274247,12.18223
23,-6.656676,5.0310082,-0.9968757,-2.797063,31.837143,-3.307027,7.043746,26.882212,10.16918,0.5652705,9.100675,27.760555,-6.749915,11.640721
24,-7.312077,12.424475,2.4408648,0.18550865,30.980854,-4.0773616,7.061214,14.263337,-5.4811153,-4.577244,7.230148,28.936842,-6.2337713,11.53289
25,-6.9321833,13.790365,3.9134133,3.1950839,32.837467,-3.8558378,6.642809,4.5934362,7.2775655,-1.803074,6.013954,29.9162,-6.287422,11.140314
26,-15.440992,25.09155,9.53871,2.0292947,31.661366,-4.389669,6.2779164,-1.7514701,-11.975782,-3.5543094,15.444929,27.547262,-7.6381865,10.452579
27,-20.924406,11.943869,7.038403,2.7754824,32.926495,-5.001708,5.9326086,3.6089804,-14.404978,-4.578237,1.0046453,29.804598,-7.2161427,10.624431
28,-15.776528,2.3653185,4.330286,2.7474966,35.32769,-5.3444395,6.774464,-9.62879,3.6007612,-2.1070092,3.172296,30.552498,-6.7536736,10.839868
29,-29.227375,-2.940829,2.5856984,-4.084772,32.72603,-5.7194085,6.7201905,-10.11325,-23.34226,-7.1939664,1.127948,29.498264,-7.3701115,10.662786
30,-35.27695,6.5951695,6.542066,-5.350676,30.657574,-5.8346095,6.696143,-0.7818786,-32.50406,-10.019798,4.046729,28.726868,-8.2907715,10.635415
31,-25.587006,-8.719427,-0.11381451,-4.9433613,31.244684,-5.9642,6.6999965,-1.5669258,-20.921686,-6.6417356,6.1054497,28.601547,-8.085503,10.320504
32,-22.597527,-12.84546,-1.1174096,-4.9504895,32.068333,-5.940434,7.209181,-9.586562,-15.704166,-4.0179224,2.6229675,29.343472,-8.115936,10.598259
