Actuator,Mean_abs_angle,Min_angle,Max_angle,Std_Dev_angle,RMS_angle
q_hip_flexion_r,15.6383,-28.7480,22.6470,17.1703,17.4500
q_hip_adduction_r,1.7998,-5.6662,4.4676,2.2584,2.2634
q_hip_rotation_r,8.3150,-19.1789,-0.4754,4.5255,9.4667
q_knee_angle_r,17.7538,-56.9186,0.1169,16.9796,24.5658
q_ankle_angle_r,8.8840,-20.7071,19.9338,9.8072,10.6194
q_hip_flexion_l,15.3690,-25.6668,23.8687,16.6705,16.8665
q_hip_adduction_l,2.7727,-7.0586,6.7037,3.1883,3.2898
q_hip_rotation_l,5.3166,-9.1793,14.1198,5.2776,6.1541
q_knee_angle_l,19.6810,-61.8442,-0.2454,18.2840,26.8635
q_ankle_angle_l,8.1478,-25.8646,21.7096,9.9981,10.3096
q_lumbar_extension,17.9421,-20.7411,-15.0596,1.2990,17.9890
q_lumbar_bending,1.9502,-4.5205,4.8379,2.2522,2.3734
q_lumbar_rotation,4.8178,-11.7453,5.5979,5.2212,5.6757
q_arm_flex_r,9.2186,-20.9569,7.1302,7.4503,11.1083
q_arm_add_r,21.6390,-31.6803,-14.7006,4.6099,22.1246
q_arm_rot_r,5.8030,-3.1922,12.8137,2.8783,6.3832
q_elbow_flex_r,53.9271,38.5661,68.0438,7.7995,54.4882
q_pro_sup_r,87.0281,85.2287,88.1160,0.6006,87.0302
q_wrist_flex_r,0.0000,0.0000,0.0000,0.0000,0.0000
q_wrist_dev_r,0.0000,0.0000,0.0000,0.0000,0.0000
q_arm_flex_l,14.6027,-30.7634,20.0186,15.0038,16.7591
q_arm_add_l,18.3254,-27.5213,-10.7244,5.2133,19.0525
q_arm_rot_l,7.5873,-14.5341,13.4550,8.1851,8.4162
q_elbow_flex_l,57.7429,45.7747,78.0014,8.1001,58.3083
q_pro_sup_l,83.3437,79.5986,85.5667,1.2821,83.3536
q_wrist_flex_l,0.0000,0.0000,0.0000,0.0000,0.0000
q_wrist_dev_l,0.0000,0.0000,0.0000,0.0000,0.0000
dq_hip_flexion_r,83.6038,-163.9950,219.6870,99.7579,99.7777
dq_hip_adduction_r,24.1368,-70.8769,56.2755,29.0431,29.0437
dq_hip_rotation_r,30.4495,-185.1473,66.0691,44.1374,44.1502
dq_knee_angle_r,129.8938,-345.7220,371.8457,167.9452,167.9911
dq_ankle_angle_r,94.9437,-403.6000,172.9028,129.8541,129.9097
dq_hip_flexion_l,80.1018,-159.9101,231.3965,98.2994,98.3006
dq_hip_adduction_l,34.2186,-73.2457,71.1682,38.3151,38.3195
dq_hip_rotation_l,35.8399,-89.0475,95.3740,44.2746,44.2762
dq_knee_angle_l,137.2295,-368.2620,387.7522,176.9252,176.9538
dq_ankle_angle_l,96.7161,-461.2603,246.3879,134.4274,134.4274
dq_lumbar_extension,12.9137,-50.0351,25.8731,16.9189,16.9204
dq_lumbar_bending,26.0879,-56.1636,53.4203,29.2716,29.2716
dq_lumbar_rotation,26.8484,-69.6179,64.4566,30.8537,30.8601
dq_arm_flex_r,41.3265,-102.6668,70.8349,46.0482,46.0502
dq_arm_add_r,25.1097,-60.4419,67.0394,30.1414,30.1432
dq_arm_rot_r,29.9485,-91.1089,103.8130,37.2980,37.3681
dq_elbow_flex_r,53.2383,-138.5115,116.2658,63.3783,63.3796
dq_pro_sup_r,7.8204,-27.0974,38.1919,10.1237,10.1264
dq_wrist_flex_r,0.0000,0.0000,0.0000,0.0000,0.0000
dq_wrist_dev_r,0.0000,0.0000,0.0000,0.0000,0.0000
dq_arm_flex_l,76.5072,-125.4435,146.2995,83.9010,83.9174
dq_arm_add_l,27.3859,-67.5695,60.3128,31.7791,31.7796
dq_arm_rot_l,44.8011,-96.7597,123.0066,53.3816,53.4123
dq_elbow_flex_l,41.8764,-115.4861,98.7491,48.2983,48.3205
dq_pro_sup_l,11.4756,-57.4885,53.9832,14.8617,14.8625
dq_wrist_flex_l,0.0000,0.0000,0.0000,0.0000,0.0000
dq_wrist_dev_l,0.0000,0.0000,0.0000,0.0000,0.0000
OVERALL,30.0957,-461.2603,387.7522,N/A,53.0951
