Timestep,q_hip_flexion_r,q_hip_adduction_r,q_hip_rotation_r,q_knee_angle_r,q_ankle_angle_r,q_hip_flexion_l,q_hip_adduction_l,q_hip_rotation_l,q_knee_angle_l,q_ankle_angle_l,q_lumbar_extension,q_lumbar_bending,q_lumbar_rotation,q_arm_flex_r,q_arm_add_r,q_arm_rot_r,q_elbow_flex_r,q_pro_sup_r,q_wrist_flex_r,q_wrist_dev_r,q_arm_flex_l,q_arm_add_l,q_arm_rot_l,q_elbow_flex_l,q_pro_sup_l,q_wrist_flex_l,q_wrist_dev_l,dq_hip_flexion_r,dq_hip_adduction_r,dq_hip_rotation_r,dq_knee_angle_r,dq_ankle_angle_r,dq_hip_flexion_l,dq_hip_adduction_l,dq_hip_rotation_l,dq_knee_angle_l,dq_ankle_angle_l,dq_lumbar_extension,dq_lumbar_bending,dq_lumbar_rotation,dq_arm_flex_r,dq_arm_add_r,dq_arm_rot_r,dq_elbow_flex_r,dq_pro_sup_r,dq_wrist_flex_r,dq_wrist_dev_r,dq_arm_flex_l,dq_arm_add_l,dq_arm_rot_l,dq_elbow_flex_l,dq_pro_sup_l,dq_wrist_flex_l,dq_wrist_dev_l
0,0.37390357,-0.041153222,-0.25065416,-0.12486328,0.106505536,-0.42911187,-0.064425275,0.13951506,-0.11263429,0.33137262,-0.30135426,0.036621172,-0.21473527,-0.3870408,-0.30346245,0.22386204,0.7159159,1.5320765,0.0,0.0,0.33184445,-0.45852667,0.14266732,1.1799092,1.4415534,0.0,0.0,0.007847714,0.26250982,0.08707055,-1.5997552,-4.132255,-0.6247629,-0.5294694,0.9674107,-1.4140688,-0.24610882,0.3223383,0.43241638,-0.42338407,0.4160753,0.08035709,0.59338766,-1.4283282,0.24722673,0.0,0.0,-0.24633905,0.39962775,-0.6375134,0.14297496,0.20146123,0.0,0.0
1,0.3709688,-0.035580557,-0.2454367,-0.13549797,0.061565608,-0.43495023,-0.06956087,0.14840503,-0.12813139,0.32696003,-0.29794708,0.040778644,-0.21789424,-0.38381493,-0.30186886,0.22586554,0.7040474,1.5331055,0.0,0.0,0.32827452,-0.4545678,0.13623467,1.1815336,1.4440972,0.0,0.0,-0.13611126,0.2848477,0.13038021,-1.4303414,-4.943142,-0.47528735,-0.51814723,1.0223422,-1.6835283,-0.6783598,0.3269524,0.46001422,-0.42735234,0.42925933,0.09790928,0.4334918,-1.3092138,0.16006607,0.0,0.0,-0.48206496,0.44016263,-0.648356,0.10558977,0.08483558,0.0,0.0
2,0.3681799,-0.032365754,-0.24471807,-0.14622651,0.0050311144,-0.4391175,-0.07475239,0.15889284,-0.14609659,0.31787342,-0.29460427,0.045333482,-0.22205627,-0.37986913,-0.30049896,0.22821473,0.6923023,1.5332953,0.0,0.0,0.3223921,-0.45017493,0.13026524,1.1823183,1.4431794,0.0,0.0,-0.18384713,0.27372015,0.18651398,-1.567794,-4.85662,-0.27453795,-0.4713247,1.02386,-2.062351,-1.2486,0.2852192,0.48105296,-0.40329063,0.4777263,0.09345468,0.37804836,-1.2464612,0.095908746,0.0,0.0,-0.69595164,0.49853396,-0.66037464,0.04875495,0.007632785,0.0,0.0
3,0.3656816,-0.030642547,-0.24598627,-0.15934515,-0.052191745,-0.44110313,-0.079529725,0.16988406,-0.16775317,0.30285922,-0.29178056,0.050132964,-0.22644581,-0.3750737,-0.29942438,0.2311552,0.68059295,1.5330667,0.0,0.0,0.31445786,-0.44519183,0.124434635,1.1823164,1.4405198,0.0,0.0,-0.17859945,0.2526197,0.26999477,-1.9052849,-4.0859756,-0.024483671,-0.39406705,0.9576593,-2.53033,-1.9490074,0.20410892,0.48992747,-0.33758268,0.5520273,0.07410318,0.39421275,-1.2149642,0.04644269,0.0,0.0,-0.88435924,0.56734264,-0.66916096,-0.0231093,-0.037564915,0.0,0.0
4,0.36361867,-0.02954466,-0.24672927,-0.17715016,-0.09919676,-0.44039667,-0.08342276,0.18028422,-0.19432446,0.28066385,-0.2899307,0.055024363,-0.2302874,-0.36929893,-0.29871675,0.23493262,0.66883135,1.5328413,0.0,0.0,0.3047325,-0.43946224,0.118418455,1.181581,1.4378376,0.0,0.0,-0.16360776,0.2450389,0.39534554,-2.335986,-2.8444972,0.27290654,-0.29143965,0.80943525,-3.0672588,-2.77176,0.09059182,0.48103258,-0.21661212,0.6427132,0.04696465,0.44914025,-1.1896168,0.0033558097,0.0,0.0,-1.0436478,0.6391895,-0.6703063,-0.10558278,-0.058175266,0.0,0.0
5,0.36213592,-0.028205827,-0.24443509,-0.2019378,-0.12507774,-0.4364876,-0.08596135,0.18899892,-0.22703376,0.2500338,-0.28950936,0.05985495,-0.23280554,-0.3624151,-0.29844767,0.23979257,0.6569298,1.53304,0.0,0.0,0.29347673,-0.43282983,0.11189231,1.180165,1.4368526,0.0,0.0,-0.18211165,0.27447024,0.5770892,-2.753069,-1.3454713,0.6156637,-0.16850781,0.5648829,-3.6529312,-3.7090356,-0.048361935,0.4487631,-0.026762659,0.740335,0.01914897,0.5099862,-1.1453128,-0.041663986,0.0,0.0,-1.1701773,0.70667535,-0.6594023,-0.19424531,-0.061616022,0.0,0.0
6,0.3610939,-0.025849884,-0.23729822,-0.23471051,-0.12282012,-0.42888075,-0.08680888,0.19486873,-0.2667479,0.2097756,-0.29085127,0.06442327,-0.2331772,-0.35435888,-0.29863447,0.24580716,0.64501554,1.5337638,0.0,0.0,0.28099507,-0.42524132,0.10476135,1.1780547,1.4384884,0.0,0.0,-0.27344018,0.35413623,0.8150984,-3.0524054,0.18535922,0.996897,-0.0306327,0.22437583,-4.2617216,-4.7386417,-0.20474252,0.38791433,0.23517752,0.8353952,-0.0031702816,0.54728955,-1.0598238,-0.09418883,0.0,0.0,-1.2620131,0.76190484,-0.6316598,-0.28381506,-0.05742189,0.0,0.0
7,0.3592162,-0.022061199,-0.22634016,-0.27129418,-0.1009799,-0.4171422,-0.08616274,0.19647416,-0.31290737,0.15893637,-0.29381102,0.06833287,-0.23038928,-0.34533215,-0.2990773,0.25235415,0.634077,1.5338326,0.0,0.0,0.26776725,-0.41705543,0.097849086,1.1749679,1.4404862,0.0,0.0,-0.4612766,0.4561683,1.05063,-3.1406677,1.4724153,1.3900225,0.115640715,-0.15298373,-4.8463254,-5.7808886,-0.36638072,0.29488358,0.53079176,0.91820246,-0.017565675,0.5451266,-0.9224336,-0.14882822,0.0,0.0,-1.324042,0.7949963,-0.5807667,-0.36556298,-0.06359757,0.0,0.0
8,0.35495055,-0.016546246,-0.213274,-0.30629146,-0.07181362,-0.40088508,-0.084338486,0.19242232,-0.36459452,0.09672375,-0.2981309,0.07113941,-0.22343883,-0.3356025,-0.2995268,0.2586396,0.6252916,1.531816,0.0,0.0,0.25430307,-0.40873042,0.09217758,1.1705828,1.4399133,0.0,0.0,-0.76387864,0.5430733,1.2116032,-2.93155,2.2380059,1.7640758,0.26330623,-0.49399987,-5.3548055,-6.741391,-0.5200143,0.16715156,0.81133837,0.97923833,-0.02273177,0.49137992,-0.72576827,-0.1968883,0.0,0.0,-1.3629081,0.79597366,-0.50057864,-0.43010938,-0.098484315,0.0,0.0
9,0.34694025,-0.0097468775,-0.19946226,-0.33594543,-0.04313365,-0.38045007,-0.081297584,0.18342683,-0.42085502,0.024656989,-0.30373165,0.07241847,-0.21264999,-0.3254232,-0.2998444,0.26391417,0.6192331,1.5279088,0.0,0.0,0.240794,-0.40064397,0.088052295,1.1652045,1.4366566,0.0,0.0,-1.1646851,0.5923337,1.2563186,-2.4381824,2.4426312,2.100605,0.4015551,-0.73910683,-5.753416,-7.518506,-0.65116346,0.01791049,1.0300274,1.0140818,-0.021625541,0.38361666,-0.47310612,-0.21674049,0.0,0.0,-1.3864264,0.7641087,-0.39757898,-0.47294012,-0.13942477,0.0,0.0
