Timestep,q_hip_flexion_r,q_hip_adduction_r,q_hip_rotation_r,q_knee_angle_r,q_ankle_angle_r,q_hip_flexion_l,q_hip_adduction_l,q_hip_rotation_l,q_knee_angle_l,q_ankle_angle_l,q_lumbar_extension,q_lumbar_bending,q_lumbar_rotation,q_arm_flex_r,q_arm_add_r,q_arm_rot_r,q_elbow_flex_r,q_pro_sup_r,q_wrist_flex_r,q_wrist_dev_r,q_arm_flex_l,q_arm_add_l,q_arm_rot_l,q_elbow_flex_l,q_pro_sup_l,q_wrist_flex_l,q_wrist_dev_l,dq_hip_flexion_r,dq_hip_adduction_r,dq_hip_rotation_r,dq_knee_angle_r,dq_ankle_angle_r,dq_hip_flexion_l,dq_hip_adduction_l,dq_hip_rotation_l,dq_knee_angle_l,dq_ankle_angle_l,dq_lumbar_extension,dq_lumbar_bending,dq_lumbar_rotation,dq_arm_flex_r,dq_arm_add_r,dq_arm_rot_r,dq_elbow_flex_r,dq_pro_sup_r,dq_wrist_flex_r,dq_wrist_dev_r,dq_arm_flex_l,dq_arm_add_l,dq_arm_rot_l,dq_elbow_flex_l,dq_pro_sup_l,dq_wrist_flex_l,dq_wrist_dev_l
0,-12.096209,-0.8772118,-9.99645,-4.3856373,10.711027,20.152891,2.680596,2.8984563,-39.456036,0.07584205,-18.19568,-2.5873296,-0.7544826,-6.273211,-23.832844,12.813745,58.154053,87.342964,0.0,0.0,-10.48999,-15.097074,0.033146434,55.886517,83.36544,0.0,0.0,-82.19092,34.498924,3.7004213,46.63513,40.15539,30.833227,-43.60071,-38.861877,341.9609,65.68305,11.09195,19.5826,22.372917,24.858072,-33.131523,-24.301914,73.50875,-2.45548,0.0,0.0,-101.75423,27.620197,-79.20939,-38.152046,-11.3694515,0.0,0.0
1,-12.913067,-0.53460336,-9.889321,-3.9582882,11.14952,20.377546,2.2104306,2.46818,-35.942688,0.692724,-18.082392,-2.389805,-0.5077593,-6.047439,-24.160944,12.547119,58.900455,87.297615,0.0,0.0,-11.5095005,-14.805477,-0.8053523,55.517384,83.251785,0.0,0.0,-80.86469,39.865696,12.887712,39.163013,43.53898,16.310118,-54.443363,-46.443302,362.24777,59.46187,11.213974,26.95654,26.975399,21.685732,-33.901627,-27.628698,75.36926,-2.4083211,0.0,0.0,-103.16333,29.641834,-80.39936,-36.589684,-1.6374952,0.0,0.0
2,-13.715126,-0.15136822,-9.662923,-3.6228287,11.622975,20.43692,1.6306019,1.9255322,-32.21885,1.225714,-17.97702,-2.130064,-0.1866272,-5.838325,-24.501482,12.261772,59.64895,87.28072,0.0,0.0,-12.542127,-14.488026,-1.6529163,55.164978,83.292404,0.0,0.0,-80.078476,43.63578,22.250896,31.900902,46.33038,3.2449021,-63.634075,-54.435734,377.69803,55.310726,10.933241,33.179783,31.863688,19.441305,-34.695084,-29.076029,75.6253,-3.3764691,0.0,0.0,-104.289894,31.75505,-81.09636,-35.0364,7.9902153,0.0,0.0
3,-14.508962,0.29955208,-9.381725,-3.3627684,12.108734,20.37206,0.9552947,1.3459485,-28.337814,1.7007977,-17.883266,-1.772429,0.16803327,-5.6520343,-24.85192,11.951013,60.408165,87.32135,0.0,0.0,-13.588386,-14.155173,-2.4773164,54.829586,83.587265,0.0,0.0,-79.90633,45.52807,30.532337,25.809961,48.12298,-6.7690845,-70.102234,-60.6806,386.10806,54.326225,10.509941,37.88635,35.893402,18.143454,-35.199776,-28.543655,74.00441,-6.2419863,0.0,0.0,-104.70983,33.5941,-81.072495,-34.096592,14.449427,0.0,0.0
4,-15.301521,0.7908521,-9.055027,-3.1586,12.598218,20.22913,0.2137816,0.73367006,-24.401852,2.1802495,-17.795067,-1.3411893,0.5452059,-5.4820285,-25.207396,11.640877,61.155994,87.34319,0.0,0.0,-14.640609,-13.811128,-3.272829,54.501675,83.99728,0.0,0.0,-80.09122,45.163116,36.843796,21.091387,48.875763,-13.025087,-72.79486,-63.367188,386.47427,56.31105,10.014071,40.526524,38.28718,17.819456,-35.106636,-26.330387,70.35245,-10.666229,0.0,0.0,-103.86483,34.871372,-80.29849,-34.192715,16.500477,0.0,0.0
5,-16.099964,1.2612244,-8.657656,-2.9889429,13.091645,20.057467,-0.5551724,0.048542444,-20.543823,2.7489097,-17.700274,-0.89815116,0.95251614,-5.313815,-25.561596,11.377826,61.85108,87.204285,0.0,0.0,-15.685978,-13.456201,-4.050327,54.165573,84.23411,0.0,0.0,-80.16924,42.100708,40.5298,17.469923,48.776882,-15.37296,-70.672035,-60.90607,378.5452,60.257427,9.396393,40.43641,38.498905,18.501448,-34.108814,-22.985384,64.589966,-15.5454445,0.0,0.0,-101.11358,35.348434,-78.86916,-35.632465,14.049429,0.0,0.0
6,-16.908304,1.6653438,-8.190995,-2.8371377,13.584846,19.89725,-1.3018911,-0.69196284,-16.860292,3.4441023,-17.595833,-0.49080366,1.3788499,-5.1328278,-25.905687,11.187211,62.46273,86.8663,0.0,0.0,-16.70631,-13.094298,-4.8195186,53.807262,84.164116,0.0,0.0,-79.81191,36.117924,41.32544,14.5539255,48.05898,-14.014896,-63.274437,-52.67686,362.1861,65.19855,8.578849,37.21698,36.36889,20.069403,-31.98252,-19.153845,56.799797,-19.660044,0.0,0.0,-96.12355,34.85621,-76.76755,-38.50786,7.78084,0.0,0.0
7,-17.717743,1.9946715,-7.7241087,-2.6987987,14.059652,19.767773,-1.9462444,-1.3266321,-13.38407,4.1843996,-17.50127,-0.13376847,1.764979,-4.925839,-26.222687,11.044489,62.98246,86.5425,0.0,0.0,-17.664244,-12.740404,-5.5817027,53.419308,84.028465,0.0,0.0,-79.023964,27.556662,39.887688,11.709976,47.058132,-9.987771,-51.583694,-40.423504,337.63715,70.26061,7.4249644,31.131475,32.667515,22.028894,-28.717875,-15.726323,47.503498,-21.517784,0.0,0.0,-89.33765,33.394176,-73.721245,-42.37984,0.23896421,0.0,0.0
8,-18.520567,2.2455676,-7.3281856,-2.5725927,14.500667,19.684748,-2.411888,-1.6904948,-10.129702,4.8824787,-17.436785,0.16312936,2.0529015,-4.6813974,-26.496511,10.918353,63.40748,86.45311,0.0,0.0,-18.52629,-12.409209,-6.3370094,52.993313,84.08955,0.0,0.0,-77.86397,16.882574,37.03731,8.28513,46.090393,-4.4233,-36.8405,-26.350718,305.1372,74.61978,5.8053536,22.592794,28.269526,23.864578,-24.34765,-13.550559,37.251675,-19.74336,0.0,0.0,-81.3109,31.010178,-69.49097,-46.71715,-5.8688755,0.0,0.0
9,-19.30312,2.3893814,-7.0112123,-2.478694,14.922219,19.666023,-2.677089,-1.772641,-7.189656,5.5443788,-17.398664,0.3702316,2.2552948,-4.4141154,-26.717585,10.79229,63.73235,86.50481,0.0,0.0,-19.283813,-12.111674,-7.0492105,52.51637,84.24275,0.0,0.0,-76.464424,5.2996235,33.879524,3.936248,45.11567,1.787012,-21.174088,-14.3527355,265.03516,77.61497,3.8007166,12.74818,23.80248,25.359114,-19.128115,-12.7912245,26.575207,-14.486632,0.0,0.0,-72.82252,28.036047,-64.714455,-50.68592,-8.721778,0.0,0.0
