Experiment Configuration: {'wandb': {'project': 'deepmimic'}, 'experiment': {'task_factory': {'name': 'ImitationFactory', 'params': {'default_dataset_conf': {'task': ['walk']}}}, 'env_params': {'env_name': 'MjxSkeletonMuscle', 'headless': False, 'disable_arms': False, 'scaling': 1.0, 'use_box_feet': True, 'horizon': 1000, 'goal_type': 'GoalTrajMimic', 'goal_params': {'visualize_goal': True, 'n_step_lookahead': 3, 'full_obs_lookahead': False}, 'control_type': '${control_config.torque_control.control_type}', 'control_params': '${control_config.torque_control.control_params}', 'reward_type': 'MimicReward', 'reward_params': {'qpos_w_exp': 15.0, 'qvel_w_exp': 3.0, 'rpos_w_exp': 100.0, 'rquat_w_exp': 10.0, 'rvel_w_exp': 0.1, 'qpos_w_sum': 0.6, 'qvel_w_sum': 0.2, 'action_out_of_bounds_coeff': 0.0, 'action_rate_coeff': 0.02, 'action_size_coeff': 0.02, 'sites_for_mimic': ['pelvis_mimic', 'upper_body_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}}, 'hidden_layers': [1024, 1024, 1024, 1024, 512, 512, 512, 512], 'lr': 0.0001, 'num_envs': 1024, 'num_steps': 50, 'total_timesteps': 100000000.0, 'update_epochs': 4, 'num_minibatches': 64, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_eps': 0.2, 'init_std': 0.2, 'learnable_std': False, 'use_lattice': True, 'ent_coef': 0.0, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'activation': 'silu', 'anneal_lr': False, 'weight_decay': 0.0, 'normalize_env': True, 'debug': False, 'n_seeds': 1, 'vmap_across_seeds': True, 'validation': {'active': True, 'num_steps': 100, 'num_envs': 100, 'num': 20, 'quantities': ['JointPosition', 'JointVelocity', 'RelSitePosition', 'RelSiteVelocity', 'RelSiteOrientation'], 'measures': ['EuclideanDistance', 'DynamicTimeWarping', 'DiscreteFrechetDistance'], 'rel_site_names': ['upper_body_mimic', 'left_hand_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_foot_mimic'], 'joints_to_ignore': ['pelvis_tx', 'pelvis_tz', 'pelvis_ty', 'pelvis_tilt', 'pelvis_list', 'pelvis_rotation']}}, 'control_config': {'position_control': {'control_type': 'PDControl', 'control_params': {'p_gain': [300, 100, 100, 100, 100, 100, 100, 100, 100, 200, 200, 200, 300, 40, 200, 200, 200, 300, 40], 'd_gain': [6, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 6, 2, 5, 5, 5, 6, 2]}}, 'torque_control': {'control_type': 'DefaultControl', 'control_params': None}}}
Creating environment 'MjxSkeletonMuscle' with imitation learning task.
reward_params: {'qpos_w_exp': 15.0, 'qvel_w_exp': 3.0, 'rpos_w_exp': 100.0, 'rquat_w_exp': 10.0, 'rvel_w_exp': 0.1, 'qpos_w_sum': 0.6, 'qvel_w_sum': 0.2, 'action_out_of_bounds_coeff': 0.0, 'action_rate_coeff': 0.02, 'action_size_coeff': 0.02, 'sites_for_mimic': ['pelvis_mimic', 'upper_body_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}
self._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x701935fb7a30>
Created environment with reward function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x701935fb7a30>
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x7013001fb970>
config.experiment.num_updates set to: 1953.0
config.experiment.minibatch_size set to: 800
config.experiment.validation_interval set to: 97.0
actorcritic_class: <class 'loco_mujoco.algorithms.common.networks.LatticeActorCritic'>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
metrics at the end of training: SummaryMetrics(mean_episode_return=Traced<ShapedArray(float32[1953])>with<DynamicJaxprTrace>, mean_episode_length=Traced<ShapedArray(float32[1953])>with<DynamicJaxprTrace>, max_timestep=Traced<ShapedArray(int32[1953])>with<DynamicJaxprTrace>)

Saved agent to: /home/ktoonen/workspace/TestLocoMuJoCo/TestExperimentCode/outputs/2025-12-19/13-07-26/PPOJax_saved.pkl

{'Mean Episode Return': Array(4.800766, dtype=float32), 'Mean Episode Length': Array(33.27688, dtype=float32)} step=51200
{'Mean Episode Return': Array(4.57957, dtype=float32), 'Mean Episode Length': Array(43.750797, dtype=float32)} step=102400
{'Mean Episode Return': Array(4.0807815, dtype=float32), 'Mean Episode Length': Array(42.251614, dtype=float32)} step=153600
{'Mean Episode Return': Array(3.7934256, dtype=float32), 'Mean Episode Length': Array(42.181217, dtype=float32)} step=204800
{'Mean Episode Return': Array(3.3874743, dtype=float32), 'Mean Episode Length': Array(42.382694, dtype=float32)} step=256000
{'Mean Episode Return': Array(4.130912, dtype=float32), 'Mean Episode Length': Array(42.038994, dtype=float32)} step=307200
{'Mean Episode Return': Array(4.411268, dtype=float32), 'Mean Episode Length': Array(41.04247, dtype=float32)} step=358400
{'Mean Episode Return': Array(4.1948957, dtype=float32), 'Mean Episode Length': Array(40.31134, dtype=float32)} step=409600
{'Mean Episode Return': Array(4.029173, dtype=float32), 'Mean Episode Length': Array(41.319965, dtype=float32)} step=460800
{'Mean Episode Return': Array(4.2204914, dtype=float32), 'Mean Episode Length': Array(41.628593, dtype=float32)} step=512000
{'Mean Episode Return': Array(4.401652, dtype=float32), 'Mean Episode Length': Array(41.59873, dtype=float32)} step=563200
{'Mean Episode Return': Array(4.521293, dtype=float32), 'Mean Episode Length': Array(40.559715, dtype=float32)} step=614400
{'Mean Episode Return': Array(4.849058, dtype=float32), 'Mean Episode Length': Array(41.33115, dtype=float32)} step=665600
{'Mean Episode Return': Array(4.986766, dtype=float32), 'Mean Episode Length': Array(42.03859, dtype=float32)} step=716800
{'Mean Episode Return': Array(4.8774977, dtype=float32), 'Mean Episode Length': Array(42.075428, dtype=float32)} step=768000
{'Mean Episode Return': Array(4.9973845, dtype=float32), 'Mean Episode Length': Array(42.098846, dtype=float32)} step=819200
{'Mean Episode Return': Array(5.273921, dtype=float32), 'Mean Episode Length': Array(42.151665, dtype=float32)} step=870400
{'Mean Episode Return': Array(5.1158237, dtype=float32), 'Mean Episode Length': Array(42.000813, dtype=float32)} step=921600
{'Mean Episode Return': Array(5.0610375, dtype=float32), 'Mean Episode Length': Array(42.339226, dtype=float32)} step=972800
{'Mean Episode Return': Array(5.1762505, dtype=float32), 'Mean Episode Length': Array(42.57721, dtype=float32)} step=1024000
{'Mean Episode Return': Array(5.555142, dtype=float32), 'Mean Episode Length': Array(42.528145, dtype=float32)} step=1075200
{'Mean Episode Return': Array(5.4826083, dtype=float32), 'Mean Episode Length': Array(42.286777, dtype=float32)} step=1126400
{'Mean Episode Return': Array(5.7110515, dtype=float32), 'Mean Episode Length': Array(41.85726, dtype=float32)} step=1177600
{'Mean Episode Return': Array(5.6745734, dtype=float32), 'Mean Episode Length': Array(42.113285, dtype=float32)} step=1228800
{'Mean Episode Return': Array(5.8991165, dtype=float32), 'Mean Episode Length': Array(42.033607, dtype=float32)} step=1280000
{'Mean Episode Return': Array(6.32241, dtype=float32), 'Mean Episode Length': Array(41.713345, dtype=float32)} step=1331200
{'Mean Episode Return': Array(6.663668, dtype=float32), 'Mean Episode Length': Array(42.813644, dtype=float32)} step=1382400
{'Mean Episode Return': Array(6.649043, dtype=float32), 'Mean Episode Length': Array(43.047577, dtype=float32)} step=1433600
{'Mean Episode Return': Array(6.81396, dtype=float32), 'Mean Episode Length': Array(42.576538, dtype=float32)} step=1484800
{'Mean Episode Return': Array(7.480812, dtype=float32), 'Mean Episode Length': Array(42.124077, dtype=float32)} step=1536000
{'Mean Episode Return': Array(8.0660925, dtype=float32), 'Mean Episode Length': Array(42.578514, dtype=float32)} step=1587200
{'Mean Episode Return': Array(8.47983, dtype=float32), 'Mean Episode Length': Array(41.552673, dtype=float32)} step=1638400
{'Mean Episode Return': Array(8.931091, dtype=float32), 'Mean Episode Length': Array(42.970833, dtype=float32)} step=1689600
{'Mean Episode Return': Array(9.18032, dtype=float32), 'Mean Episode Length': Array(42.40774, dtype=float32)} step=1740800
{'Mean Episode Return': Array(9.045926, dtype=float32), 'Mean Episode Length': Array(42.428806, dtype=float32)} step=1792000
{'Mean Episode Return': Array(9.488085, dtype=float32), 'Mean Episode Length': Array(42.393066, dtype=float32)} step=1843200
{'Mean Episode Return': Array(9.6388035, dtype=float32), 'Mean Episode Length': Array(41.865417, dtype=float32)} step=1894400
{'Mean Episode Return': Array(10.052566, dtype=float32), 'Mean Episode Length': Array(42.08714, dtype=float32)} step=1945600
{'Mean Episode Return': Array(10.086976, dtype=float32), 'Mean Episode Length': Array(42.087307, dtype=float32)} step=1996800
{'Mean Episode Return': Array(10.379287, dtype=float32), 'Mean Episode Length': Array(41.698204, dtype=float32)} step=2048000
{'Mean Episode Return': Array(10.7616005, dtype=float32), 'Mean Episode Length': Array(41.798546, dtype=float32)} step=2099200
{'Mean Episode Return': Array(10.86092, dtype=float32), 'Mean Episode Length': Array(41.568577, dtype=float32)} step=2150400
{'Mean Episode Return': Array(11.200361, dtype=float32), 'Mean Episode Length': Array(41.91378, dtype=float32)} step=2201600
{'Mean Episode Return': Array(11.247269, dtype=float32), 'Mean Episode Length': Array(41.358135, dtype=float32)} step=2252800
{'Mean Episode Return': Array(11.638019, dtype=float32), 'Mean Episode Length': Array(42.39885, dtype=float32)} step=2304000
{'Mean Episode Return': Array(11.7936945, dtype=float32), 'Mean Episode Length': Array(42.40913, dtype=float32)} step=2355200
{'Mean Episode Return': Array(12.007417, dtype=float32), 'Mean Episode Length': Array(43.23244, dtype=float32)} step=2406400
{'Mean Episode Return': Array(12.105914, dtype=float32), 'Mean Episode Length': Array(42.21896, dtype=float32)} step=2457600
{'Mean Episode Return': Array(12.163814, dtype=float32), 'Mean Episode Length': Array(42.149876, dtype=float32)} step=2508800
{'Mean Episode Return': Array(12.297453, dtype=float32), 'Mean Episode Length': Array(42.34699, dtype=float32)} step=2560000
{'Mean Episode Return': Array(12.430308, dtype=float32), 'Mean Episode Length': Array(42.68152, dtype=float32)} step=2611200
{'Mean Episode Return': Array(12.614405, dtype=float32), 'Mean Episode Length': Array(42.459885, dtype=float32)} step=2662400
{'Mean Episode Return': Array(13.00274, dtype=float32), 'Mean Episode Length': Array(42.81849, dtype=float32)} step=2713600
{'Mean Episode Return': Array(12.916425, dtype=float32), 'Mean Episode Length': Array(43.679733, dtype=float32)} step=2764800
{'Mean Episode Return': Array(13.036214, dtype=float32), 'Mean Episode Length': Array(43.211655, dtype=float32)} step=2816000
{'Mean Episode Return': Array(13.349751, dtype=float32), 'Mean Episode Length': Array(42.328655, dtype=float32)} step=2867200
{'Mean Episode Return': Array(13.2135, dtype=float32), 'Mean Episode Length': Array(42.964405, dtype=float32)} step=2918400
{'Mean Episode Return': Array(13.188593, dtype=float32), 'Mean Episode Length': Array(43.359165, dtype=float32)} step=2969600
{'Mean Episode Return': Array(13.539056, dtype=float32), 'Mean Episode Length': Array(43.171528, dtype=float32)} step=3020800
{'Mean Episode Return': Array(13.644523, dtype=float32), 'Mean Episode Length': Array(43.808838, dtype=float32)} step=3072000
{'Mean Episode Return': Array(13.69803, dtype=float32), 'Mean Episode Length': Array(43.7383, dtype=float32)} step=3123200
{'Mean Episode Return': Array(13.902688, dtype=float32), 'Mean Episode Length': Array(43.94911, dtype=float32)} step=3174400
{'Mean Episode Return': Array(14.048213, dtype=float32), 'Mean Episode Length': Array(43.34547, dtype=float32)} step=3225600
{'Mean Episode Return': Array(14.098669, dtype=float32), 'Mean Episode Length': Array(43.398125, dtype=float32)} step=3276800
{'Mean Episode Return': Array(14.332095, dtype=float32), 'Mean Episode Length': Array(44.154377, dtype=float32)} step=3328000
{'Mean Episode Return': Array(14.192468, dtype=float32), 'Mean Episode Length': Array(44.6238, dtype=float32)} step=3379200
{'Mean Episode Return': Array(14.392053, dtype=float32), 'Mean Episode Length': Array(44.52673, dtype=float32)} step=3430400
{'Mean Episode Return': Array(14.352111, dtype=float32), 'Mean Episode Length': Array(44.47951, dtype=float32)} step=3481600
{'Mean Episode Return': Array(14.576519, dtype=float32), 'Mean Episode Length': Array(44.411514, dtype=float32)} step=3532800
{'Mean Episode Return': Array(14.720732, dtype=float32), 'Mean Episode Length': Array(44.414124, dtype=float32)} step=3584000
{'Mean Episode Return': Array(14.826705, dtype=float32), 'Mean Episode Length': Array(44.65722, dtype=float32)} step=3635200
{'Mean Episode Return': Array(14.701638, dtype=float32), 'Mean Episode Length': Array(45.351162, dtype=float32)} step=3686400
{'Mean Episode Return': Array(14.952888, dtype=float32), 'Mean Episode Length': Array(44.901608, dtype=float32)} step=3737600
{'Mean Episode Return': Array(14.903124, dtype=float32), 'Mean Episode Length': Array(45.167545, dtype=float32)} step=3788800
{'Mean Episode Return': Array(14.978019, dtype=float32), 'Mean Episode Length': Array(45.716633, dtype=float32)} step=3840000
{'Mean Episode Return': Array(15.023485, dtype=float32), 'Mean Episode Length': Array(46.99819, dtype=float32)} step=3891200
{'Mean Episode Return': Array(15.442074, dtype=float32), 'Mean Episode Length': Array(45.70837, dtype=float32)} step=3942400
{'Mean Episode Return': Array(15.22389, dtype=float32), 'Mean Episode Length': Array(46.31307, dtype=float32)} step=3993600
{'Mean Episode Return': Array(15.340625, dtype=float32), 'Mean Episode Length': Array(46.714413, dtype=float32)} step=4044800
{'Mean Episode Return': Array(15.619798, dtype=float32), 'Mean Episode Length': Array(46.924423, dtype=float32)} step=4096000
{'Mean Episode Return': Array(15.698167, dtype=float32), 'Mean Episode Length': Array(47.277676, dtype=float32)} step=4147200
{'Mean Episode Return': Array(15.598506, dtype=float32), 'Mean Episode Length': Array(47.23234, dtype=float32)} step=4198400
{'Mean Episode Return': Array(16.147661, dtype=float32), 'Mean Episode Length': Array(46.96846, dtype=float32)} step=4249600
{'Mean Episode Return': Array(15.762147, dtype=float32), 'Mean Episode Length': Array(47.690323, dtype=float32)} step=4300800
{'Mean Episode Return': Array(15.799735, dtype=float32), 'Mean Episode Length': Array(47.860573, dtype=float32)} step=4352000
{'Mean Episode Return': Array(14.88241, dtype=float32), 'Mean Episode Length': Array(47.242367, dtype=float32)} step=4403200
{'Mean Episode Return': Array(14.615408, dtype=float32), 'Mean Episode Length': Array(47.3324, dtype=float32)} step=4454400
{'Mean Episode Return': Array(15.469011, dtype=float32), 'Mean Episode Length': Array(48.781612, dtype=float32)} step=4505600
{'Mean Episode Return': Array(14.531298, dtype=float32), 'Mean Episode Length': Array(47.935028, dtype=float32)} step=4556800
{'Mean Episode Return': Array(13.69116, dtype=float32), 'Mean Episode Length': Array(47.59797, dtype=float32)} step=4608000
{'Mean Episode Return': Array(14.095734, dtype=float32), 'Mean Episode Length': Array(48.368126, dtype=float32)} step=4659200
{'Mean Episode Return': Array(15.394586, dtype=float32), 'Mean Episode Length': Array(47.188366, dtype=float32)} step=4710400
{'Mean Episode Return': Array(16.134151, dtype=float32), 'Mean Episode Length': Array(47.94318, dtype=float32)} step=4761600
{'Mean Episode Return': Array(15.994297, dtype=float32), 'Mean Episode Length': Array(48.137383, dtype=float32)} step=4812800
{'Mean Episode Return': Array(15.96356, dtype=float32), 'Mean Episode Length': Array(48.612713, dtype=float32)} step=4864000
{'Mean Episode Return': Array(16.377111, dtype=float32), 'Mean Episode Length': Array(49.127804, dtype=float32)} step=4915200
{'Mean Episode Return': Array(16.771906, dtype=float32), 'Mean Episode Length': Array(49.45121, dtype=float32)} step=4966400
{'Validation Info/Mean Episode Return': Array(17.669426, dtype=float32), 'Validation Info/Mean Episode Length': Array(47.35135, dtype=float32)} step=4966400
{'Mean Episode Return': Array(16.744646, dtype=float32), 'Mean Episode Length': Array(49.48659, dtype=float32)} step=5017600
{'Mean Episode Return': Array(17.120638, dtype=float32), 'Mean Episode Length': Array(50.12314, dtype=float32)} step=5068800
{'Mean Episode Return': Array(17.10481, dtype=float32), 'Mean Episode Length': Array(50.01647, dtype=float32)} step=5120000
{'Mean Episode Return': Array(17.568722, dtype=float32), 'Mean Episode Length': Array(50.766804, dtype=float32)} step=5171200
{'Mean Episode Return': Array(17.681797, dtype=float32), 'Mean Episode Length': Array(51.13235, dtype=float32)} step=5222400
{'Mean Episode Return': Array(17.768116, dtype=float32), 'Mean Episode Length': Array(51.03049, dtype=float32)} step=5273600
{'Mean Episode Return': Array(18.300535, dtype=float32), 'Mean Episode Length': Array(51.332333, dtype=float32)} step=5324800
{'Mean Episode Return': Array(18.327744, dtype=float32), 'Mean Episode Length': Array(51.305824, dtype=float32)} step=5376000
{'Mean Episode Return': Array(18.52244, dtype=float32), 'Mean Episode Length': Array(51.30521, dtype=float32)} step=5427200
{'Mean Episode Return': Array(18.554419, dtype=float32), 'Mean Episode Length': Array(51.983852, dtype=float32)} step=5478400
{'Mean Episode Return': Array(18.888535, dtype=float32), 'Mean Episode Length': Array(51.629627, dtype=float32)} step=5529600
{'Mean Episode Return': Array(18.542526, dtype=float32), 'Mean Episode Length': Array(51.85136, dtype=float32)} step=5580800
{'Mean Episode Return': Array(18.820942, dtype=float32), 'Mean Episode Length': Array(51.98999, dtype=float32)} step=5632000
{'Mean Episode Return': Array(18.732685, dtype=float32), 'Mean Episode Length': Array(51.36875, dtype=float32)} step=5683200
{'Mean Episode Return': Array(19.57953, dtype=float32), 'Mean Episode Length': Array(52.846626, dtype=float32)} step=5734400
{'Mean Episode Return': Array(19.347422, dtype=float32), 'Mean Episode Length': Array(52.51947, dtype=float32)} step=5785600
{'Mean Episode Return': Array(19.699135, dtype=float32), 'Mean Episode Length': Array(53.231724, dtype=float32)} step=5836800
{'Mean Episode Return': Array(19.427961, dtype=float32), 'Mean Episode Length': Array(51.92165, dtype=float32)} step=5888000
{'Mean Episode Return': Array(19.886612, dtype=float32), 'Mean Episode Length': Array(53.94271, dtype=float32)} step=5939200
{'Mean Episode Return': Array(19.89935, dtype=float32), 'Mean Episode Length': Array(52.90695, dtype=float32)} step=5990400
{'Mean Episode Return': Array(19.946821, dtype=float32), 'Mean Episode Length': Array(54.080887, dtype=float32)} step=6041600
{'Mean Episode Return': Array(19.977491, dtype=float32), 'Mean Episode Length': Array(53.320293, dtype=float32)} step=6092800
{'Mean Episode Return': Array(20.168215, dtype=float32), 'Mean Episode Length': Array(53.6934, dtype=float32)} step=6144000
{'Mean Episode Return': Array(20.357248, dtype=float32), 'Mean Episode Length': Array(53.31049, dtype=float32)} step=6195200
{'Mean Episode Return': Array(20.471373, dtype=float32), 'Mean Episode Length': Array(53.77801, dtype=float32)} step=6246400
{'Mean Episode Return': Array(20.438581, dtype=float32), 'Mean Episode Length': Array(53.197247, dtype=float32)} step=6297600
{'Mean Episode Return': Array(20.528793, dtype=float32), 'Mean Episode Length': Array(53.38548, dtype=float32)} step=6348800
{'Mean Episode Return': Array(20.598598, dtype=float32), 'Mean Episode Length': Array(53.56243, dtype=float32)} step=6400000
{'Mean Episode Return': Array(20.80486, dtype=float32), 'Mean Episode Length': Array(53.37461, dtype=float32)} step=6451200
{'Mean Episode Return': Array(20.810202, dtype=float32), 'Mean Episode Length': Array(53.209663, dtype=float32)} step=6502400
{'Mean Episode Return': Array(21.029894, dtype=float32), 'Mean Episode Length': Array(53.289886, dtype=float32)} step=6553600
{'Mean Episode Return': Array(21.132921, dtype=float32), 'Mean Episode Length': Array(53.291927, dtype=float32)} step=6604800
{'Mean Episode Return': Array(20.924103, dtype=float32), 'Mean Episode Length': Array(53.334393, dtype=float32)} step=6656000
{'Mean Episode Return': Array(21.22766, dtype=float32), 'Mean Episode Length': Array(52.794846, dtype=float32)} step=6707200
{'Mean Episode Return': Array(20.99603, dtype=float32), 'Mean Episode Length': Array(53.368317, dtype=float32)} step=6758400
{'Mean Episode Return': Array(21.216803, dtype=float32), 'Mean Episode Length': Array(52.339176, dtype=float32)} step=6809600
{'Mean Episode Return': Array(21.205353, dtype=float32), 'Mean Episode Length': Array(52.762993, dtype=float32)} step=6860800
{'Mean Episode Return': Array(21.581493, dtype=float32), 'Mean Episode Length': Array(54.324154, dtype=float32)} step=6912000
