Creating environment 'MjxSkeletonMuscle' with imitation learning task.
reward_params: {'qpos_w_sum': 0.6, 'qvel_w_sum': 0.2, 'rpos_w_sum': 0.5, 'rquat_w_sum': 0.3, 'rvel_w_sum': 0.1, 'action_out_of_bounds_coeff': 0.0, 'action_rate_coeff': 0.02, 'sites_for_mimic': ['upper_body_mimic', 'pelvis_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}
self._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x79f9e394b730>
Created environment with reward function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x79f9e394b730>
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x79f85ff2f160>
config.experiment.num_updates set to: 39062.0
config.experiment.minibatch_size set to: 800
config.experiment.validation_interval set to: 39062.0
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in MimicReward: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
metrics at the end of training: SummaryMetrics(mean_episode_return=Traced<ShapedArray(float32[39062])>with<DynamicJaxprTrace>, mean_episode_length=Traced<ShapedArray(float32[39062])>with<DynamicJaxprTrace>, max_timestep=Traced<ShapedArray(int32[39062])>with<DynamicJaxprTrace>)

Saved agent to: /home/ktoonen/workspace/TestLocoMuJoCo/TestExperimentCode/outputs/2025-11-03/15-07-36/PPOJax_saved.pkl

{'Mean Episode Return': Array(11.539647, dtype=float32), 'Mean Episode Length': Array(37.685356, dtype=float32)} step=51200
{'Mean Episode Return': Array(11.677097, dtype=float32), 'Mean Episode Length': Array(40.550323, dtype=float32)} step=102400
{'Mean Episode Return': Array(11.703911, dtype=float32), 'Mean Episode Length': Array(39.974937, dtype=float32)} step=153600
{'Mean Episode Return': Array(11.7806015, dtype=float32), 'Mean Episode Length': Array(40.65498, dtype=float32)} step=204800
{'Mean Episode Return': Array(11.849103, dtype=float32), 'Mean Episode Length': Array(40.494427, dtype=float32)} step=256000
{'Mean Episode Return': Array(12.011057, dtype=float32), 'Mean Episode Length': Array(40.823345, dtype=float32)} step=307200
{'Mean Episode Return': Array(11.976596, dtype=float32), 'Mean Episode Length': Array(40.543858, dtype=float32)} step=358400
{'Mean Episode Return': Array(12.0810795, dtype=float32), 'Mean Episode Length': Array(40.46032, dtype=float32)} step=409600
{'Mean Episode Return': Array(12.334308, dtype=float32), 'Mean Episode Length': Array(40.71169, dtype=float32)} step=460800
{'Mean Episode Return': Array(12.607753, dtype=float32), 'Mean Episode Length': Array(40.8576, dtype=float32)} step=512000
{'Mean Episode Return': Array(12.922454, dtype=float32), 'Mean Episode Length': Array(41.74274, dtype=float32)} step=563200
{'Mean Episode Return': Array(13.255319, dtype=float32), 'Mean Episode Length': Array(40.374107, dtype=float32)} step=614400
{'Mean Episode Return': Array(13.641173, dtype=float32), 'Mean Episode Length': Array(40.284904, dtype=float32)} step=665600
{'Mean Episode Return': Array(14.08122, dtype=float32), 'Mean Episode Length': Array(41.181602, dtype=float32)} step=716800
{'Mean Episode Return': Array(14.458209, dtype=float32), 'Mean Episode Length': Array(41.2789, dtype=float32)} step=768000
{'Mean Episode Return': Array(14.878648, dtype=float32), 'Mean Episode Length': Array(41.53583, dtype=float32)} step=819200
{'Mean Episode Return': Array(15.290168, dtype=float32), 'Mean Episode Length': Array(41.6598, dtype=float32)} step=870400
{'Mean Episode Return': Array(15.711892, dtype=float32), 'Mean Episode Length': Array(42.471405, dtype=float32)} step=921600
{'Mean Episode Return': Array(15.946212, dtype=float32), 'Mean Episode Length': Array(42.02174, dtype=float32)} step=972800
{'Mean Episode Return': Array(16.278996, dtype=float32), 'Mean Episode Length': Array(41.550167, dtype=float32)} step=1024000
{'Mean Episode Return': Array(16.535755, dtype=float32), 'Mean Episode Length': Array(41.748154, dtype=float32)} step=1075200
{'Mean Episode Return': Array(16.755934, dtype=float32), 'Mean Episode Length': Array(42.477535, dtype=float32)} step=1126400
{'Mean Episode Return': Array(17.087006, dtype=float32), 'Mean Episode Length': Array(42.293877, dtype=float32)} step=1177600
{'Mean Episode Return': Array(17.305311, dtype=float32), 'Mean Episode Length': Array(41.801647, dtype=float32)} step=1228800
{'Mean Episode Return': Array(17.601357, dtype=float32), 'Mean Episode Length': Array(42.923397, dtype=float32)} step=1280000
{'Mean Episode Return': Array(17.78891, dtype=float32), 'Mean Episode Length': Array(43.155247, dtype=float32)} step=1331200
{'Mean Episode Return': Array(18.025099, dtype=float32), 'Mean Episode Length': Array(43.916164, dtype=float32)} step=1382400
{'Mean Episode Return': Array(18.274876, dtype=float32), 'Mean Episode Length': Array(44.05608, dtype=float32)} step=1433600
