Experiment Configuration: {'wandb': {'project': 'deepmimic'}, 'experiment': {'task_factory': {'name': 'ImitationFactory', 'params': {'default_dataset_conf': {'task': ['walk']}}}, 'env_params': {'env_name': 'MjxSkeletonMuscle', 'headless': False, 'disable_arms': False, 'scaling': 1.0, 'use_box_feet': True, 'horizon': 1000, 'goal_type': 'GoalTrajMimic', 'goal_params': {'visualize_goal': True, 'n_step_lookahead': 1, 'full_obs_lookahead': False}, 'control_type': '${control_config.torque_control.control_type}', 'control_params': '${control_config.torque_control.control_params}', 'reward_type': 'MimicReward', 'reward_params': {'qpos_w_exp': 10.0, 'qvel_w_exp': 2.0, 'rpos_w_exp': 100.0, 'rquat_w_exp': 10.0, 'rvel_w_exp': 0.1, 'qpos_w_sum': 0.6, 'qvel_w_sum': 0.2, 'action_out_of_bounds_coeff': 0.0, 'action_rate_coeff': 0.02, 'action_size_coeff': 0.02, 'sites_for_mimic': ['upper_body_mimic', 'pelvis_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}}, 'hidden_layers': [1024, 1024, 1024, 1024, 512, 512, 512, 512], 'lr': 0.0001, 'num_envs': 1024, 'num_steps': 50, 'total_timesteps': 300000000.0, 'update_epochs': 4, 'num_minibatches': 64, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_eps': 0.2, 'init_std': 0.2, 'learnable_std': False, 'use_lattice': False, 'ent_coef': 0.0, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'activation': 'silu', 'anneal_lr': False, 'weight_decay': 0.0, 'normalize_env': True, 'debug': False, 'n_seeds': 1, 'vmap_across_seeds': True, 'validation': {'active': True, 'num_steps': 100, 'num_envs': 100, 'num': 20, 'quantities': ['JointPosition', 'JointVelocity', 'RelSitePosition', 'RelSiteVelocity', 'RelSiteOrientation'], 'measures': ['EuclideanDistance', 'DynamicTimeWarping', 'DiscreteFrechetDistance'], 'rel_site_names': ['upper_body_mimic', 'left_hand_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_foot_mimic'], 'joints_to_ignore': ['pelvis_tx', 'pelvis_tz', 'pelvis_ty', 'pelvis_tilt', 'pelvis_list', 'pelvis_rotation']}}, 'control_config': {'position_control': {'control_type': 'PDControl', 'control_params': {'p_gain': [300, 100, 100, 100, 100, 100, 100, 100, 100, 200, 200, 200, 300, 40, 200, 200, 200, 300, 40], 'd_gain': [6, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 6, 2, 5, 5, 5, 6, 2]}}, 'torque_control': {'control_type': 'DefaultControl', 'control_params': None}}}
Creating environment 'MjxSkeletonMuscle' with imitation learning task.
GoalTrajMimic observation dimension: 233 + 168 additional observation size
reward_params: {'qpos_w_exp': 10.0, 'qvel_w_exp': 2.0, 'rpos_w_exp': 100.0, 'rquat_w_exp': 10.0, 'rvel_w_exp': 0.1, 'qpos_w_sum': 0.6, 'qvel_w_sum': 0.2, 'action_out_of_bounds_coeff': 0.0, 'action_rate_coeff': 0.02, 'action_size_coeff': 0.02, 'sites_for_mimic': ['upper_body_mimic', 'pelvis_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}
self._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x7ed60f897a60>
Created environment with reward function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x7ed60f897a60>
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x7ed473feb3d0>
config.experiment.num_updates set to: 5859.0
config.experiment.minibatch_size set to: 800
config.experiment.validation_interval set to: 292.0
actorcritic_class: <class 'loco_mujoco.algorithms.common.networks.ActorCritic'>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
metrics at the end of training: SummaryMetrics(mean_episode_return=Traced<ShapedArray(float32[5859])>with<DynamicJaxprTrace>, mean_episode_length=Traced<ShapedArray(float32[5859])>with<DynamicJaxprTrace>, max_timestep=Traced<ShapedArray(int32[5859])>with<DynamicJaxprTrace>)

Saved agent to: /home/ktoonen/workspace/TestLocoMuJoCo/TestExperimentCode/outputs/2026-01-15/09-08-41/PPOJax_saved.pkl

{'Mean Episode Return': Array(8.196446, dtype=float32), 'Mean Episode Length': Array(37.687645, dtype=float32)} step=51200
{'Mean Episode Return': Array(8.104076, dtype=float32), 'Mean Episode Length': Array(40.535713, dtype=float32)} step=102400
{'Mean Episode Return': Array(8.152345, dtype=float32), 'Mean Episode Length': Array(39.871124, dtype=float32)} step=153600
{'Mean Episode Return': Array(8.188861, dtype=float32), 'Mean Episode Length': Array(40.61807, dtype=float32)} step=204800
{'Mean Episode Return': Array(8.281162, dtype=float32), 'Mean Episode Length': Array(40.452477, dtype=float32)} step=256000
{'Mean Episode Return': Array(8.415132, dtype=float32), 'Mean Episode Length': Array(40.591885, dtype=float32)} step=307200
{'Mean Episode Return': Array(8.594458, dtype=float32), 'Mean Episode Length': Array(40.64865, dtype=float32)} step=358400
{'Mean Episode Return': Array(8.890465, dtype=float32), 'Mean Episode Length': Array(40.14676, dtype=float32)} step=409600
{'Mean Episode Return': Array(9.235426, dtype=float32), 'Mean Episode Length': Array(40.272156, dtype=float32)} step=460800
{'Mean Episode Return': Array(9.590665, dtype=float32), 'Mean Episode Length': Array(40.839935, dtype=float32)} step=512000
{'Mean Episode Return': Array(10.033186, dtype=float32), 'Mean Episode Length': Array(40.899128, dtype=float32)} step=563200
{'Mean Episode Return': Array(10.435918, dtype=float32), 'Mean Episode Length': Array(39.87309, dtype=float32)} step=614400
{'Mean Episode Return': Array(10.841422, dtype=float32), 'Mean Episode Length': Array(39.952114, dtype=float32)} step=665600
{'Mean Episode Return': Array(11.238961, dtype=float32), 'Mean Episode Length': Array(40.093678, dtype=float32)} step=716800
{'Mean Episode Return': Array(11.521024, dtype=float32), 'Mean Episode Length': Array(40.5626, dtype=float32)} step=768000
{'Mean Episode Return': Array(11.89406, dtype=float32), 'Mean Episode Length': Array(40.5088, dtype=float32)} step=819200
{'Mean Episode Return': Array(12.146445, dtype=float32), 'Mean Episode Length': Array(40.76837, dtype=float32)} step=870400
{'Mean Episode Return': Array(12.492946, dtype=float32), 'Mean Episode Length': Array(41.21222, dtype=float32)} step=921600
{'Mean Episode Return': Array(12.890651, dtype=float32), 'Mean Episode Length': Array(40.550194, dtype=float32)} step=972800
{'Mean Episode Return': Array(13.213225, dtype=float32), 'Mean Episode Length': Array(40.180954, dtype=float32)} step=1024000
{'Mean Episode Return': Array(13.371778, dtype=float32), 'Mean Episode Length': Array(40.841892, dtype=float32)} step=1075200
{'Mean Episode Return': Array(13.517876, dtype=float32), 'Mean Episode Length': Array(40.74859, dtype=float32)} step=1126400
{'Mean Episode Return': Array(13.865649, dtype=float32), 'Mean Episode Length': Array(40.37899, dtype=float32)} step=1177600
{'Mean Episode Return': Array(13.813771, dtype=float32), 'Mean Episode Length': Array(41.10798, dtype=float32)} step=1228800
{'Mean Episode Return': Array(14.04562, dtype=float32), 'Mean Episode Length': Array(41.358124, dtype=float32)} step=1280000
{'Mean Episode Return': Array(14.05919, dtype=float32), 'Mean Episode Length': Array(41.72675, dtype=float32)} step=1331200
{'Mean Episode Return': Array(14.240796, dtype=float32), 'Mean Episode Length': Array(41.78347, dtype=float32)} step=1382400
{'Mean Episode Return': Array(14.425683, dtype=float32), 'Mean Episode Length': Array(42.301083, dtype=float32)} step=1433600
{'Mean Episode Return': Array(14.551133, dtype=float32), 'Mean Episode Length': Array(43.028236, dtype=float32)} step=1484800
{'Mean Episode Return': Array(14.709911, dtype=float32), 'Mean Episode Length': Array(42.49124, dtype=float32)} step=1536000
{'Mean Episode Return': Array(14.866223, dtype=float32), 'Mean Episode Length': Array(42.32807, dtype=float32)} step=1587200
{'Mean Episode Return': Array(14.888325, dtype=float32), 'Mean Episode Length': Array(43.499996, dtype=float32)} step=1638400
{'Mean Episode Return': Array(15.05873, dtype=float32), 'Mean Episode Length': Array(43.43319, dtype=float32)} step=1689600
{'Mean Episode Return': Array(15.323479, dtype=float32), 'Mean Episode Length': Array(43.859444, dtype=float32)} step=1740800
{'Mean Episode Return': Array(15.343051, dtype=float32), 'Mean Episode Length': Array(44.238705, dtype=float32)} step=1792000
{'Mean Episode Return': Array(15.601514, dtype=float32), 'Mean Episode Length': Array(43.770866, dtype=float32)} step=1843200
{'Mean Episode Return': Array(15.838428, dtype=float32), 'Mean Episode Length': Array(44.411465, dtype=float32)} step=1894400
{'Mean Episode Return': Array(16.04778, dtype=float32), 'Mean Episode Length': Array(44.136246, dtype=float32)} step=1945600
{'Mean Episode Return': Array(16.100948, dtype=float32), 'Mean Episode Length': Array(44.510956, dtype=float32)} step=1996800
{'Mean Episode Return': Array(16.179985, dtype=float32), 'Mean Episode Length': Array(44.868835, dtype=float32)} step=2048000
{'Mean Episode Return': Array(16.204075, dtype=float32), 'Mean Episode Length': Array(45.926765, dtype=float32)} step=2099200
{'Mean Episode Return': Array(16.414476, dtype=float32), 'Mean Episode Length': Array(45.632, dtype=float32)} step=2150400
{'Mean Episode Return': Array(16.663265, dtype=float32), 'Mean Episode Length': Array(45.663074, dtype=float32)} step=2201600
{'Mean Episode Return': Array(17.050205, dtype=float32), 'Mean Episode Length': Array(46.753887, dtype=float32)} step=2252800
{'Mean Episode Return': Array(17.26867, dtype=float32), 'Mean Episode Length': Array(47.32653, dtype=float32)} step=2304000
{'Mean Episode Return': Array(17.501652, dtype=float32), 'Mean Episode Length': Array(47.954376, dtype=float32)} step=2355200
{'Mean Episode Return': Array(17.494041, dtype=float32), 'Mean Episode Length': Array(47.599625, dtype=float32)} step=2406400
{'Mean Episode Return': Array(17.751688, dtype=float32), 'Mean Episode Length': Array(48.559658, dtype=float32)} step=2457600
{'Mean Episode Return': Array(17.749968, dtype=float32), 'Mean Episode Length': Array(48.177082, dtype=float32)} step=2508800
{'Mean Episode Return': Array(17.929893, dtype=float32), 'Mean Episode Length': Array(49.188477, dtype=float32)} step=2560000
{'Mean Episode Return': Array(18.134598, dtype=float32), 'Mean Episode Length': Array(49.240185, dtype=float32)} step=2611200
