Experiment Configuration: {'wandb': {'project': 'deepmimic'}, 'experiment': {'task_factory': {'name': 'ImitationFactory', 'params': {'default_dataset_conf': {'task': ['walk']}}}, 'env_params': {'env_name': 'MjxSkeletonMuscle', 'headless': False, 'disable_arms': False, 'scaling': 1.0, 'use_box_feet': True, 'horizon': 1000, 'goal_type': 'GoalTrajMimic', 'goal_params': {'visualize_goal': True, 'n_step_lookahead': 1, 'full_obs_lookahead': False}, 'control_type': '${control_config.torque_control.control_type}', 'control_params': '${control_config.torque_control.control_params}', 'reward_type': 'MimicReward', 'reward_params': {'qpos_w_exp': 10.0, 'qvel_w_exp': 3.0, 'rpos_w_exp': 100.0, 'rquat_w_exp': 10.0, 'rvel_w_exp': 0.1, 'qpos_w_sum': 0.6, 'qvel_w_sum': 0.2, 'action_out_of_bounds_coeff': 0.0, 'action_rate_coeff': 0.02, 'action_size_coeff': 0.02, 'sites_for_mimic': ['pelvis_mimic', 'upper_body_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}}, 'hidden_layers': [1024, 1024, 1024, 1024, 512, 512, 512, 512], 'lr': 0.0001, 'num_envs': 1024, 'num_steps': 50, 'total_timesteps': 200000000.0, 'update_epochs': 4, 'num_minibatches': 64, 'gamma': 0.95, 'gae_lambda': 0.95, 'clip_eps': 0.2, 'init_std': 0.2, 'learnable_std': False, 'use_lattice': True, 'ent_coef': 0.0, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'activation': 'silu', 'anneal_lr': False, 'weight_decay': 0.0, 'normalize_env': True, 'debug': False, 'n_seeds': 1, 'vmap_across_seeds': True, 'validation': {'active': True, 'num_steps': 100, 'num_envs': 100, 'num': 20, 'quantities': ['JointPosition', 'JointVelocity', 'RelSitePosition', 'RelSiteVelocity', 'RelSiteOrientation'], 'measures': ['EuclideanDistance', 'DynamicTimeWarping', 'DiscreteFrechetDistance'], 'rel_site_names': ['upper_body_mimic', 'left_hand_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_foot_mimic'], 'joints_to_ignore': ['pelvis_tx', 'pelvis_tz', 'pelvis_ty', 'pelvis_tilt', 'pelvis_list', 'pelvis_rotation']}}, 'control_config': {'position_control': {'control_type': 'PDControl', 'control_params': {'p_gain': [300, 100, 100, 100, 100, 100, 100, 100, 100, 200, 200, 200, 300, 40, 200, 200, 200, 300, 40], 'd_gain': [6, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 6, 2, 5, 5, 5, 6, 2]}}, 'torque_control': {'control_type': 'DefaultControl', 'control_params': None}}}
Creating environment 'MjxSkeletonMuscle' with imitation learning task.
GoalTrajMimic observation dimension: 233 + 168 additional observation size
reward_params: {'qpos_w_exp': 10.0, 'qvel_w_exp': 3.0, 'rpos_w_exp': 100.0, 'rquat_w_exp': 10.0, 'rvel_w_exp': 0.1, 'qpos_w_sum': 0.6, 'qvel_w_sum': 0.2, 'action_out_of_bounds_coeff': 0.0, 'action_rate_coeff': 0.02, 'action_size_coeff': 0.02, 'sites_for_mimic': ['pelvis_mimic', 'upper_body_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}
self._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x77b3d17a7970>
Created environment with reward function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x77b3d17a7970>
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x77b284117310>
config.experiment.num_updates set to: 3906.0
config.experiment.minibatch_size set to: 800
config.experiment.validation_interval set to: 195.0
actorcritic_class: <class 'loco_mujoco.algorithms.common.networks.LatticeActorCritic'>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
metrics at the end of training: SummaryMetrics(mean_episode_return=Traced<ShapedArray(float32[3906])>with<DynamicJaxprTrace>, mean_episode_length=Traced<ShapedArray(float32[3906])>with<DynamicJaxprTrace>, max_timestep=Traced<ShapedArray(int32[3906])>with<DynamicJaxprTrace>)

Saved agent to: /home/ktoonen/workspace/TestLocoMuJoCo/TestExperimentCode/outputs/2026-01-09/13-08-25/PPOJax_saved.pkl

{'Mean Episode Return': Array(5.0454435, dtype=float32), 'Mean Episode Length': Array(33.83186, dtype=float32)} step=51200
{'Mean Episode Return': Array(5.618891, dtype=float32), 'Mean Episode Length': Array(44.249607, dtype=float32)} step=102400
{'Mean Episode Return': Array(6.003803, dtype=float32), 'Mean Episode Length': Array(41.68046, dtype=float32)} step=153600
{'Mean Episode Return': Array(4.806071, dtype=float32), 'Mean Episode Length': Array(43.058186, dtype=float32)} step=204800
{'Mean Episode Return': Array(3.8038268, dtype=float32), 'Mean Episode Length': Array(41.645393, dtype=float32)} step=256000
{'Mean Episode Return': Array(3.1964076, dtype=float32), 'Mean Episode Length': Array(41.469288, dtype=float32)} step=307200
{'Mean Episode Return': Array(3.111568, dtype=float32), 'Mean Episode Length': Array(41.192646, dtype=float32)} step=358400
{'Mean Episode Return': Array(3.0483153, dtype=float32), 'Mean Episode Length': Array(41.083538, dtype=float32)} step=409600
{'Mean Episode Return': Array(3.3704557, dtype=float32), 'Mean Episode Length': Array(41.104286, dtype=float32)} step=460800
{'Mean Episode Return': Array(3.102564, dtype=float32), 'Mean Episode Length': Array(41.978046, dtype=float32)} step=512000
{'Mean Episode Return': Array(2.893195, dtype=float32), 'Mean Episode Length': Array(41.125202, dtype=float32)} step=563200
{'Mean Episode Return': Array(2.985355, dtype=float32), 'Mean Episode Length': Array(40.235607, dtype=float32)} step=614400
{'Mean Episode Return': Array(3.0682263, dtype=float32), 'Mean Episode Length': Array(40.76755, dtype=float32)} step=665600
{'Mean Episode Return': Array(3.1162481, dtype=float32), 'Mean Episode Length': Array(40.881435, dtype=float32)} step=716800
{'Mean Episode Return': Array(3.3425853, dtype=float32), 'Mean Episode Length': Array(40.27835, dtype=float32)} step=768000
{'Mean Episode Return': Array(3.432876, dtype=float32), 'Mean Episode Length': Array(41.021156, dtype=float32)} step=819200
{'Mean Episode Return': Array(3.773438, dtype=float32), 'Mean Episode Length': Array(41.835228, dtype=float32)} step=870400
{'Mean Episode Return': Array(3.8277068, dtype=float32), 'Mean Episode Length': Array(42.559, dtype=float32)} step=921600
{'Mean Episode Return': Array(4.2730737, dtype=float32), 'Mean Episode Length': Array(42.877533, dtype=float32)} step=972800
{'Mean Episode Return': Array(4.749782, dtype=float32), 'Mean Episode Length': Array(42.595356, dtype=float32)} step=1024000
{'Mean Episode Return': Array(5.0992103, dtype=float32), 'Mean Episode Length': Array(42.994938, dtype=float32)} step=1075200
{'Mean Episode Return': Array(5.056414, dtype=float32), 'Mean Episode Length': Array(42.792393, dtype=float32)} step=1126400
{'Mean Episode Return': Array(5.1728673, dtype=float32), 'Mean Episode Length': Array(43.12955, dtype=float32)} step=1177600
{'Mean Episode Return': Array(5.2642365, dtype=float32), 'Mean Episode Length': Array(43.36532, dtype=float32)} step=1228800
{'Mean Episode Return': Array(5.557922, dtype=float32), 'Mean Episode Length': Array(43.638676, dtype=float32)} step=1280000
{'Mean Episode Return': Array(5.7369843, dtype=float32), 'Mean Episode Length': Array(42.914856, dtype=float32)} step=1331200
{'Mean Episode Return': Array(5.8387084, dtype=float32), 'Mean Episode Length': Array(43.268707, dtype=float32)} step=1382400
{'Mean Episode Return': Array(6.10892, dtype=float32), 'Mean Episode Length': Array(42.721893, dtype=float32)} step=1433600
{'Mean Episode Return': Array(6.1666265, dtype=float32), 'Mean Episode Length': Array(44.305264, dtype=float32)} step=1484800
{'Mean Episode Return': Array(6.4404287, dtype=float32), 'Mean Episode Length': Array(44.34404, dtype=float32)} step=1536000
{'Mean Episode Return': Array(6.5925555, dtype=float32), 'Mean Episode Length': Array(43.777683, dtype=float32)} step=1587200
{'Mean Episode Return': Array(6.670619, dtype=float32), 'Mean Episode Length': Array(43.74527, dtype=float32)} step=1638400
{'Mean Episode Return': Array(7.1772203, dtype=float32), 'Mean Episode Length': Array(43.577835, dtype=float32)} step=1689600
{'Mean Episode Return': Array(7.3511176, dtype=float32), 'Mean Episode Length': Array(43.36325, dtype=float32)} step=1740800
{'Mean Episode Return': Array(7.6563625, dtype=float32), 'Mean Episode Length': Array(43.759968, dtype=float32)} step=1792000
{'Mean Episode Return': Array(8.011543, dtype=float32), 'Mean Episode Length': Array(43.893562, dtype=float32)} step=1843200
{'Mean Episode Return': Array(8.090617, dtype=float32), 'Mean Episode Length': Array(43.785954, dtype=float32)} step=1894400
{'Mean Episode Return': Array(8.300005, dtype=float32), 'Mean Episode Length': Array(42.884487, dtype=float32)} step=1945600
{'Mean Episode Return': Array(8.271949, dtype=float32), 'Mean Episode Length': Array(43.009228, dtype=float32)} step=1996800
{'Mean Episode Return': Array(7.974, dtype=float32), 'Mean Episode Length': Array(42.54056, dtype=float32)} step=2048000
{'Mean Episode Return': Array(7.8483067, dtype=float32), 'Mean Episode Length': Array(42.642796, dtype=float32)} step=2099200
{'Mean Episode Return': Array(7.219339, dtype=float32), 'Mean Episode Length': Array(42.409756, dtype=float32)} step=2150400
{'Mean Episode Return': Array(6.812443, dtype=float32), 'Mean Episode Length': Array(42.205215, dtype=float32)} step=2201600
{'Mean Episode Return': Array(6.788486, dtype=float32), 'Mean Episode Length': Array(42.778606, dtype=float32)} step=2252800
{'Mean Episode Return': Array(7.2300572, dtype=float32), 'Mean Episode Length': Array(42.880447, dtype=float32)} step=2304000
{'Mean Episode Return': Array(7.3197956, dtype=float32), 'Mean Episode Length': Array(43.857998, dtype=float32)} step=2355200
{'Mean Episode Return': Array(7.351103, dtype=float32), 'Mean Episode Length': Array(43.511726, dtype=float32)} step=2406400
{'Mean Episode Return': Array(7.7702694, dtype=float32), 'Mean Episode Length': Array(43.898514, dtype=float32)} step=2457600
{'Mean Episode Return': Array(8.096643, dtype=float32), 'Mean Episode Length': Array(43.645782, dtype=float32)} step=2508800
{'Mean Episode Return': Array(8.177953, dtype=float32), 'Mean Episode Length': Array(43.765625, dtype=float32)} step=2560000
{'Mean Episode Return': Array(8.010753, dtype=float32), 'Mean Episode Length': Array(44.11488, dtype=float32)} step=2611200
{'Mean Episode Return': Array(8.13621, dtype=float32), 'Mean Episode Length': Array(44.053165, dtype=float32)} step=2662400
{'Mean Episode Return': Array(8.484101, dtype=float32), 'Mean Episode Length': Array(43.988457, dtype=float32)} step=2713600
{'Mean Episode Return': Array(8.424381, dtype=float32), 'Mean Episode Length': Array(44.35841, dtype=float32)} step=2764800
{'Mean Episode Return': Array(8.713173, dtype=float32), 'Mean Episode Length': Array(43.75085, dtype=float32)} step=2816000
{'Mean Episode Return': Array(8.833554, dtype=float32), 'Mean Episode Length': Array(43.184383, dtype=float32)} step=2867200
{'Mean Episode Return': Array(9.030599, dtype=float32), 'Mean Episode Length': Array(43.358257, dtype=float32)} step=2918400
{'Mean Episode Return': Array(8.989133, dtype=float32), 'Mean Episode Length': Array(44.482395, dtype=float32)} step=2969600
{'Mean Episode Return': Array(9.17868, dtype=float32), 'Mean Episode Length': Array(44.630623, dtype=float32)} step=3020800
{'Mean Episode Return': Array(9.36136, dtype=float32), 'Mean Episode Length': Array(44.737026, dtype=float32)} step=3072000
{'Mean Episode Return': Array(9.444606, dtype=float32), 'Mean Episode Length': Array(44.997314, dtype=float32)} step=3123200
{'Mean Episode Return': Array(9.441441, dtype=float32), 'Mean Episode Length': Array(44.38671, dtype=float32)} step=3174400
{'Mean Episode Return': Array(9.485127, dtype=float32), 'Mean Episode Length': Array(44.25955, dtype=float32)} step=3225600
{'Mean Episode Return': Array(9.7605, dtype=float32), 'Mean Episode Length': Array(43.87436, dtype=float32)} step=3276800
{'Mean Episode Return': Array(9.32508, dtype=float32), 'Mean Episode Length': Array(43.789703, dtype=float32)} step=3328000
{'Mean Episode Return': Array(9.100369, dtype=float32), 'Mean Episode Length': Array(44.36277, dtype=float32)} step=3379200
{'Mean Episode Return': Array(9.660594, dtype=float32), 'Mean Episode Length': Array(44.11424, dtype=float32)} step=3430400
{'Mean Episode Return': Array(9.360202, dtype=float32), 'Mean Episode Length': Array(44.085316, dtype=float32)} step=3481600
{'Mean Episode Return': Array(9.013314, dtype=float32), 'Mean Episode Length': Array(45.8886, dtype=float32)} step=3532800
{'Mean Episode Return': Array(9.855188, dtype=float32), 'Mean Episode Length': Array(43.805317, dtype=float32)} step=3584000
{'Mean Episode Return': Array(10.085381, dtype=float32), 'Mean Episode Length': Array(43.712914, dtype=float32)} step=3635200
{'Mean Episode Return': Array(10.241496, dtype=float32), 'Mean Episode Length': Array(44.42687, dtype=float32)} step=3686400
{'Mean Episode Return': Array(10.556396, dtype=float32), 'Mean Episode Length': Array(43.773323, dtype=float32)} step=3737600
{'Mean Episode Return': Array(10.65238, dtype=float32), 'Mean Episode Length': Array(44.30171, dtype=float32)} step=3788800
{'Mean Episode Return': Array(10.602023, dtype=float32), 'Mean Episode Length': Array(44.511364, dtype=float32)} step=3840000
{'Mean Episode Return': Array(11.049217, dtype=float32), 'Mean Episode Length': Array(44.717678, dtype=float32)} step=3891200
{'Mean Episode Return': Array(10.651786, dtype=float32), 'Mean Episode Length': Array(45.21836, dtype=float32)} step=3942400
{'Mean Episode Return': Array(10.939494, dtype=float32), 'Mean Episode Length': Array(44.519447, dtype=float32)} step=3993600
{'Mean Episode Return': Array(11.122428, dtype=float32), 'Mean Episode Length': Array(44.905228, dtype=float32)} step=4044800
{'Mean Episode Return': Array(10.990249, dtype=float32), 'Mean Episode Length': Array(44.84881, dtype=float32)} step=4096000
{'Mean Episode Return': Array(10.0135975, dtype=float32), 'Mean Episode Length': Array(44.81036, dtype=float32)} step=4147200
