Creating environment 'MjxSkeletonMuscle' with imitation learning task.
reward_params: {'qpos_w_exp': 15.0, 'qvel_w_exp': 3.0, 'rpos_w_exp': 100.0, 'rquat_w_exp': 10.0, 'rvel_w_exp': 0.1, 'qpos_w_sum': 0.6, 'qvel_w_sum': 0.2, 'action_out_of_bounds_coeff': 0.0, 'action_rate_coeff': 0.02, 'action_size_coeff': 0.02, 'sites_for_mimic': ['pelvis_mimic', 'upper_body_mimic', 'left_hand_mimic', 'left_knee_mimic', 'left_foot_mimic', 'right_hand_mimic', 'right_knee_mimic', 'right_foot_mimic']}
self._reward_function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x7a43717ab670>
Created environment with reward function: <loco_mujoco.core.reward.trajectory_based.MimicReward object at 0x7a43717ab670>
reward_params: None
self._reward_function: <loco_mujoco.core.reward.default.NoReward object at 0x7a421c519a20>
config.experiment.num_updates set to: 14648.0
config.experiment.minibatch_size set to: 800
config.experiment.validation_interval set to: 732.0
actorcritic_class: <class 'loco_mujoco.algorithms.common.networks.LatticeActorCritic'>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in LocoMjxWrapper step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Action in PPOJax env_step: Traced<ShapedArray(float32[1024,106])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in PPOJax env_step: Traced<ShapedArray(float32[])>with<DynamicJaxprTrace> Traced<ShapedArray(float32[1024])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
Reward in NormalizeVecReward step: Traced<ShapedArray(float32[100])>with<DynamicJaxprTrace>
metrics at the end of training: SummaryMetrics(mean_episode_return=Traced<ShapedArray(float32[14648])>with<DynamicJaxprTrace>, mean_episode_length=Traced<ShapedArray(float32[14648])>with<DynamicJaxprTrace>, max_timestep=Traced<ShapedArray(int32[14648])>with<DynamicJaxprTrace>)

Saved agent to: /home/ktoonen/workspace/TestLocoMuJoCo/TestExperimentCode/outputs/2025-12-09/15-04-57/PPOJax_saved.pkl

{'Mean Episode Return': Array(5.0431037, dtype=float32), 'Mean Episode Length': Array(33.83847, dtype=float32)} step=51200
{'Mean Episode Return': Array(5.0868387, dtype=float32), 'Mean Episode Length': Array(43.53938, dtype=float32)} step=102400
{'Mean Episode Return': Array(5.2115946, dtype=float32), 'Mean Episode Length': Array(43.217106, dtype=float32)} step=153600
{'Mean Episode Return': Array(6.1168337, dtype=float32), 'Mean Episode Length': Array(42.60328, dtype=float32)} step=204800
{'Mean Episode Return': Array(5.9469786, dtype=float32), 'Mean Episode Length': Array(41.97803, dtype=float32)} step=256000
{'Mean Episode Return': Array(5.677376, dtype=float32), 'Mean Episode Length': Array(42.317497, dtype=float32)} step=307200
{'Mean Episode Return': Array(5.991517, dtype=float32), 'Mean Episode Length': Array(41.771687, dtype=float32)} step=358400
{'Mean Episode Return': Array(5.8828683, dtype=float32), 'Mean Episode Length': Array(42.08681, dtype=float32)} step=409600
{'Mean Episode Return': Array(5.7925253, dtype=float32), 'Mean Episode Length': Array(41.458706, dtype=float32)} step=460800
{'Mean Episode Return': Array(5.947952, dtype=float32), 'Mean Episode Length': Array(42.950207, dtype=float32)} step=512000
{'Mean Episode Return': Array(6.167666, dtype=float32), 'Mean Episode Length': Array(43.549744, dtype=float32)} step=563200
{'Mean Episode Return': Array(6.429062, dtype=float32), 'Mean Episode Length': Array(42.897793, dtype=float32)} step=614400
{'Mean Episode Return': Array(6.485704, dtype=float32), 'Mean Episode Length': Array(42.02161, dtype=float32)} step=665600
{'Mean Episode Return': Array(6.916264, dtype=float32), 'Mean Episode Length': Array(41.844463, dtype=float32)} step=716800
{'Mean Episode Return': Array(7.176015, dtype=float32), 'Mean Episode Length': Array(42.01142, dtype=float32)} step=768000
{'Mean Episode Return': Array(7.3044286, dtype=float32), 'Mean Episode Length': Array(42.62, dtype=float32)} step=819200
{'Mean Episode Return': Array(7.3378344, dtype=float32), 'Mean Episode Length': Array(41.914948, dtype=float32)} step=870400
{'Mean Episode Return': Array(7.8415527, dtype=float32), 'Mean Episode Length': Array(42.275974, dtype=float32)} step=921600
{'Mean Episode Return': Array(8.240678, dtype=float32), 'Mean Episode Length': Array(41.44971, dtype=float32)} step=972800
{'Mean Episode Return': Array(8.422096, dtype=float32), 'Mean Episode Length': Array(41.75879, dtype=float32)} step=1024000
{'Mean Episode Return': Array(8.47604, dtype=float32), 'Mean Episode Length': Array(40.63549, dtype=float32)} step=1075200
{'Mean Episode Return': Array(8.68725, dtype=float32), 'Mean Episode Length': Array(41.227524, dtype=float32)} step=1126400
{'Mean Episode Return': Array(9.083496, dtype=float32), 'Mean Episode Length': Array(41.4533, dtype=float32)} step=1177600
{'Mean Episode Return': Array(9.028836, dtype=float32), 'Mean Episode Length': Array(40.916534, dtype=float32)} step=1228800
{'Mean Episode Return': Array(9.407851, dtype=float32), 'Mean Episode Length': Array(40.94644, dtype=float32)} step=1280000
{'Mean Episode Return': Array(9.468068, dtype=float32), 'Mean Episode Length': Array(40.792828, dtype=float32)} step=1331200
{'Mean Episode Return': Array(9.9470415, dtype=float32), 'Mean Episode Length': Array(41.20898, dtype=float32)} step=1382400
{'Mean Episode Return': Array(9.973898, dtype=float32), 'Mean Episode Length': Array(42.311092, dtype=float32)} step=1433600
